规则编号,规则名称,文档名称,文档地址,API名称,所属父类,问题位置（行号）,备注,问题状态,严重程度,问题描述,备注,修改建议,问题原文,规则提示词,质量维度,一级指标,二级指标,评估内容（测试点）,是否是问题,原因,修改方案
12.1.1.3,检查文档中关于使用该方法/函数后的效果、影响包含完整。,capi-arkui-nativemodule-arkui-contextcallback.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/capi-arkui-nativemodule-arkui-contextcallback.md,callback,ArkUI_ContextCallback,49,,未确认,P2,“事件回调”仅表明该成员函数的类型或用途分类，没有说明事件发生时该回调会被调用，也未体现 userData 将作为参数传入的实际行为，用户无法从该描述中清晰了解回调产生的具体效果。,,事件触发时调用该回调函数，并传入用户自定义数据。,事件回调。,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/12_1_1_3.md,体验,知识点完整,API接口/方法/参数/错误码/权限等完整,验证文档中关于方法/函数的含义/功能、使用场景、使用效果提供完整,否,当前文档第49行已说明回调在事件触发时执行，并传入userData指向的用户自定义数据；ace_engine/interfaces/native/node/animate_impl.cpp第62-63行也将update->callback与update->userData一并传给动画实现，扫描所述效果缺失已不存在。,无需修改；保留文档第49行现有的回调效果、参数传递和触发时机说明。
23.1.1.1,示例代码片段根据提示进行配置，或进行少量修改，放入上下文可在IDE中可正常编译，无报错和告警（因示例代码片段缺少定义，若有对应注释说明可忽略），运行后结果与描述/示意图一致性，不能出现crash、界面白屏/黑屏现象。,capi-arkui-nativemodule-arkui-commandpathoption.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/capi-arkui-nativemodule-arkui-commandpathoption.md,,ArkUI_CommandPathOption,10,,未确认,P1,该 C 语言 typedef 声明末尾缺少必需的分号，放入 C 语言上下文后会产生语法错误，无法正常编译。,,typedef struct ArkUI_CommandPath ArkUI_CommandPathOption;,typedef struct ArkUI_CommandPath ArkUI_CommandPathOption,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/23_1_1_1.md,质量,示例代码可用实用,示例代码可用性,验证文档中提供的示例代码片段语法和逻辑正确，编译运行无报错和告警,否,文档第9-11行是类型签名展示，不是可独立编译的示例；interface/sdk_c/arkui/ace_engine/native/native_render.h第162行的真实声明以分号结尾，文档无需按示例代码规则补分号。,无需修改；保留文档第10行的类型签名展示，以interface头文件第162行的完整声明为准。
0.30.1.4,检测 Markdown 文件中代码注释和描述准确性问题、代码规范性检查。,capi-arkui-nativemodule-arkui-context.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/capi-arkui-nativemodule-arkui-context.md,,ArkUI_Context,10,,未确认,P1,该typedef声明末尾缺少分号，不构成完整、合法的C语言声明，复制使用时会导致编译错误。,,typedef struct ArkUI_Context ArkUI_Context;,typedef struct ArkUI_Context ArkUI_Context,https://gitcode.com/BeicC/docs-prompt/blob/feature_use_local_pr_information/agentic-workflow/skills/code-comments/SKILL.md,,,,,否,文档第9-11行是类型签名展示，不是完整示例代码；interface/sdk_c/arkui/ace_engine/native/drag_and_drop.h第177行的真实ArkUI_Context声明包含分号，不存在接口代码语法错误。,无需修改；保留文档第10行的类型签名展示，以interface头文件第177行的完整声明为准。
11.1.1.1,检查文档中提供的功能场景、特点描述是否全面，能解决哪些问题以及带来的收益是否完整。,capi-arkui-nativemodule-arkui-contextcallback.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/capi-arkui-nativemodule-arkui-contextcallback.md,,ArkUI_ContextCallback,15,,未确认,P2,该句位于类型级概述中，但仅笼统说明 ArkUI_ContextCallback 是事件回调类型，没有说明其用于定义事件回调、可在回调时传入用户自定义数据等总体能力，也未说明适用场景，开发者难以据此判断该类型的具体用途，不符合模块/类级总体功能和场景描述完整性的要求。,,用于定义事件回调，并在回调时传入用户自定义数据，适用于需要在事件触发后执行自定义处理的场景。,事件回调类型。,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/11_1_1_1.md,体验,知识点完整,概念/功能/原理/场景描述完整,验证模块的定义、功能、使用场景、用法用途完整无缺失,否,当前文档第15行已说明该类型用于定义回调函数和用户自定义数据，并说明接口触发回调时会传入userData；ace_engine/interfaces/native/node/animate_impl.cpp第62-63行与该描述一致，扫描所述概述缺失已不存在。,无需修改；保留文档第15行现有的类型能力和回调行为说明。
11.2.1.1,检查是否提供开发者在完成某个场景/任务时，需要了解的模块设计逻辑、方法/函数实现机制（应就近提供，API参考中可提供相关链接）。,capi-arkui-nativemodule-arkui-contextcallback.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/capi-arkui-nativemodule-arkui-contextcallback.md,callback,ArkUI_ContextCallback,49,,未确认,P2,该描述仅表明 callback 是事件回调，没有说明回调由谁在何种条件下触发、调用时如何传递 userData，以及它在相关事件处理流程中的作用，也未提供机制说明的链接，开发者无法据此了解该成员函数的调用机制。,,事件回调，在相关事件触发时由调用方调用，并将 userData 作为参数传入；具体触发条件和事件处理流程请参见相关机制说明。,事件回调。,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/11_2_1_1.md,体验,知识点完整,概念/功能/原理/场景描述完整,验证开发者在完成场景/任务时需要的概念、原理、模块整体设计逻辑提供完整,否,当前文档第49行已说明回调的作用、userData传递方式及具体触发时机由使用该类型的接口定义；ace_engine/interfaces/native/node/animate_impl.cpp第62-63行体现了callback与userData的传递机制。,无需修改；保留文档第49行现有的回调机制说明。
12.1.1.2,检查文档中清楚地说明了使用场景。,capi-arkui-nativemodule-arkui-contextcallback.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/capi-arkui-nativemodule-arkui-contextcallback.md,callback,ArkUI_ContextCallback,49,,未确认,P2,该描述只表明 callback 是事件回调，未说明开发者何时需要设置该回调以及回调触发后可用于执行何种处理，缺少明确的使用场景信息。,,事件回调，用于在相关事件触发时执行用户自定义处理，例如结合传入的userData处理与该事件关联的业务逻辑。,事件回调。,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/12_1_1_2.md,体验,知识点完整,API接口/方法/参数/错误码/权限等完整,验证文档中关于方法/函数的含义/功能、使用场景、使用效果提供完整,否,当前文档第49行已说明事件触发时执行回调并用于执行自定义处理逻辑，同时指出具体触发时机由使用该类型的接口定义，已覆盖使用场景。,无需修改；保留文档第49行现有的触发场景和自定义处理说明。
12.3.1.2,检查文档中是否说明返回值的用途。,capi-arkui-nativemodule-arkui-contextcallback.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/capi-arkui-nativemodule-arkui-contextcallback.md,callback,ArkUI_ContextCallback,49,,未确认,P2,callback() 的返回类型为 void，但该句仅说明函数用途，未明确说明该回调无返回结果，返回值说明不完整。,,事件回调，无返回结果。,事件回调。,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/12_3_1_2.md,体验,知识点完整,API接口/方法/参数/错误码/权限等完整,验证返回值及其含义应说明完整,否,文档第43行声明callback返回void，第49行也明确写明“无返回值”；贡献模板native-template.md第121行规定无返回值函数删除@return标记，因此无需再增加返回值栏目。,无需修改；保留文档第43行的void签名及第49行的“无返回值”说明。
18.1.1.1,验证文档符合风格指南中对清晰、简洁、具体、一致等维度的规范要求。,capi-arkui-nativemodule-arkui-context8h.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/capi-arkui-nativemodule-arkui-context8h.md,,ArkUI_Context*,15,,未确认,P3,中文“定义”与英文术语“ArkUI native UI”之间、英文术语与中文助词“的”之间均缺少空格，不符合中英文混排格式一致性要求。,,定义 ArkUI native UI 的上下文实例对象指针。,定义ArkUI native UI的上下文实例对象指针。,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/18_1_1_1.md,体验,内容规范性,文档语言符合规范,验证文档符合风格指南中对清晰、简洁、具体、一致等维度的规范要求,否,当前文档第15行已写为“ArkUI 在 Native 侧的上下文实例对象指针”，中英文之间已有空格，扫描引用的原文已不存在。,无需修改；保留文档第15行当前符合中英文混排规范的表述。
23.1.1.1,示例代码片段根据提示进行配置，或进行少量修改，放入上下文可在IDE中可正常编译，无报错和告警（因示例代码片段缺少定义，若有对应注释说明可忽略），运行后结果与描述/示意图一致性，不能出现crash、界面白屏/黑屏现象。,capi-arkui-nativemodule-arkui-context8h.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/capi-arkui-nativemodule-arkui-context8h.md,,ArkUI_Context*,10,,未确认,P1,该typedef声明末尾缺少C语言语法要求的分号，放入代码上下文后无法正常编译，违反示例代码片段应无编译错误的要求。,,typedef struct ArkUI_Context* ArkUI_ContextHandle;,typedef struct ArkUI_Context* ArkUI_ContextHandle,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/23_1_1_1.md,质量,示例代码可用实用,示例代码可用性,验证文档中提供的示例代码片段语法和逻辑正确，编译运行无报错和告警,否,文档第9-11行是类型签名展示，不是可编译示例；interface/sdk_c/arkui/ace_engine/native/native_type.h第163行的真实typedef声明包含分号。,无需修改；保留文档第10行的类型签名展示，以interface头文件第163行的完整声明为准。
26.1.1.1,检查文档中出现的术语、缩略语或专有名词，是否提供术语表进行解释说明，首次出现的术语、缩略语，是否提供全称，是否提供到术语表链接，IP、MAC等行业通用术语/缩略语除外。,capi-arkui-nativemodule-arkui-context8h.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/capi-arkui-nativemodule-arkui-context8h.md,,ArkUI_Context*,15,,未确认,P1,“ArkUI”是鸿蒙体系专有的产品/框架名称，也是当前文档的核心主题词。它在正文中首次出现时未提供中文全称，所在句及相邻句也未对其进行解释，不符合核心专有术语首次出现时提供全称或说明的要求。,,定义ArkUI（方舟UI框架）native UI的上下文实例对象指针。,定义ArkUI native UI的上下文实例对象指针。,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/26_1_1_1.md,体验,内容清晰性,原理描述清晰性,验证文档中出现的术语、缩略语或专有名词都有对应解释,否,ArkUI是本文档所属产品与API命名的一部分，文档第1行标题及第19行相关模块ArkUI_NativeModule已给出明确上下文；Native接口模板未要求为产品名补充中文全称，因此不属于术语解释缺失。,无需修改；保留文档第1行产品API名称及第19行相关模块链接，不额外扩写产品名。
