仓库,文件,行号,规则,内容,traceId,uuid,责任PL,确认结果,原因解释,修改方案
openharmony/docs,zh-cn/application-dev/reference/apis-arkui/arkts-apis-uicontext-framecallback.md,50,code comments,"❌**疑似检测出参数命名不一致问题**

错误原因：代码示例中 `onFrame` 方法的参数名为 `frameTimeNanos`，但接口定义（第23行 `onFrame(frameTimeInNano: number): void`）及参数表（第35行 `frameTimeInNano`）中均使用 `frameTimeInNano`，两者不一致。
建议修改为：
```suggestion
  onFrame(frameTimeInNano: number) {
    console.info('MyFrameCallback ' + this.tag + ' ' + frameTimeInNano.toString());
```
",645a5dbce42b422d8b6f3079c07ab5b7,5752ed09-fd76-4826-8983-4e088f042994,刘凯,是,docs中 /home/y/openharmony/docs/zh-cn/application-dev/reference/apis-arkui/arkts-apis-uicontext-framecallback.md:23 声明 onFrame(frameTimeInNano: number): void，:35 参数表使用 frameTimeInNano；但修改前示例在 :50-51 使用 frameTimeNanos。interface中 /home/y/openharmony/interface/sdk-js/api/@ohos.arkui.UIContext.static.d.ets:2851-2856 将参数声明为 frameTimeInNano。ace_engine中 /home/y/openharmony/foundation/arkui/ace_engine/frameworks/bridge/declarative_frontend/engine/jsi/nativeModule/arkts_native_common_bridge.cpp:10896-10904 调用 onFrame 并传入 nanoTimestamp，语义与 frameTimeInNano 一致。因此示例参数命名与接口和文档参数表不一致的问题存在。,已将 /home/y/openharmony/docs/zh-cn/application-dev/reference/apis-arkui/arkts-apis-uicontext-framecallback.md:50-51 示例参数名和使用处从 frameTimeNanos 修改为 frameTimeInNano。
openharmony/docs,zh-cn/application-dev/reference/apis-arkui/arkts-apis-uicontext-uicontext.md,380,code comments,"❌**疑似检测出代码冗余问题**

错误原因：模板字符串中 `${resolvedUIContext.strategy}}` 末尾多了一个 `}`，输出结果会包含一个多余的 `}` 字符，如 `UIContext id: 1, strategy: 2}`。
建议修改为：
```suggestion 
            hilog.info(0x00, 'testTag', `UIContext id: ${resolvedUIContext.getId()}, strategy: ${resolvedUIContext.strategy}`);
```",645a5dbce42b422d8b6f3079c07ab5b7,d517843a-7034-4c16-8833-e332909eb2b8,刘凯,是,"docs中 /home/y/openharmony/docs/zh-cn/application-dev/reference/apis-arkui/arkts-apis-uicontext-uicontext.md:341-365 描述 resolveUIContext 返回 ResolvedUIContext，修改前 :380 模板字符串写为 strategy: ${resolvedUIContext.strategy}}，会输出额外的 }；同文件 /home/y/openharmony/docs/zh-cn/application-dev/reference/apis-arkui/arkts-apis-uicontext-uicontext.md:134-137 的同类示例写为 strategy: ${resolvedUIContext.strategy}, 无多余 }。interface中 /home/y/openharmony/interface/sdk-js/api/@ohos.arkui.UIContext.static.d.ets:3446-3454 声明 ResolvedUIContext extends UIContext 且 strategy: ResolveStrategy。ace_engine中 /home/y/openharmony/foundation/arkui/ace_engine/frameworks/bridge/declarative_frontend/engine/jsUIContext.js:465-467 resolveUIContext 返回 new ResolvedUIContext(contextInfo[0], contextInfo[1])，:1134-1137 构造函数将 this.strategy = strategy。因此文档示例中的额外右花括号不是接口或实现需要，问题存在。",已将 /home/y/openharmony/docs/zh-cn/application-dev/reference/apis-arkui/arkts-apis-uicontext-uicontext.md:380 的模板字符串从 strategy: ${resolvedUIContext.strategy}} 修改为 strategy: ${resolvedUIContext.strategy}。
openharmony/docs,zh-cn/application-dev/reference/apis-arkui/arkts-apis-uicontext-uicontext.md,1888,code comments,"❌**疑似检测出变量命名问题**

错误原因：局部变量 `KeyboardAvoidMode` 与导入的枚举类型 `KeyboardAvoidMode` 同名，导致变量遮蔽（variable shadowing），后续若需使用枚举值将无法访问。且变量名首字母大写不符合局部变量命名规范。
建议修改为：
```suggestion 
        let currentKeyboardAvoidMode = uiContext.getKeyboardAvoidMode();
        console.info(""KeyboardAvoidMode:"", JSON.stringify(currentKeyboardAvoidMode));
```",645a5dbce42b422d8b6f3079c07ab5b7,161fa4da-7d4a-431d-80a2-161430a5de68,刘凯,是,docs中 /home/y/openharmony/docs/zh-cn/application-dev/reference/apis-arkui/arkts-apis-uicontext-uicontext.md:1856 声明 getKeyboardAvoidMode(): KeyboardAvoidMode，:1870-1872 返回值表也说明返回 KeyboardAvoidMode；示例修改前 /home/y/openharmony/docs/zh-cn/application-dev/reference/apis-arkui/arkts-apis-uicontext-uicontext.md:1881 导入 KeyboardAvoidMode，:1888 又声明 let KeyboardAvoidMode，局部变量与导入枚举同名并遮蔽枚举。interface中 /home/y/openharmony/interface/sdk-js/api/@ohos.arkui.UIContext.static.d.ets:3799-3806 声明 getKeyboardAvoidMode 返回 KeyboardAvoidMode，:4548-4575 定义 KeyboardAvoidMode 枚举。ace_engine中 /home/y/openharmony/foundation/arkui/ace_engine/frameworks/bridge/declarative_frontend/engine/jsUIContext.js:736-739 返回 __KeyboardAvoid__.getKeyboardAvoid()，/home/y/openharmony/foundation/arkui/ace_engine/frameworks/bridge/arkts_frontend/koala_projects/arkoala-arkts/arkui-ohos/@ohos.arkui.UIContext.ts:991-995 也以变量 mode 接收并返回 KeyboardAvoidMode。因此示例局部变量使用枚举名导致命名遮蔽的问题存在。,已将 /home/y/openharmony/docs/zh-cn/application-dev/reference/apis-arkui/arkts-apis-uicontext-uicontext.md:1888-1889 的局部变量从 KeyboardAvoidMode 修改为 currentKeyboardAvoidMode，并同步修改 console.info 中的引用。
openharmony/docs,zh-cn/application-dev/reference/apis-arkui/arkts-apis-uicontext-uicontext.md,2754,code comments,"❌**疑似检测出类型不匹配问题**

错误原因：`getWindowId()` 返回类型为 `number | undefined`，而 `hilog.info` 的格式符 `%{public}d` 期望 `number` 类型参数。当 `windowId` 为 `undefined` 时，格式化输出可能异常。
建议修改为：
```suggestion 
    hilog.info(0x0000, 'testTag', 'current window id: %{public}d', windowId ?? -1);
```",645a5dbce42b422d8b6f3079c07ab5b7,92fccfcb-513b-46fb-8423-3284ebadfa03,刘凯,是,docs中 /home/y/openharmony/docs/zh-cn/application-dev/reference/apis-arkui/arkts-apis-uicontext-uicontext.md:2723 声明 getWindowId(): number | undefined，:2738-2740 返回值表说明窗口不存在时返回 undefined；修改前示例在 /home/y/openharmony/docs/zh-cn/application-dev/reference/apis-arkui/arkts-apis-uicontext-uicontext.md:2753-2754 将 windowId 直接传给 hilog.info 的 %{public}d。interface中 /home/y/openharmony/interface/sdk-js/api/@ohos.arkui.UIContext.static.d.ets:4169-4174 声明返回 int | undefined，/home/y/openharmony/interface/sdk-js/api/@ohos.arkui.UIContext.d.ts:5863-5869 声明返回 number | undefined。ace_engine中 /home/y/openharmony/foundation/arkui/ace_engine/frameworks/bridge/declarative_frontend/engine/jsUIContext.js:945-948 调用 native getWindowId，/home/y/openharmony/foundation/arkui/ace_engine/frameworks/bridge/declarative_frontend/engine/jsi/nativeModule/arkts_native_common_bridge.cpp:10781-10783 在 context 为空时返回 Undefined，否则返回数字；/home/y/openharmony/foundation/arkui/ace_engine/frameworks/bridge/arkts_frontend/koala_projects/arkoala-arkts/arkui-ohos/@ohos.arkui.UIContext.ts:1217-1222 也将 -1 转为 undefined。因此示例未处理 undefined 却使用数值格式符的问题存在。,已将 /home/y/openharmony/docs/zh-cn/application-dev/reference/apis-arkui/arkts-apis-uicontext-uicontext.md:2754 的 hilog.info 参数从 windowId 修改为 windowId ?? -1，确保传入 %{public}d 的是 number。
openharmony/docs,zh-cn/application-dev/reference/apis-arkui/arkts-apis-uicontext-uicontext.md,4142,code comments,"❌**疑似检测出导入路径不一致问题**

错误原因：此处使用旧式导入路径 `@ohos.arkui.UIContext`，而同文件中其他示例均使用 `@kit.ArkUI`，导入风格不一致。
建议修改为：
```suggestion 
import { CustomKeyboardContinueFeature } from '@kit.ArkUI';
```",645a5dbce42b422d8b6f3079c07ab5b7,c535affe-3c5d-4132-9401-6ff9a7f0a4df,刘凯,否,docs中 /home/y/openharmony/docs/zh-cn/application-dev/reference/apis-arkui/arkts-apis-uicontext-uicontext.md:4118 声明 setCustomKeyboardContinueFeature(feature: CustomKeyboardContinueFeature): void，:4134-4136 参数类型链接到 CustomKeyboardContinueFeature，示例在 :4142 从 @ohos.arkui.UIContext 导入该枚举。interface中 /home/y/openharmony/interface/sdk-js/api/@ohos.arkui.UIContext.static.d.ets:4475-4483 声明接口参数类型为 CustomKeyboardContinueFeature，:4696-4703 在同模块导出 CustomKeyboardContinueFeature；而 /home/y/openharmony/interface/sdk-js/kits/@kit.ArkUI.d.ts:162-167 从 @ohos.arkui.UIContext re-export 的列表不包含 CustomKeyboardContinueFeature，最终导出列表 /home/y/openharmony/interface/sdk-js/kits/@kit.ArkUI.d.ts:340-405 也未包含该名称。ace_engine中 /home/y/openharmony/foundation/arkui/ace_engine/frameworks/bridge/declarative_frontend/engine/jsUIContext.js:1087-1090 实现 setCustomKeyboardContinueFeature，/home/y/openharmony/foundation/arkui/ace_engine/frameworks/bridge/arkts_frontend/koala_projects/arkoala-arkts/arkui-ohos/@ohos.arkui.UIContext.ts:890-896 声明方法，:2020-2023 定义 CustomKeyboardContinueFeature 枚举。因此当前示例使用 @ohos.arkui.UIContext 有接口依据，修复建议改为 @kit.ArkUI 的问题不成立。,无需修改文档。@kit.ArkUI 当前未导出 CustomKeyboardContinueFeature，保持从 @ohos.arkui.UIContext 导入。
openharmony/docs,zh-cn/application-dev/reference/apis-arkui/arkts-apis-uicontext-uicontext.md,4531,code comments,"❌**疑似检测出变量未安全使用问题**

错误原因：`this.uiContext` 类型为 `UIContext | undefined`（第4526行声明），此处直接调用 `this.uiContext.addLocalInputEventMonitor(...)` 未做空值检查，在严格类型检查下会报错。同文件 `aboutToDisappear` 中（第4544行）已做了 `if (this.uiContext)` 判断，此处应保持一致。
建议修改为：
```suggestion 
    this.monitor = this.uiContext?.addLocalInputEventMonitor(
```",645a5dbce42b422d8b6f3079c07ab5b7,c30e5fcd-0ad6-4da0-af48-7118d6391e50,刘凯,否,docs中 /home/y/openharmony/docs/zh-cn/application-dev/reference/apis-arkui/arkts-apis-uicontext-uicontext.md:4526 将 uiContext 字段声明为 UIContext | undefined，但示例在 :4529 立即执行 this.uiContext = this.getUIContext()，随后才在 :4531 调用 addLocalInputEventMonitor；同一示例 :4527 将 monitor 声明为 InputEventMonitor | null，若按建议改为 this.uiContext?.addLocalInputEventMonitor(...)，表达式会变为可能 undefined，反而与 monitor 类型不匹配。interface中 /home/y/openharmony/interface/sdk-js/api/@internal/component/ets/common.d.ts:30445-30455 和 /home/y/openharmony/interface/sdk-js/api/arkui/component/extendableComponent.static.d.ets:107-115 均声明 getUIContext(): UIContext，为非 undefined 返回；/home/y/openharmony/interface/sdk-js/api/@ohos.arkui.UIContext.d.ts:5632-5644 声明 addLocalInputEventMonitor 返回 InputEventMonitor，/home/y/openharmony/interface/sdk-js/api/@ohos.arkui.UIContext.static.d.ets:4027-4036 也声明返回 InputEventMonitor。ace_engine中 /home/y/openharmony/foundation/arkui/ace_engine/frameworks/bridge/declarative_frontend/engine/jsUIContext.js:1093-1096 通过当前 UIContext 实例转调 native addLocalInputEventMonitor，/home/y/openharmony/foundation/arkui/ace_engine/frameworks/bridge/arkts_frontend/koala_projects/arkoala-arkts/arkui-ohos/@ohos.arkui.UIContext.ts:898-902 也以 InputEventMonitor 返回。因此“未做空值检查导致严格类型检查报错”的问题不成立，修复建议也不合适。,无需修改文档。当前示例在调用前已由非空 getUIContext() 赋值；不采用可选链建议，避免引入 undefined 赋值给 InputEventMonitor | null 的新类型问题。
openharmony/docs,zh-cn/application-dev/reference/apis-arkui/arkts-apis-uicontext-uicontext.md,4596,code comments,"❌**疑似检测出变量未安全使用问题**

错误原因：`this.uiContext` 类型为 `UIContext | undefined`（第4593行声明），此处直接调用 `this.uiContext.addLocalInputEventMonitor(...)` 未做空值检查，在严格类型检查下会报错。同文件 `aboutToDisappear` 中（第4605行）已做了 `if (this.uiContext)` 判断，此处应保持一致。
建议修改为：
```suggestion 
    this.monitor = this.uiContext?.addLocalInputEventMonitor(
```",645a5dbce42b422d8b6f3079c07ab5b7,3ff0d02a-f3bd-47ee-a586-c004e4236080,刘凯,否,docs中 /home/y/openharmony/docs/zh-cn/application-dev/reference/apis-arkui/arkts-apis-uicontext-uicontext.md:4592 将 uiContext 字段声明为 UIContext | undefined，:4595 先执行 this.uiContext = this.getUIContext()，:4596 才调用 addLocalInputEventMonitor；同一示例 :4593 将 monitor 声明为 InputEventMonitor | null。interface中 /home/y/openharmony/interface/sdk-js/api/@internal/component/ets/common.d.ts:30445-30455 声明 getUIContext(): UIContext，为非 undefined 返回；/home/y/openharmony/interface/sdk-js/api/@ohos.arkui.UIContext.d.ts:5632-5644 声明 addLocalInputEventMonitor 返回 InputEventMonitor，:5654-5661 声明 removeLocalInputEventMonitor 入参为 InputEventMonitor；/home/y/openharmony/interface/sdk-js/api/@ohos.arkui.UIContext.static.d.ets:4027-4036 也声明返回 InputEventMonitor。ace_engine中 /home/y/openharmony/foundation/arkui/ace_engine/frameworks/bridge/declarative_frontend/engine/jsUIContext.js:1093-1102 实现 add/removeLocalInputEventMonitor，/home/y/openharmony/foundation/arkui/ace_engine/frameworks/bridge/arkts_frontend/koala_projects/arkoala-arkts/arkui-ohos/@ohos.arkui.UIContext.ts:898-905 也以 InputEventMonitor 返回。因此“未做空值检查导致严格类型检查报错”的问题不成立，且修复建议会让 this.monitor = this.uiContext?.addLocalInputEventMonitor(...) 的右侧变成可能 undefined，与 InputEventMonitor | null 不匹配。,无需修改文档。当前示例在调用前已由非空 getUIContext() 赋值；不采用可选链建议，避免引入 undefined 赋值给 InputEventMonitor | null 的新类型问题。
openharmony/docs,zh-cn/application-dev/reference/apis-arkui/arkts-apis-uicontext-uiobserver.md,373,code comments,"❌**疑似检测出类型不一致问题**

错误原因：ForEach遍历的数组`arr`类型为`number[]`，但key生成函数的参数类型声明为`string`，与数组元素类型不匹配。
建议修改为：
```suggestion
}, (item: number) => item)
```",645a5dbce42b422d8b6f3079c07ab5b7,51e2e84e-1f10-4a75-8500-bc9d47e18036,刘凯,是,"docs中 /home/y/openharmony/docs/zh-cn/application-dev/reference/apis-arkui/arkts-apis-uicontext-uiobserver.md:357 将 arr 声明为 number[]，:364 的 itemGenerator 参数为 item: number；修改前 :373 的 keyGenerator 写为 (item: string) => item，参数类型与数组元素类型不一致。interface中 /home/y/openharmony/interface/sdk-js/api/arkui/component/forEach.static.d.ets:35 定义 ItemGeneratorFunc<T> = (item: T, index: int) => void，:48 定义 KeyGeneratorFunc<T> = (item: T, index: int) => string，:117-120 声明 ForEach<T> 的 arr、itemGenerator、keyGenerator 使用同一个泛型 T。docs中 /home/y/openharmony/docs/zh-cn/application-dev/reference/apis-arkui/arkui-ts/ts-rendering-control-foreach.md:19-35 也说明 keyGenerator 的 item 是 arr 数组中的数据项且返回 string。ace_engine中 /home/y/openharmony/foundation/arkui/ace_engine/frameworks/bridge/arkts_frontend/koala_projects/arkoala-arkts/arkui-ohos/src/component/forEach.ets:27-32、:47-51、:66-69 均以同一个 T 约束 arr、itemGenerator 和 keyGenerator，并要求 keyGenerator 返回 string。因此示例 keyGenerator 参数写成 string 的问题存在。",已将 /home/y/openharmony/docs/zh-cn/application-dev/reference/apis-arkui/arkts-apis-uicontext-uiobserver.md:373 的 keyGenerator 从 (item: string) => item 修改为 (item: number) => item.toString()。未直接采用原建议 (item: number) => item，因为 ForEach 的 KeyGeneratorFunc<T> 返回类型应为 string。
openharmony/docs,zh-cn/application-dev/reference/apis-arkui/arkts-apis-uicontext-uiobserver.md,763,code comments,"❌**疑似检测出文本重复问题**

错误原因：按钮文本""解除注册注册布局完成监听""中""注册""重复出现，应为""解除注册布局完成监听""。
建议修改为：
```suggestion
        Button('解除注册布局完成监听')
```",645a5dbce42b422d8b6f3079c07ab5b7,c1b9c078-8170-43b4-88e0-ca2a6f757203,刘凯,是,"docs中 /home/y/openharmony/docs/zh-cn/application-dev/reference/apis-arkui/arkts-apis-uicontext-uiobserver.md:723-738 说明 on('didLayout') 用于监听每一帧布局完成情况，:757 的按钮文案为“注册布局完成监听”，修改前 :763 的取消按钮文案为“解除注册注册布局完成监听”，其中“注册”重复；:761 调用 on('didLayout') 添加监听，:766 调用 off('didLayout') 取消监听。interface中 /home/y/openharmony/interface/sdk-js/api/@ohos.arkui.UIContext.d.ts:1976-1987 声明 on(type: 'didLayout', callback) 用于注册布局完成回调，:1989-2001 声明 off(type: 'didLayout', callback?) 用于移除已注册回调。ace_engine中 /home/y/openharmony/foundation/arkui/ace_engine/frameworks/bridge/declarative_frontend/engine/jsUIContext.js:257-270 定义 UIObserver.on/off 并转调 arkui.observer.on/off。docs同类文档 /home/y/openharmony/docs/zh-cn/application-dev/reference/apis-arkui/js-apis-arkui-observer.md:940-947 中注册按钮与取消按钮也分别对应 on/off，没有“注册注册”的重复文本。因此按钮文本重复问题存在。",已将 /home/y/openharmony/docs/zh-cn/application-dev/reference/apis-arkui/arkts-apis-uicontext-uiobserver.md:763 的按钮文本从“解除注册注册布局完成监听”修改为“解除注册布局完成监听”。
openharmony/docs,zh-cn/application-dev/reference/apis-arkui/arkts-apis-uicontext-uiobserver.md,1021,code comments,"❌**疑似检测出注释冗余/不一致问题**

错误原因：注释中`uiObserver.off('didClick', callback)`重复出现两次（第1021行和第1022行），且缺少对应的`uiObserver.on('didClick', callback)`注释。代码中实际调用了`observer.on('didClick', ...)`和`observer.off('didClick')`，注释应与代码一致。
建议修改为：
```suggestion
// uiObserver.on('didClick', callback)
// uiObserver.off('didClick', callback)
```",645a5dbce42b422d8b6f3079c07ab5b7,08b344de-4818-4569-b9c5-3dd79241cc6d,刘凯,是,"排查确认问题存在。docs排查时/home/y/openharmony/docs/zh-cn/application-dev/reference/apis-arkui/arkts-apis-uicontext-uiobserver.md:1019-1022的示例注释中，didClick只写了off且第1021、1022行重复；同一示例实际在/home/y/openharmony/docs/zh-cn/application-dev/reference/apis-arkui/arkts-apis-uicontext-uiobserver.md:1052-1053调用observer.on('didClick', ...)，在/home/y/openharmony/docs/zh-cn/application-dev/reference/apis-arkui/arkts-apis-uicontext-uiobserver.md:1062调用observer.off('didClick')。interface声明/home/y/openharmony/interface/sdk-js/zh-cn/api/@ohos.arkui.UIContext.static.d.ets:2254声明onDidClick，:2264声明offDidClick；ace_engine实现/home/y/openharmony/foundation/arkui/ace_engine/interfaces/napi/kits/observer/js_ui_observer.cpp:97-98定义willClick/didClick事件名，:390-391、:412-413分别注册on/off分发，/home/y/openharmony/foundation/arkui/ace_engine/interfaces/napi/kits/observer/ui_observer.cpp:1090-1118和:1140-1174分别实现didClick注册和反注册。","已将/home/y/openharmony/docs/zh-cn/application-dev/reference/apis-arkui/arkts-apis-uicontext-uiobserver.md:1021由“// uiObserver.off('didClick', callback)”修改为“// uiObserver.on('didClick', callback)”，保留:1022的off注释，使示例注释覆盖didClick的on/off且不重复。"
