所属父类,问题位置（行号）,问题状态,标记,严重程度,Kit名称,开发责任人,测试责任人,问题描述,备注,修改建议,问题原文,参考句,PR地址,PR编号,规则提示词,质量维度,一级指标,二级指标,评估内容（测试点）,是否是问题,原因,修改方案
ArkUI_RoundRectShapeOption,10,未确认,,P1,ArkUI,,,该 typedef 声明末尾缺少分号，不是完整合法的 C 声明；开发者直接复制使用时会产生编译错误。,,typedef struct ArkUI_RoundRectShape ArkUI_RoundRectShapeOption;,typedef struct ArkUI_RoundRectShape ArkUI_RoundRectShapeOption,4.   代码块中代码编写不符合语法、规范等。,,,https://gitcode.com/BeicC/docs-prompt/blob/feature_use_local_pr_information/agentic-workflow/skills/code-comments/SKILL.md,,,,,否,文档capi-arkui-nativemodule-arkui-roundrectshapeoption.md第10行采用C API类型页的签名展示格式；同目录212个typedef代码块均不写分号，而真实声明在interface/sdk_c/arkui/ace_engine/native/native_render.h第155行已包含分号。,无需修改；保留C API类型页统一的typedef签名展示格式。
ArkUI_RoundRectShapeOption,15,未确认,,P2,ArkUI,,,“圆角矩形形状配置项”已经表明该类型用于配置圆角矩形形状，后续“用于配置圆角矩形形状”重复表达相同含义，存在语义冗余。,,定义圆角矩形形状配置项，可用于创建渲染节点遮罩或裁剪。,定义圆角矩形形状配置项，用于配置圆角矩形形状，并可用于创建渲染节点遮罩或裁剪。,"是否存在冗余修饰、重复啰嗦的表述（如""的作用是""""通过...来""""所对应的""等堆砌）",,,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/18_1_1_1.md,体验,内容规范性,文档语言符合规范,验证文档符合风格指南中对清晰、简洁、具体、一致等维度的规范要求,否,capi-arkui-nativemodule-arkui-roundrectshapeoption.md第15行先定义配置项，再说明配置对象及遮罩、裁剪用途，符合native-template.md第62至65行对结构体作用和使用场合的说明要求，不属于需要删除的冗余。,无需修改；保持第15行原文，并同步保持capi-native-render-h.md第45行汇总表原文。
ArkUI_ScaleOptions,31,未确认,,P2,ArkUI,,,该描述仅说明z参数在二维显示模式下无效，未说明其在三维显示模式下的取值原则以及不同取值区间或特殊值对应的缩放效果，用户无法据此确定实现预期三维缩放场景所需的参数值。,,z轴的缩放倍数。在二维显示模式下，该参数无效；在三维显示模式下，应依据需求设计说明书补充不同取值区间及特殊值对应的缩放效果。,z轴的缩放倍数。在二维显示模式下，该参数无效。,'- **规则名称**: 参考需求设计说明书，检查文档中是否说明参数取值原则，如参数取值存在某些隐含规则、参数需要为某个值才能实现某个场景。,,,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/12_2_2_4.md,体验,知识点完整,API接口/方法/参数/错误码/权限等完整,验证文档中参数的取值说明、使用建议、注意事项提供完整,否,capi-arkui-nativemodule-arkui-scaleoptions.md第31行所在文档归属非本组，本批次不处理；已按检视意见撤销该页面及capi-native-type-visual-h.md第30行汇总表的相关修改。,无需修改；该问题转由文档归属组处理，本组保持原文。
ArkUI_ScaleOptions,15,未确认,,P2,ArkUI,,,概述仅说明该结构体表示组件转场时的缩放效果对象，未概括其可配置各轴缩放倍数和变换中心点的核心能力，读者无法仅通过总体描述完整了解该对象在组件转场中的具体用途。,,定义组件转场时的缩放效果对象，用于配置组件在转场过程中的各轴缩放倍数和变换中心点。,定义组件转场时的缩放效果对象。,'- **规则名称**: 检查文档中提供的功能场景、特点描述是否全面，能解决哪些问题以及带来的收益是否完整。,,,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/11_1_1_1.md,体验,知识点完整,概念/功能/原理/场景描述完整,验证模块的定义、功能、使用场景、用法用途完整无缺失,否,capi-arkui-nativemodule-arkui-scaleoptions.md第15行所在文档归属非本组，本批次不处理；已按检视意见撤销该页面及capi-native-type-visual-h.md第30行汇总表的相关修改。,无需修改；该问题转由文档归属组处理，本组保持原文。
ArkUI_ScaleOptions,30,未确认,,P1,ArkUI,,,同类成员变量x的描述明确说明“缩放以centerX为锚点进行”，centerY的描述也明确说明其取值决定y轴缩放的锚点位置，但y的自身描述未说明缩放以centerY为锚点进行。x与y属于参数结构和功能对称的同组属性，二者对关联锚点属性的说明不一致，导致用户仅查看y时无法完整获知其锚点依赖关系。,,| float y | y轴的缩放倍数。y>1时以y轴方向放大，0<y<1时以y轴方向缩小，y<0时沿y轴方向反向，缩放倍数为\|y\|。缩放以centerY为锚点进行。注意：y=0时组件在y轴方向完全消失，y<0时会产生方向反转效果，使用时需留意特殊值的影响。 |,| float y | y轴的缩放倍数。y>1时以y轴方向放大，0<y<1时以y轴方向缩小，y<0时沿y轴方向反向，缩放倍数为\|y\|。注意：y=0时组件在y轴方向完全消失，y<0时会产生方向反转效果，使用时需留意特殊值的影响。 |,**同类方法已有说明，本方法没有**：同一文档中，功能相似或相关联的一组方法/属性，部分已说明了生效条件，但另一部分未提及。,,,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/12_1_2_3.md,体验,知识点完整,API接口/方法/参数/错误码/权限等完整,验证文档中关于方法/函数的使用建议、注意事项提供完整,否,capi-arkui-nativemodule-arkui-scaleoptions.md第30行所在文档归属非本组，本批次不处理；已按检视意见撤销该页面及capi-native-type-visual-h.md第30行汇总表的相关修改。,无需修改；该问题转由文档归属组处理，本组保持原文。
ArkUI_ScaleOptions,30,未确认,,P1,ArkUI,,,同类参数x已明确说明“缩放以centerX为锚点进行”，centerY的参数说明也明确指出其取值会影响y方向的缩放锚点行为，但y参数自身未说明y轴缩放以centerY为锚点，导致关联参数centerY对当前缩放操作的影响描述不完整。,,y轴的缩放倍数。y>1时以y轴方向放大，0<y<1时以y轴方向缩小，y<0时沿y轴方向反向，缩放倍数为\|y\|。缩放以centerY为锚点进行。注意：y=0时组件在y轴方向完全消失，y<0时会产生方向反转效果，使用时需留意特殊值的影响。,y轴的缩放倍数。y>1时以y轴方向放大，0<y<1时以y轴方向缩小，y<0时沿y轴方向反向，缩放倍数为\|y\|。注意：y=0时组件在y轴方向完全消失，y<0时会产生方向反转效果，使用时需留意特殊值的影响。,若使用该参数时有前提条件/前置操作，检查文档中关于设置该参数的前提条件、前置操作描述是否完整，前置参数设置后返回值或者回调对当前参数的影响，以及对当前操作的影响描述是否完整。,,,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/12_2_2_7.md,体验,知识点完整,API接口/方法/参数/错误码/权限等完整,验证文档中参数的取值说明、使用建议、注意事项提供完整,否,capi-arkui-nativemodule-arkui-scaleoptions.md第30行所在文档归属非本组，本批次不处理；已按检视意见撤销该页面及capi-native-type-visual-h.md第30行汇总表的相关修改。,无需修改；该问题转由文档归属组处理，本组保持原文。
ArkUI_ScaleOptions,30,未确认,,P1,ArkUI,,,同类参数x的描述明确说明“缩放以centerX为锚点进行”，且centerY的描述已明确其取值会影响y方向的缩放锚点行为，但y参数自身未说明y轴缩放与centerY的配合关系，导致同类参数的关联信息完整度不一致。,,| float y | y轴的缩放倍数。y>1时以y轴方向放大，0<y<1时以y轴方向缩小，y<0时沿y轴方向反向，缩放倍数为\|y\|。缩放以centerY为锚点进行。注意：y=0时组件在y轴方向完全消失，y<0时会产生方向反转效果，使用时需留意特殊值的影响。 |,| float y | y轴的缩放倍数。y>1时以y轴方向放大，0<y<1时以y轴方向缩小，y<0时沿y轴方向反向，缩放倍数为\|y\|。注意：y=0时组件在y轴方向完全消失，y<0时会产生方向反转效果，使用时需留意特殊值的影响。 |,**同类参数已有说明，本参数没有**：同一文档中，功能相似或相关联的一组参数，部分已说明了相关信息，但另一部分未提及。,,,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/12_2_2_9.md,体验,知识点完整,API接口/方法/参数/错误码/权限等完整,验证文档中参数的取值说明、使用建议、注意事项提供完整,否,capi-arkui-nativemodule-arkui-scaleoptions.md第30行所在文档归属非本组，本批次不处理；已按检视意见撤销该页面及capi-native-type-visual-h.md第30行汇总表的相关修改。,无需修改；该问题转由文档归属组处理，本组保持原文。
ArkUI_ScaleOptions,33,未确认,,P2,ArkUI,,,“取值决定缩放时锚点的y方向位置”和“不同取值会产生不同的缩放锚点行为”重复说明centerY取值会影响锚点位置；“不同的缩放锚点行为”表述抽象，且未提供超出后续三个具体取值说明的新信息。,,组件变换中心点（即锚点）的y轴坐标，单位为vp。取值为0、组件高度一半或组件高度时，缩放分别从组件顶部边缘、垂直中心或底部边缘展开。,组件变换中心点（即锚点）的y轴坐标，单位为vp。取值决定缩放时锚点的y方向位置，不同取值会产生不同的缩放锚点行为。取值为0时缩放从组件顶部边缘展开，取值为组件高度一半时缩放从垂直中心展开，取值为组件高度时缩放从底部边缘展开。,能否在不丢失信息的前提下用更少的文字表达,,,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/18_1_1_1.md,体验,内容规范性,文档语言符合规范,验证文档符合风格指南中对清晰、简洁、具体、一致等维度的规范要求,否,capi-arkui-nativemodule-arkui-scaleoptions.md第33行所在文档归属非本组，本批次不处理；已按检视意见撤销该页面及capi-native-type-visual-h.md第30行汇总表的相关修改。,无需修改；该问题转由文档归属组处理，本组保持原文。
ArkUI_ScaleOptions,32,未确认,,P2,ArkUI,,,“不同centerX值下缩放起始位置不同”“取值决定缩放时锚点的x方向位置”和“不同取值会产生不同的缩放锚点行为”均在说明centerX取值会影响锚点位置，语义重复；其中“不同的缩放锚点行为”也较为抽象，而后续具体取值说明已经完整表达相关效果。,,组件变换中心点（即锚点）的x轴坐标，单位为vp，x轴缩放效果以该点为锚点。取值为0、组件宽度一半或组件宽度时，缩放分别从组件左边缘、水平中心或右边缘展开。,组件变换中心点（即锚点）的x轴坐标，单位为vp。x轴缩放效果以该点为锚点进行，不同centerX值下缩放起始位置不同。取值决定缩放时锚点的x方向位置，不同取值会产生不同的缩放锚点行为。取值为0时缩放从组件左边缘展开，取值为组件宽度一半时缩放从水平中心展开，取值为组件宽度时缩放从右边缘展开。,能否在不丢失信息的前提下用更少的文字表达,,,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/18_1_1_1.md,体验,内容规范性,文档语言符合规范,验证文档符合风格指南中对清晰、简洁、具体、一致等维度的规范要求,否,capi-arkui-nativemodule-arkui-scaleoptions.md第32行所在文档归属非本组，本批次不处理；已按检视意见撤销该页面及capi-native-type-visual-h.md第30行汇总表的相关修改。,无需修改；该问题转由文档归属组处理，本组保持原文。
ArkUI_ScaleOptions,30,未确认,,P2,ArkUI,,,前文“y<0时沿y轴方向反向”已经说明负值会导致方向反转，后文“y<0时会产生方向反转效果”重复表达相同信息；“使用时需留意特殊值的影响”未补充具体注意事项，属于无有效信息的冗余提醒。,,y轴的缩放倍数。y>1时以y轴方向放大，0<y<1时以y轴方向缩小，y<0时沿y轴方向反向，缩放倍数为\|y\|。y=0时组件在y轴方向完全消失。,y轴的缩放倍数。y>1时以y轴方向放大，0<y<1时以y轴方向缩小，y<0时沿y轴方向反向，缩放倍数为\|y\|。注意：y=0时组件在y轴方向完全消失，y<0时会产生方向反转效果，使用时需留意特殊值的影响。,"是否存在冗余修饰、重复啰嗦的表述（如""的作用是""""通过...来""""所对应的""等堆砌）",,,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/18_1_1_1.md,体验,内容规范性,文档语言符合规范,验证文档符合风格指南中对清晰、简洁、具体、一致等维度的规范要求,否,capi-arkui-nativemodule-arkui-scaleoptions.md第30行所在文档归属非本组，本批次不处理；已按检视意见撤销该页面及capi-native-type-visual-h.md第30行汇总表的相关修改。,无需修改；该问题转由文档归属组处理，本组保持原文。
