ID,客户端ID,本地问题ID,批次名,目标版本,领域,文档类型,规则编号,规则名称,文档名称,文档地址,API名称,所属父类,问题位置（行号）,问题状态,标记,严重程度,Kit名称,开发责任人,测试责任人,问题描述,备注,修改建议,问题原文,参考句,PR地址,PR编号,规则提示词,质量维度,一级指标,二级指标,评估内容（测试点）,是否是问题,原因,修改方案
cmrjyt2990sknjfkgs5kug4sq,f56eb49f-f753-4482-bb74-e10355810efe,cmrjyt2990sknjfkgs5kug4sq,071_pipeline-r3,OpenHarmony 7.0,ArkUI开发框架,api_reference,0.30.1.4,检测 Markdown 文件中代码注释和描述准确性问题、代码规范性检查。,capi-arkui-nativemodule-arkui-nodeborderstyleoption.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/capi-arkui-nativemodule-arkui-nodeborderstyleoption.md,,ArkUI_NodeBorderStyleOption,10,未确认,,P1,ArkUI,,,该C语言typedef声明末尾缺少分号，不是完整、合法的声明，直接复制后会导致编译错误。,,typedef struct ArkUI_NodeBorderStyle ArkUI_NodeBorderStyleOption;,typedef struct ArkUI_NodeBorderStyle ArkUI_NodeBorderStyleOption,代码块中代码编写不符合语法、规范等。,,,https://gitcode.com/BeicC/docs-prompt/blob/feature_use_local_pr_information/agentic-workflow/skills/code-comments/SKILL.md,,,,,否,interface/sdk_c/arkui/ace_engine/native/native_render.h:120的真实typedef声明包含分号；zh-cn/contribute/template/native-template.md:5说明Native API文档由头文件生成，文档capi-arkui-nativemodule-arkui-nodeborderstyleoption.md:10是生成的类型签名摘要，不是可独立编译的示例代码。,不修改文档；保留capi-arkui-nativemodule-arkui-nodeborderstyleoption.md:10的生成式签名，完整声明以native_render.h:120为准。
cmrjm0ow80g0hjfkg6ydwwm1a,f56eb49f-f753-4482-bb74-e10355810efe,cmrjm0ow80g0hjfkg6ydwwm1a,071_pipeline-r3,OpenHarmony 7.0,ArkUI开发框架,api_reference,11.1.1.1,检查文档中提供的功能场景、特点描述是否全面，能解决哪些问题以及带来的收益是否完整。,capi-arkui-nativemodule-arkui-nodeborderstyleoption.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/capi-arkui-nativemodule-arkui-nodeborderstyleoption.md,,ArkUI_NodeBorderStyleOption,15,未确认,,P2,ArkUI,,,该概述只说明了配置项的基本功能，没有说明其适用场景，未完整呈现用户可在何种情况下使用该配置项。由于该句属于标题后的总体概述，处于本规则明确规定的检查范围内。,,定义边框样式配置项，用于为渲染节点的各边设置边框样式，适用于需要配置节点边框显示效果的场景。,定义边框样式配置项，用于为渲染节点的各边设置边框样式。,检查文档中提供的功能场景、特点描述是否全面，能解决哪些问题以及带来的收益是否完整。,,,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/11_1_1_1.md,体验,知识点完整,概念/功能/原理/场景描述完整,验证模块的定义、功能、使用场景、用法用途完整无缺失,否,capi-arkui-nativemodule-arkui-nodeborderstyleoption.md:15已明确该配置项用于为渲染节点各边设置边框样式，且interface/sdk_c/arkui/ace_engine/native/native_render.h:1071-1083对应接口正是将该配置项设置到RenderNode，功能和使用时机已可直接理解。,不修改capi-arkui-nativemodule-arkui-nodeborderstyleoption.md:15，避免追加“适用于配置边框样式场景”这类同义重复。
cmrjlxnh60fs0jfkgjdlquwx3,f56eb49f-f753-4482-bb74-e10355810efe,cmrjlxnh60fs0jfkgjdlquwx3,071_pipeline-r3,OpenHarmony 7.0,ArkUI开发框架,api_reference,23.1.1.1,示例代码片段根据提示进行配置，或进行少量修改，放入上下文可在IDE中可正常编译，无报错和告警（因示例代码片段缺少定义，若有对应注释说明可忽略），运行后结果与描述/示意图一致性，不能出现crash、界面白屏/黑屏现象。,capi-arkui-nativemodule-arkui-nodeborderstyleoption.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/capi-arkui-nativemodule-arkui-nodeborderstyleoption.md,,ArkUI_NodeBorderStyleOption,10,未确认,,P1,ArkUI,,,该typedef声明末尾缺少C语言语法要求的分号，放入C语言上下文编译时会产生语法错误，不符合代码片段应可正常编译且无报错的要求。,,typedef struct ArkUI_NodeBorderStyle ArkUI_NodeBorderStyleOption;,typedef struct ArkUI_NodeBorderStyle ArkUI_NodeBorderStyleOption,示例代码片段根据提示进行配置，或进行少量修改，放入上下文可在IDE中可正常编译，无报错和告警（因示例代码片段缺少定义，若有对应注释说明可忽略），运行后结果与描述/示意图一致性，不能出现crash、界面白屏/黑屏现象。,,,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/23_1_1_1.md,质量,示例代码可用实用,示例代码可用性,验证文档中提供的示例代码片段语法和逻辑正确，编译运行无报错和告警,否,interface/sdk_c/arkui/ace_engine/native/native_render.h:120的真实typedef声明包含分号；capi-arkui-nativemodule-arkui-nodeborderstyleoption.md:10是Native头文件生成的API签名摘要，不属于要求可直接编译运行的示例代码。,不修改capi-arkui-nativemodule-arkui-nodeborderstyleoption.md:10；实际可编译声明见native_render.h:120。
cmrjywfvn0so4jfkgd9pp2z3b,f56eb49f-f753-4482-bb74-e10355810efe,cmrjywfvn0so4jfkgd9pp2z3b,071_pipeline-r3,OpenHarmony 7.0,ArkUI开发框架,api_reference,23.1.1.1,示例代码片段根据提示进行配置，或进行少量修改，放入上下文可在IDE中可正常编译，无报错和告警（因示例代码片段缺少定义，若有对应注释说明可忽略），运行后结果与描述/示意图一致性，不能出现crash、界面白屏/黑屏现象。,capi-arkui-nativemodule-arkui-nodeborderwidthoption.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/capi-arkui-nativemodule-arkui-nodeborderwidthoption.md,,ArkUI_NodeBorderWidthOption,10,未确认,,P1,ArkUI,,,该C语言typedef声明末尾缺少分号，不符合C语言语法；即使补充相关类型上下文，代码仍会产生编译错误。,,typedef struct ArkUI_NodeBorderWidth ArkUI_NodeBorderWidthOption;,typedef struct ArkUI_NodeBorderWidth ArkUI_NodeBorderWidthOption,示例代码片段根据提示进行配置，或进行少量修改，放入上下文可在IDE中可正常编译，无报错和告警（因示例代码片段缺少定义，若有对应注释说明可忽略），运行后结果与描述/示意图一致性，不能出现crash、界面白屏/黑屏现象。,,,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/23_1_1_1.md,质量,示例代码可用实用,示例代码可用性,验证文档中提供的示例代码片段语法和逻辑正确，编译运行无报错和告警,否,interface/sdk_c/arkui/ace_engine/native/native_render.h:127的真实typedef声明包含分号；capi-arkui-nativemodule-arkui-nodeborderwidthoption.md:10是生成的类型签名摘要，并非示例代码。,不修改capi-arkui-nativemodule-arkui-nodeborderwidthoption.md:10；实际声明以native_render.h:127为准。
cmrjm6a490gdcjfkgkoahtb3f,f56eb49f-f753-4482-bb74-e10355810efe,cmrjm6a490gdcjfkgkoahtb3f,071_pipeline-r3,OpenHarmony 7.0,ArkUI开发框架,api_reference,11.1.1.1,检查文档中提供的功能场景、特点描述是否全面，能解决哪些问题以及带来的收益是否完整。,capi-arkui-nativemodule-arkui-nodeborderwidthoption.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/capi-arkui-nativemodule-arkui-nodeborderwidthoption.md,,ArkUI_NodeBorderWidthOption,15,未确认,,P2,ArkUI,,,概述仅说明该类型是边框宽度配置项，未说明其具体用途和适用场景，用户无法从总体描述中完整了解该配置项能够完成的配置操作及使用时机，功能和场景描述不够完整。,,定义边框宽度配置项，用于设置节点的边框宽度，适用于自定义节点边框宽度的场景。,定义边框宽度配置项。,'- **规则名称**: 检查文档中提供的功能场景、特点描述是否全面，能解决哪些问题以及带来的收益是否完整。,,,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/11_1_1_1.md,体验,知识点完整,概念/功能/原理/场景描述完整,验证模块的定义、功能、使用场景、用法用途完整无缺失,是,修改前capi-arkui-nativemodule-arkui-nodeborderwidthoption.md:15仅写“定义边框宽度配置项”，没有说明用途；interface/sdk_c/arkui/ace_engine/native/native_render.h:1101-1113明确该配置项用于向RenderNode设置边框宽度。,已将capi-arkui-nativemodule-arkui-nodeborderwidthoption.md:15补充为“定义边框宽度配置项，用于配置渲染节点各边的边框宽度。”，并同步capi-native-render-h.md:41的汇总表描述。
cmrjm1a6w0g23jfkgukgp2sjz,f56eb49f-f753-4482-bb74-e10355810efe,cmrjm1a6w0g23jfkgukgp2sjz,071_pipeline-r3,OpenHarmony 7.0,ArkUI开发框架,api_reference,0.30.1.4,检测 Markdown 文件中代码注释和描述准确性问题、代码规范性检查。,capi-arkui-nativemodule-arkui-nodeborderwidthoption.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/capi-arkui-nativemodule-arkui-nodeborderwidthoption.md,,ArkUI_NodeBorderWidthOption,10,未确认,,P1,ArkUI,,,该 typedef 声明末尾缺少分号。C 语言声明必须以分号结束，否则此代码无法通过编译。,,typedef struct ArkUI_NodeBorderWidth ArkUI_NodeBorderWidthOption;,typedef struct ArkUI_NodeBorderWidth ArkUI_NodeBorderWidthOption,代码块中代码编写不符合语法、规范等。,,,https://gitcode.com/BeicC/docs-prompt/blob/feature_use_local_pr_information/agentic-workflow/skills/code-comments/SKILL.md,,,,,否,interface/sdk_c/arkui/ace_engine/native/native_render.h:127的真实typedef声明包含分号；capi-arkui-nativemodule-arkui-nodeborderwidthoption.md:10是生成的API签名摘要，不是独立代码示例。,不修改capi-arkui-nativemodule-arkui-nodeborderwidthoption.md:10；完整声明见native_render.h:127。
cmrjm9wf20gkbjfkgqr20nfvj,f56eb49f-f753-4482-bb74-e10355810efe,cmrjm9wf20gkbjfkgqr20nfvj,071_pipeline-r3,OpenHarmony 7.0,ArkUI开发框架,api_reference,18.1.1.1,验证文档符合风格指南中对清晰、简洁、具体、一致等维度的规范要求。,capi-arkui-nativemodule-arkui-nodecontent8h.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/capi-arkui-nativemodule-arkui-nodecontent8h.md,,ArkUI_NodeContent*,15,未确认,,P3,ArkUI,,,中文与英文术语“ArkUI_NodeContent”“Native”“NodeContent”之间均未添加空格，不符合中英文混排格式规范。,,定义 ArkUI_NodeContent 在 Native 侧的实例对象指针，用于在 Native 接口中引用和传递 NodeContent 实例。,定义ArkUI_NodeContent在Native侧的实例对象指针，用于在Native接口中引用和传递NodeContent实例。,'- 中英文混排是否符合规范（如中英文之间是否有空格）,,,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/18_1_1_1.md,体验,内容规范性,文档语言符合规范,验证文档符合风格指南中对清晰、简洁、具体、一致等维度的规范要求,否,zh-cn/contribute/template/README-template.md:40明确规定英文字母和中文字之间不要有空格；因此capi-arkui-nativemodule-arkui-nodecontent8h.md:15的ArkUI_NodeContent、Native和NodeContent与中文连续书写不构成格式问题。,不针对空格修改capi-arkui-nativemodule-arkui-nodecontent8h.md:15，保留现有中英文混排方式。
cmrjm9et50giujfkg6g8l7d59,f56eb49f-f753-4482-bb74-e10355810efe,cmrjm9et50giujfkg6g8l7d59,071_pipeline-r3,OpenHarmony 7.0,ArkUI开发框架,api_reference,23.1.1.1,示例代码片段根据提示进行配置，或进行少量修改，放入上下文可在IDE中可正常编译，无报错和告警（因示例代码片段缺少定义，若有对应注释说明可忽略），运行后结果与描述/示意图一致性，不能出现crash、界面白屏/黑屏现象。,capi-arkui-nativemodule-arkui-nodecontent8h.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/capi-arkui-nativemodule-arkui-nodecontent8h.md,,ArkUI_NodeContent*,10,未确认,,P1,ArkUI,,,该typedef声明末尾缺少C语言语法要求的分号，放入C源文件或头文件后会产生语法错误，无法正常编译。,,typedef struct ArkUI_NodeContent* ArkUI_NodeContentHandle;,typedef struct ArkUI_NodeContent* ArkUI_NodeContentHandle,示例代码片段根据提示进行配置，或进行少量修改，放入上下文可在IDE中可正常编译，无报错和告警（因示例代码片段缺少定义，若有对应注释说明可忽略），运行后结果与描述/示意图一致性，不能出现crash、界面白屏/黑屏现象。,,,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/23_1_1_1.md,质量,示例代码可用实用,示例代码可用性,验证文档中提供的示例代码片段语法和逻辑正确，编译运行无报错和告警,否,interface/sdk_c/arkui/ace_engine/native/native_type.h:93的真实typedef声明包含分号；capi-arkui-nativemodule-arkui-nodecontent8h.md:10是生成的类型签名摘要，不是可复制运行的示例代码。,不修改capi-arkui-nativemodule-arkui-nodecontent8h.md:10；实际声明以native_type.h:93为准。
cmrjm764t0getjfkg4y1jatp0,f56eb49f-f753-4482-bb74-e10355810efe,cmrjm764t0getjfkg4y1jatp0,071_pipeline-r3,OpenHarmony 7.0,ArkUI开发框架,api_reference,0.30.1.4,检测 Markdown 文件中代码注释和描述准确性问题、代码规范性检查。,capi-arkui-nativemodule-arkui-nodecontent8h.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/capi-arkui-nativemodule-arkui-nodecontent8h.md,,ArkUI_NodeContent*,10,未确认,,P1,ArkUI,,,该 typedef 声明末尾缺少 C 语言语法要求的分号，无法作为完整声明通过编译。,,typedef struct ArkUI_NodeContent* ArkUI_NodeContentHandle;,typedef struct ArkUI_NodeContent* ArkUI_NodeContentHandle,4.   代码块中代码编写不符合语法、规范等。,,,https://gitcode.com/BeicC/docs-prompt/blob/feature_use_local_pr_information/agentic-workflow/skills/code-comments/SKILL.md,,,,,否,interface/sdk_c/arkui/ace_engine/native/native_type.h:93的真实typedef声明包含分号；capi-arkui-nativemodule-arkui-nodecontent8h.md:10仅展示生成的API签名。,不修改capi-arkui-nativemodule-arkui-nodecontent8h.md:10；完整声明见native_type.h:93。
cmrjmdkx30guwjfkg3ajmsrp7,f56eb49f-f753-4482-bb74-e10355810efe,cmrjmdkx30guwjfkg3ajmsrp7,071_pipeline-r3,OpenHarmony 7.0,ArkUI开发框架,api_reference,0.30.1.4,检测 Markdown 文件中代码注释和描述准确性问题、代码规范性检查。,capi-arkui-nativemodule-arkui-nodecontentevent.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/capi-arkui-nativemodule-arkui-nodecontentevent.md,,ArkUI_NodeContentEvent,10,未确认,,P1,ArkUI,,,该行是C语言typedef声明，但末尾缺少必需的分号，无法构成合法、完整的声明，直接复制使用会导致编译错误。,,typedef struct ArkUI_NodeContentEvent ArkUI_NodeContentEvent;,typedef struct ArkUI_NodeContentEvent ArkUI_NodeContentEvent,代码块中代码编写不符合语法、规范等。,,,https://gitcode.com/BeicC/docs-prompt/blob/feature_use_local_pr_information/agentic-workflow/skills/code-comments/SKILL.md,,,,,否,interface/sdk_c/arkui/ace_engine/native/native_node.h:13580的真实typedef声明包含分号；capi-arkui-nativemodule-arkui-nodecontentevent.md:10是生成的类型签名摘要，不是示例代码。,不修改capi-arkui-nativemodule-arkui-nodecontentevent.md:10；实际声明以native_node.h:13580为准。
