ID,规则编号,规则名称,文档名称,文档地址,API名称,所属父类,问题位置（行号）,问题状态,严重程度,Kit名称,开发责任人,测试责任人,问题描述,备注,修改建议,问题原文,规则提示词,质量维度,一级指标,二级指标,评估内容（测试点）,是否是问题,原因,修改方案
cmramc3uw0qmrh67bn1d9zym8,0.30.1.11,"文档知识正确性验证。检视 OpenHarmony API 文档中的技术描述是否与权威标准规范（W3C、CSS 等）、数学定义或行业事实一致。当发现知识性问题时，进一步对照业务代码实现，区分""文档描述错误""、""代码实现错误""或""三方均异常""。触发词：文档描述验证、文档知识正确性、描述是否准确、参数说明验证、文档纠错、文档与代码对照。",capi-native-interface-h.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/capi-native-interface-h.md,OH_ArkUI_GetModuleInterface,native_interface.h,113,未确认,P1,ArkUI,,,该句对宏参数类型的描述不准确。第101-107行宏定义中，structType被用作宏形参：一方面通过#structType字符串化后传入OH_ArkUI_QueryModuleInterfaceByName，另一方面用于(structType*)类型转换。因此调用宏时第二个实参应是结构体类型名，而不是const char*类型参数；structPtr也应描述为用于接收赋值的结构体指针变量，而不是普通函数意义上的structType*类型参数。当前描述可能误导开发者传入字符串变量或按函数参数理解该宏，导致宏展开后编译错误或调用方式错误。,,基于结构体类型获取对应结构体指针的宏函数。此宏函数接收[ArkUI_NativeAPIVariantKind](capi-native-interface-h.md#arkui_nativeapivariantkind)类型枚举参数nativeAPIVariantKind、结构体类型参数structType、结构体指针变量structPtr，调用[OH_ArkUI_QueryModuleInterfaceByName](#oh_arkui_querymoduleinterfacebyname)获取Native接口抽象指针，转换为structType*类型后赋值给structPtr。,基于结构体类型获取对应结构体指针的宏函数。此宏函数接收[ArkUI_NativeAPIVariantKind](capi-native-interface-h.md#arkui_nativeapivariantkind)类型枚举参数nativeAPIVariantKind、const char\*类型参数structType、structType\*类型参数structPtr，调用[OH_ArkUI_QueryModuleInterfaceByName](#oh_arkui_querymoduleinterfacebyname)获取Native接口抽象指针，转换为structType\*类型后赋值给structPtr。,https://gitcode.com/openharmonyinsight/openharmony-skills/blob/main/skills/oh-doc-knowledge-verifier/SKILL.md,体验,知识点完整,,,是,interface/sdk_c/arkui/ace_engine/native/native_interface.h第124-130行宏定义显示structType被#structType字符串化并用于(structType*)转换；文档原第113行将structType描述为const char*类型参数，与代码不一致。,已修改zh-cn/application-dev/reference/apis-arkui/capi-native-interface-h.md第114行，将structType说明为结构体类型参数，将structPtr说明为结构体指针变量。
cmramc3uf0qmph67bn8eq0m83,12.1.1.2,检查文档中清楚地说明了使用场景。,capi-native-interface-h.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/capi-native-interface-h.md,OH_ArkUI_GetModuleInterface,native_interface.h,113,未确认,P2,ArkUI,,,该宏函数的描述主要说明了功能和内部调用过程，但没有清楚说明开发者在什么场景下使用该宏。作为获取具体Native接口结构体指针的宏函数，仅描述“获取指针”和参数转换机制，不足以满足规则中“说明使用场景”的要求。,,基于结构体类型获取对应结构体指针的宏函数，适用于已确定Native接口集合类型和接口结构体类型，需要获取具体Native接口结构体指针以调用ArkUI Native C API的场景。此宏函数接收[ArkUI_NativeAPIVariantKind](capi-native-interface-h.md#arkui_nativeapivariantkind)类型枚举参数nativeAPIVariantKind、const char\*类型参数structType、structType\*类型参数structPtr，调用[OH_ArkUI_QueryModuleInterfaceByName](#oh_arkui_querymoduleinterfacebyname)获取Native接口抽象指针，转换为structType\*类型后赋值给structPtr。,基于结构体类型获取对应结构体指针的宏函数。此宏函数接收[ArkUI_NativeAPIVariantKind](capi-native-interface-h.md#arkui_nativeapivariantkind)类型枚举参数nativeAPIVariantKind、const char\*类型参数structType、structType\*类型参数structPtr，调用[OH_ArkUI_QueryModuleInterfaceByName](#oh_arkui_querymoduleinterfacebyname)获取Native接口抽象指针，转换为structType\*类型后赋值给structPtr。,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/12_1_1_2.md,体验,知识点完整,API接口/方法/参数/错误码/权限等完整,验证文档中关于方法/函数的含义/功能、使用场景、使用效果提供完整,是,interface/sdk_c/arkui/ace_engine/native/native_interface.h第118-119行示例展示先声明具体结构体指针再调用OH_ArkUI_GetModuleInterface获取接口；文档原第113行只说明转换过程，缺少使用场景。,已修改zh-cn/application-dev/reference/apis-arkui/capi-native-interface-h.md第114行，补充“适用于已确定Native接口集合类型和接口结构体类型，需要获取具体Native接口结构体指针以调用ArkUI Native C API的场景”。
cmramc3up0qmqh67bnz0tqvww,11.1.1.1,检查文档中提供的功能场景、特点描述是否全面，能解决哪些问题以及带来的收益是否完整。,capi-native-interface-h.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/capi-native-interface-h.md,,native_interface.h,11,未确认,P2,ArkUI,,,文档开头标题后的概述段落属于本规则检查范围。该句仅说明提供NativeModule接口的统一入口函数，未概括该头文件的主要能力、使用场景或可解决的问题。结合文档第37行和第80行的函数描述，可明确该入口用于初始化C-API环境并获取指定类型的Native模块接口集合，因此概述信息不够完整，违反模块级总体描述需全面说明功能场景和能力的要求。,,提供NativeModule接口的统一入口函数，用于初始化C-API环境并获取指定类型的Native模块接口集合，适用于通过结构体名称查询并使用ArkUI Native接口的场景。,提供NativeModule接口的统一入口函数。,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/11_1_1_1.md,体验,知识点完整,概念/功能/原理/场景描述完整,验证模块的定义、功能、使用场景、用法用途完整无缺失,是,zh-cn/application-dev/reference/apis-arkui/capi-native-interface-h.md原第11行仅写“提供NativeModule接口的统一入口函数”；但同文档原第80行说明可初始化C-API环境并获取Native模块接口集合，原第117-133行还包含OH_ArkUI_NativeModule_GetErrorMessage能力，概述不完整。,已修改zh-cn/application-dev/reference/apis-arkui/capi-native-interface-h.md第11行，补充初始化C-API环境、获取Native模块接口集合和获取最新报错信息。
cmramc3tf0qmlh67bjmkjipu4,22.1.1.1,点击文档中的超链接，链接跳转后能正常打开页面，不存在断链。,capi-native-interface-h.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/capi-native-interface-h.md,OH_ArkUI_GetModuleInterface,native_interface.h,113,未确认,P2,ArkUI,,,该链接路径中的完整文件名 `capi-native-interface-h.md` 与当前文档文件名一致，且锚点 `#arkui_nativeapivariantkind` 对应当前文档第47行标题 `### ArkUI_NativeAPIVariantKind`。根据规则，指向当前文档内标题时应使用页内锚点链接，而不应带当前文件名。,,基于结构体类型获取对应结构体指针的宏函数。此宏函数接收[ArkUI_NativeAPIVariantKind](#arkui_nativeapivariantkind)类型枚举参数nativeAPIVariantKind、const char\*类型参数structType、structType\*类型参数structPtr，调用[OH_ArkUI_QueryModuleInterfaceByName](#oh_arkui_querymoduleinterfacebyname)获取Native接口抽象指针，转换为structType\*类型后赋值给structPtr。,基于结构体类型获取对应结构体指针的宏函数。此宏函数接收[ArkUI_NativeAPIVariantKind](capi-native-interface-h.md#arkui_nativeapivariantkind)类型枚举参数nativeAPIVariantKind、const char\*类型参数structType、structType\*类型参数structPtr，调用[OH_ArkUI_QueryModuleInterfaceByName](#oh_arkui_querymoduleinterfacebyname)获取Native接口抽象指针，转换为structType\*类型后赋值给structPtr。,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/22_1_1_1.md,质量,内容规范性,超链接规范,验证超链接跳转页面有效,是,zh-cn/application-dev/reference/apis-arkui/capi-native-interface-h.md原第113行链接写为capi-native-interface-h.md#arkui_nativeapivariantkind，目标是同一文档第48行标题ArkUI_NativeAPIVariantKind，使用页内锚点更规范。,已修改zh-cn/application-dev/reference/apis-arkui/capi-native-interface-h.md第114行，将该链接改为#arkui_nativeapivariantkind。
cmramc3t50qmkh67bprwuaokw,22.1.1.1,点击文档中的超链接，链接跳转后能正常打开页面，不存在断链。,capi-native-interface-h.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/capi-native-interface-h.md,OH_ArkUI_QueryModuleInterfaceByName,native_interface.h,89,未确认,P2,ArkUI,,,该链接路径中的完整文件名 `capi-native-interface-h.md` 与当前文档文件名一致，且锚点 `#arkui_nativeapivariantkind` 对应当前文档第47行标题 `### ArkUI_NativeAPIVariantKind`。根据规则，指向当前文档内标题时应使用页内锚点链接，而不应带当前文件名。,,"| [ArkUI_NativeAPIVariantKind](#arkui_nativeapivariantkind) type | ArkUI提供的Native接口集合大类，例如UI组件接口类：ARKUI_NATIVE_NODE, 手势类：ARKUI_NATIVE_GESTURE。 |","| [ArkUI_NativeAPIVariantKind](capi-native-interface-h.md#arkui_nativeapivariantkind) type | ArkUI提供的Native接口集合大类，例如UI组件接口类：ARKUI_NATIVE_NODE, 手势类：ARKUI_NATIVE_GESTURE。 |",https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/22_1_1_1.md,质量,内容规范性,超链接规范,验证超链接跳转页面有效,是,zh-cn/application-dev/reference/apis-arkui/capi-native-interface-h.md原第89行链接写为capi-native-interface-h.md#arkui_nativeapivariantkind，目标是同一文档第48行标题ArkUI_NativeAPIVariantKind，使用页内锚点更规范。,已修改zh-cn/application-dev/reference/apis-arkui/capi-native-interface-h.md第90行，将该链接改为#arkui_nativeapivariantkind。
cmramc3su0qmjh67b8v5iz19w,22.1.1.1,点击文档中的超链接，链接跳转后能正常打开页面，不存在断链。,capi-native-interface-h.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/capi-native-interface-h.md,ArkUI_NativeAPIVariantKind,native_interface.h,65,未确认,P3,ArkUI,,,同一表格行内两个指向同一相对文件的 Markdown 链接分别使用 `./capi-native-animate-h.md` 和 `capi-native-animate-h.md#结构体`，路径写法不一致。该问题不影响目标文件和锚点解析，但符合规则中“链接路径风格不一致”的低优先级问题定义，建议统一为带 `./` 的相对路径。,,| ARKUI_NATIVE_ANIMATE = 3 | 动画相关接口类型，详见[native_animate.h](./capi-native-animate-h.md)中的[结构体](./capi-native-animate-h.md#结构体)类型定义。 |,| ARKUI_NATIVE_ANIMATE = 3 | 动画相关接口类型，详见[native_animate.h](./capi-native-animate-h.md)中的[结构体](capi-native-animate-h.md#结构体)类型定义。 |,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/22_1_1_1.md,质量,内容规范性,超链接规范,验证超链接跳转页面有效,是,zh-cn/application-dev/reference/apis-arkui/capi-native-interface-h.md原第65行同一表格行中native_animate.h链接使用./capi-native-animate-h.md，而“结构体”锚点使用capi-native-animate-h.md#结构体，路径风格不一致。,已修改zh-cn/application-dev/reference/apis-arkui/capi-native-interface-h.md第66行，将“结构体”锚点链接改为./capi-native-animate-h.md#结构体。
cmramc3sm0qmih67bdm541fc7,22.1.1.1,点击文档中的超链接，链接跳转后能正常打开页面，不存在断链。,capi-native-interface-h.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/capi-native-interface-h.md,ArkUI_NativeAPIVariantKind,native_interface.h,64,未确认,P3,ArkUI,,,同一表格行内两个指向同一相对文件的 Markdown 链接分别使用 `./capi-native-gesture-h.md` 和 `capi-native-gesture-h.md#结构体`，路径写法不一致。该问题不影响目标文件和锚点解析，但符合规则中“链接路径风格不一致”的低优先级问题定义，建议统一为带 `./` 的相对路径。,,| ARKUI_NATIVE_GESTURE = 2 | 手势相关接口类型，详见[native_gesture.h](./capi-native-gesture-h.md)中的[结构体](./capi-native-gesture-h.md#结构体)类型定义。 |,| ARKUI_NATIVE_GESTURE = 2 | 手势相关接口类型，详见[native_gesture.h](./capi-native-gesture-h.md)中的[结构体](capi-native-gesture-h.md#结构体)类型定义。 |,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/22_1_1_1.md,质量,内容规范性,超链接规范,验证超链接跳转页面有效,是,zh-cn/application-dev/reference/apis-arkui/capi-native-interface-h.md原第64行同一表格行中native_gesture.h链接使用./capi-native-gesture-h.md，而“结构体”锚点使用capi-native-gesture-h.md#结构体，路径风格不一致。,已修改zh-cn/application-dev/reference/apis-arkui/capi-native-interface-h.md第65行，将“结构体”锚点链接改为./capi-native-gesture-h.md#结构体。
cmramc3sd0qmhh67bznj5h5sf,22.1.1.1,点击文档中的超链接，链接跳转后能正常打开页面，不存在断链。,capi-native-interface-h.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/capi-native-interface-h.md,ArkUI_NativeAPIVariantKind,native_interface.h,63,未确认,P3,ArkUI,,,同一表格行内两个指向同一相对文件的 Markdown 链接分别使用 `./capi-native-dialog-h.md` 和 `capi-native-dialog-h.md#结构体`，路径写法不一致。该问题不影响目标文件和锚点解析，但符合规则中“链接路径风格不一致”的低优先级问题定义，建议统一为带 `./` 的相对路径。,,| ARKUI_NATIVE_DIALOG = 1 | 弹窗相关接口类型，详见[native_dialog.h](./capi-native-dialog-h.md)中的[结构体](./capi-native-dialog-h.md#结构体)类型定义。 |,| ARKUI_NATIVE_DIALOG = 1 | 弹窗相关接口类型，详见[native_dialog.h](./capi-native-dialog-h.md)中的[结构体](capi-native-dialog-h.md#结构体)类型定义。 |,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/22_1_1_1.md,质量,内容规范性,超链接规范,验证超链接跳转页面有效,是,zh-cn/application-dev/reference/apis-arkui/capi-native-interface-h.md原第63行同一表格行中native_dialog.h链接使用./capi-native-dialog-h.md，而“结构体”锚点使用capi-native-dialog-h.md#结构体，路径风格不一致。,已修改zh-cn/application-dev/reference/apis-arkui/capi-native-interface-h.md第64行，将“结构体”锚点链接改为./capi-native-dialog-h.md#结构体。
cmramc3u60qmoh67b1fyxtwhm,12.2.2.9,若相关参数间存在配合/制约关系，检查文档中对于满足配合/制约关系的效果、不满足产生的影响描述完整。,capi-native-interface-h.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/capi-native-interface-h.md,OH_ArkUI_GetModuleInterface,native_interface.h,113,未确认,P2,ArkUI,,,该句在宏参数说明中明确写到structPtr是structType\*类型参数，并说明满足该配合关系时会将Native接口抽象指针转换为structType\*类型后赋值给structPtr；但未说明structPtr与structType不匹配时的影响，参数间配合/制约关系说明不完整。,,基于结构体类型获取对应结构体指针的宏函数。此宏函数接收[ArkUI_NativeAPIVariantKind](capi-native-interface-h.md#arkui_nativeapivariantkind)类型枚举参数nativeAPIVariantKind、const char\*类型参数structType、structType\*类型参数structPtr，structPtr需与structType类型匹配；调用[OH_ArkUI_QueryModuleInterfaceByName](#oh_arkui_querymoduleinterfacebyname)获取Native接口抽象指针，转换为structType\*类型后赋值给structPtr。若structPtr与structType不匹配，无法正确完成对应结构体指针赋值。,基于结构体类型获取对应结构体指针的宏函数。此宏函数接收[ArkUI_NativeAPIVariantKind](capi-native-interface-h.md#arkui_nativeapivariantkind)类型枚举参数nativeAPIVariantKind、const char\*类型参数structType、structType\*类型参数structPtr，调用[OH_ArkUI_QueryModuleInterfaceByName](#oh_arkui_querymoduleinterfacebyname)获取Native接口抽象指针，转换为structType\*类型后赋值给structPtr。,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/12_2_2_9.md,体验,知识点完整,API接口/方法/参数/错误码/权限等完整,验证文档中参数的取值说明、使用建议、注意事项提供完整,是,interface/sdk_c/arkui/ace_engine/native/native_interface.h第126-128行先按#structType查询，再将结果强制转换为(structType*)并赋给structPtr；文档原第113行未说明structPtr必须与structType匹配。,已修改zh-cn/application-dev/reference/apis-arkui/capi-native-interface-h.md第114行，补充“structPtr需与structType类型匹配”。
cmramc3ty0qmnh67bwuxvi4j7,15.1.1.1,对比API参考中参数说明描述的参数含义、用途、使用场景与实际调用一致。,capi-native-interface-h.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/capi-native-interface-h.md,OH_ArkUI_GetModuleInterface,native_interface.h,113,未确认,P1,ArkUI,,,宏定义中structType是宏参数，实际用于#structType字符串化以传入OH_ArkUI_QueryModuleInterfaceByName，同时又用于(structType*)类型转换；其含义是结构体类型名/结构体类型参数，不是const char*字符串参数。当前参数说明与实际调用方式不一致，可能误导用户把structType理解为需要传入字符串。,,基于结构体类型获取对应结构体指针的宏函数。此宏函数接收[ArkUI_NativeAPIVariantKind](capi-native-interface-h.md#arkui_nativeapivariantkind)类型枚举参数nativeAPIVariantKind、结构体类型参数structType、structType\*类型参数structPtr，调用[OH_ArkUI_QueryModuleInterfaceByName](#oh_arkui_querymoduleinterfacebyname)获取Native接口抽象指针，转换为structType\*类型后赋值给structPtr。,基于结构体类型获取对应结构体指针的宏函数。此宏函数接收[ArkUI_NativeAPIVariantKind](capi-native-interface-h.md#arkui_nativeapivariantkind)类型枚举参数nativeAPIVariantKind、const char\*类型参数structType、structType\*类型参数structPtr，调用[OH_ArkUI_QueryModuleInterfaceByName](#oh_arkui_querymoduleinterfacebyname)获取Native接口抽象指针，转换为structType\*类型后赋值给structPtr。,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/15_1_1_1.md,质量,内容准确实时,参数描述正确,验证文档中参数说明描述的参数含义、用途、使用场景正确,是,interface/sdk_c/arkui/ace_engine/native/native_interface.h第124-130行显示structType是宏形参并用于类型转换，不是调用者传入的const char*；文档原第113行参数说明不准确。,已修改zh-cn/application-dev/reference/apis-arkui/capi-native-interface-h.md第114行，将structType改为结构体类型参数。
