ID,客户端ID,本地问题ID,批次名,目标版本,领域,文档类型,规则编号,规则名称,文档名称,文档地址,API名称,所属父类,问题位置（行号）,问题状态,标记,严重程度,Kit名称,开发责任人,测试责任人,问题描述,备注,修改建议,问题原文,参考句,PR地址,PR编号,规则提示词,质量维度,一级指标,二级指标,评估内容（测试点）,"是否是问题","原因","修改方案"
cmrjq57g30nwwjfkghpu1obpo,f56eb49f-f753-4482-bb74-e10355810efe,cmrjq57g30nwwjfkghpu1obpo,071_pipeline-r3,OpenHarmony 7.0,ArkUI开发框架,api_reference,12.4.1.1,检查接口可能返回的错误码，在对应接口处是否全部说明（包含错误码ID和错误码信息），每个接口的错误码均包含在错误码汇总表中，且错误码汇总表中的错误码均能找到是哪个接口返回的。,errorcode-node-render-monitor.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/errorcode-node-render-monitor.md,,,21,未确认,,P2,ArkUI,,,该句仅描述错误码161001的触发条件，未说明该错误码由哪个具体接口返回，因而无法从当前错误码说明追溯到对应接口，不符合错误码汇总信息应明确关联返回接口的要求。,,当通过[on('nodeRenderState')](arkts-apis-uicontext-uiobserver.md#onnoderenderstate20)接口注册的监听渲染状态的节点数超过限制时，系统会产生此错误码。,当注册的监听渲染状态的节点数超过限制时，系统会产生此错误码。,检查接口可能返回的错误码，在对应接口处是否全部说明（包含错误码ID和错误码信息），每个接口的错误码均包含在错误码汇总表中，且错误码汇总表中的错误码均能找到是哪个接口返回的。,,,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/12_4_1_1.md,体验,知识点完整,API接口/方法/参数/错误码/权限等完整,验证文档中列举出了所有可能出现的错误码，且错误可能原因、处理步骤完整,"是","修改前errorcode-node-render-monitor.md:21只给出触发条件，未指出返回接口；interface/sdk-js/api/@ohos.arkui.UIContext.d.ts:2580将161001标注在on('nodeRenderState')接口上，接口签名见:2587，ace_engine/frameworks/bridge/arkts_frontend/koala_projects/arkoala-arkts/arkui-ohos/src/ani/native/uiobserver/gesture_event_uiobserver_module.cpp:170-172也在该接口的注册超限分支抛出161001。同时，错误描述应与英文错误信息保持中英文对应。","已将errorcode-node-render-monitor.md:21改为错误信息“The count of nodes monitoring render state is over the limitation.”的中文翻译“监听渲染状态的节点数超过限制。”，并在:25的可能原因中关联on('nodeRenderState')接口及单个UI实例的注册超限场景。"
cmrjqohih0p4ljfkgegpy8tb4,f56eb49f-f753-4482-bb74-e10355810efe,cmrjqohih0p4ljfkgegpy8tb4,071_pipeline-r3,OpenHarmony 7.0,ArkUI开发框架,api_reference,12.4.1.1,检查接口可能返回的错误码，在对应接口处是否全部说明（包含错误码ID和错误码信息），每个接口的错误码均包含在错误码汇总表中，且错误码汇总表中的错误码均能找到是哪个接口返回的。,errorcode-uicontext.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/errorcode-uicontext.md,,,103,未确认,,P2,ArkUI,,,该错误码条目未说明哪些接口可能返回120007，文档中也没有其他接口映射信息，无法建立该错误码与返回接口之间的可追溯关系。,,在错误码120007条目中补充“适用接口”信息，列出实际可能返回该错误码的接口。,## 120007 实例不存在,'- **规则名称**: 检查接口可能返回的错误码，在对应接口处是否全部说明（包含错误码ID和错误码信息），每个接口的错误码均包含在错误码汇总表中，且错误码汇总表中的错误码均能找到是哪个接口返回的。,,,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/12_4_1_1.md,体验,知识点完整,API接口/方法/参数/错误码/权限等完整,验证文档中列举出了所有可能出现的错误码，且错误可能原因、处理步骤完整,"否","getPageRootNode接口及120007错误码已在arkts-apis-uicontext-uicontext.md:4244、:4262-4267中建立对应关系，可以从具体接口追溯到错误码；errorcode-uicontext.md用于解释错误信息、可能原因和处理步骤，无需在:115的可能原因中重复接口名。","无需针对接口映射修改。errorcode-uicontext.md:111保留错误信息的中文翻译“UIContext不可用。”，:115保持原可能原因；仅将:119处理步骤恢复为“传入有效的UIContext对象。”。"
cmrjqohia0p4jjfkgthlhmg80,f56eb49f-f753-4482-bb74-e10355810efe,cmrjqohia0p4jjfkgthlhmg80,071_pipeline-r3,OpenHarmony 7.0,ArkUI开发框架,api_reference,12.4.1.1,检查接口可能返回的错误码，在对应接口处是否全部说明（包含错误码ID和错误码信息），每个接口的错误码均包含在错误码汇总表中，且错误码汇总表中的错误码均能找到是哪个接口返回的。,errorcode-uicontext.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/errorcode-uicontext.md,,,85,未确认,,P2,ArkUI,,,该错误码条目未说明哪些接口可能返回100103，文档中也没有其他接口映射信息，无法建立该错误码与返回接口之间的可追溯关系。,,在错误码100103条目中补充“适用接口”信息，列出实际可能返回该错误码的接口。,## 100103 调用线程错误,'- **规则名称**: 检查接口可能返回的错误码，在对应接口处是否全部说明（包含错误码ID和错误码信息），每个接口的错误码均包含在错误码汇总表中，且错误码汇总表中的错误码均能找到是哪个接口返回的。,,,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/12_4_1_1.md,体验,知识点完整,API接口/方法/参数/错误码/权限等完整,验证文档中列举出了所有可能出现的错误码，且错误可能原因、处理步骤完整,"否","setResourceManagerCacheMaxCountForHSP接口及100103错误码已在arkts-apis-uicontext-uicontext.md:3948、:3968-3976中明确对应，可以从接口页追溯到错误码；errorcode-uicontext.md:97的可能原因使用“该函数”承接本错误码所属场景，未造成信息缺失。","无需修改。errorcode-uicontext.md:85-101保持仓库原文，不在可能原因中重复接口名。"
cmrjqohi30p4hjfkgkd214blk,f56eb49f-f753-4482-bb74-e10355810efe,cmrjqohi30p4hjfkgkd214blk,071_pipeline-r3,OpenHarmony 7.0,ArkUI开发框架,api_reference,12.4.1.1,检查接口可能返回的错误码，在对应接口处是否全部说明（包含错误码ID和错误码信息），每个接口的错误码均包含在错误码汇总表中，且错误码汇总表中的错误码均能找到是哪个接口返回的。,errorcode-uicontext.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/errorcode-uicontext.md,,,67,未确认,,P2,ArkUI,,,该错误码条目未说明哪些接口可能返回100102，文档中也没有其他接口映射信息，无法建立该错误码与返回接口之间的可追溯关系。,,在错误码100102条目中补充“适用接口”信息，列出实际可能返回该错误码的接口。,## 100102 参数类型错误,'- **规则名称**: 检查接口可能返回的错误码，在对应接口处是否全部说明（包含错误码ID和错误码信息），每个接口的错误码均包含在错误码汇总表中，且错误码汇总表中的错误码均能找到是哪个接口返回的。,,,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/12_4_1_1.md,体验,知识点完整,API接口/方法/参数/错误码/权限等完整,验证文档中列举出了所有可能出现的错误码，且错误可能原因、处理步骤完整,"否","setResourceManagerCacheMaxCountForHSP接口及100102错误码已在arkts-apis-uicontext-uicontext.md:3948、:3968-3976中明确对应，可以从接口页追溯到错误码；errorcode-uicontext.md:79已简洁说明开发者传入浮点数这一原因，无需重复接口名和参数名。","无需修改。errorcode-uicontext.md:67-83保持仓库原文，保留接口页错误码表与错误码页之间的现有分工。"
cmrjqohhv0p4fjfkgiaipcoki,f56eb49f-f753-4482-bb74-e10355810efe,cmrjqohhv0p4fjfkgiaipcoki,071_pipeline-r3,OpenHarmony 7.0,ArkUI开发框架,api_reference,12.4.1.1,检查接口可能返回的错误码，在对应接口处是否全部说明（包含错误码ID和错误码信息），每个接口的错误码均包含在错误码汇总表中，且错误码汇总表中的错误码均能找到是哪个接口返回的。,errorcode-uicontext.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/errorcode-uicontext.md,,,49,未确认,,P2,ArkUI,,,该错误码条目未说明哪些接口可能返回100101，文档中也没有其他接口映射信息，无法建立该错误码与返回接口之间的可追溯关系。,,在错误码100101条目中补充“适用接口”信息，列出实际可能返回该错误码的接口。,## 100101 小于0的非法值,'- **规则名称**: 检查接口可能返回的错误码，在对应接口处是否全部说明（包含错误码ID和错误码信息），每个接口的错误码均包含在错误码汇总表中，且错误码汇总表中的错误码均能找到是哪个接口返回的。,,,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/12_4_1_1.md,体验,知识点完整,API接口/方法/参数/错误码/权限等完整,验证文档中列举出了所有可能出现的错误码，且错误可能原因、处理步骤完整,"否","errorcode-uicontext.md:61已用“开发者传入了小于0的非法值”简洁说明100101的可能原因；setResourceManagerCacheMaxCountForHSP接口及其100101错误码已在arkts-apis-uicontext-uicontext.md:3948、:3968-3976中建立对应关系。errorcodes-template.md:17要求可能原因言简意赅，在错误码页再次写入接口名和参数名会造成重复。","无需修改。errorcode-uicontext.md:49-65保持仓库原文，保留接口页错误码表与错误码页之间的现有分工。"
cmrjqohho0p4djfkg9gt4ksfq,f56eb49f-f753-4482-bb74-e10355810efe,cmrjqohho0p4djfkg9gt4ksfq,071_pipeline-r3,OpenHarmony 7.0,ArkUI开发框架,api_reference,12.4.1.1,检查接口可能返回的错误码，在对应接口处是否全部说明（包含错误码ID和错误码信息），每个接口的错误码均包含在错误码汇总表中，且错误码汇总表中的错误码均能找到是哪个接口返回的。,errorcode-uicontext.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/errorcode-uicontext.md,,,31,未确认,,P2,ArkUI,,,该错误码条目未说明哪些接口可能返回190002，文档中也没有其他接口映射信息，无法建立该错误码与返回接口之间的可追溯关系。,,在错误码190002条目中补充“适用接口”信息，列出实际可能返回该错误码的接口。,## 190002 无效的回调函数,'- **规则名称**: 检查接口可能返回的错误码，在对应接口处是否全部说明（包含错误码ID和错误码信息），每个接口的错误码均包含在错误码汇总表中，且错误码汇总表中的错误码均能找到是哪个接口返回的。,,,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/12_4_1_1.md,体验,知识点完整,API接口/方法/参数/错误码/权限等完整,验证文档中列举出了所有可能出现的错误码，且错误可能原因、处理步骤完整,"否","190002已分别列在capi-native-node-napi-h.md:636、:666和capi-native-node-h.md:3091的接口返回值表中，可以从OH_ArkUI_PostFrameCallback、OH_ArkUI_PostIdleCallback和OH_ArkUI_RunTaskInScope追溯到该错误码；errorcode-uicontext.md:43无需再次罗列接口。","无需针对接口映射修改。errorcode-uicontext.md:43保持原可能原因；根据ace_engine/interfaces/native/node/native_node_napi.cpp:689-690、:714-715及node_utils.cpp:800-801对空回调的检查，仅将:47处理步骤明确为传入非空且符合接口签名要求的回调函数。"
cmrjqohhh0p4bjfkg2icdcjvs,f56eb49f-f753-4482-bb74-e10355810efe,cmrjqohhh0p4bjfkg2icdcjvs,071_pipeline-r3,OpenHarmony 7.0,ArkUI开发框架,api_reference,12.4.1.1,检查接口可能返回的错误码，在对应接口处是否全部说明（包含错误码ID和错误码信息），每个接口的错误码均包含在错误码汇总表中，且错误码汇总表中的错误码均能找到是哪个接口返回的。,errorcode-uicontext.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/errorcode-uicontext.md,,,13,未确认,,P2,ArkUI,,,该错误码条目未说明哪些接口可能返回190001，文档中也没有其他接口映射信息，无法建立该错误码与返回接口之间的可追溯关系。,,在错误码190001条目中补充“适用接口”信息，列出实际可能返回该错误码的接口。,## 190001 无效的UIContext对象,'- **规则名称**: 检查接口可能返回的错误码，在对应接口处是否全部说明（包含错误码ID和错误码信息），每个接口的错误码均包含在错误码汇总表中，且错误码汇总表中的错误码均能找到是哪个接口返回的。,,,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/12_4_1_1.md,体验,知识点完整,API接口/方法/参数/错误码/权限等完整,验证文档中列举出了所有可能出现的错误码，且错误可能原因、处理步骤完整,"否","errorcode-uicontext.md:25已用“传入的UIContext对象无效”简洁说明可能原因；返回190001的接口已分别在capi-native-node-napi-h.md:636、:666以及capi-native-node-h.md:3091、:3619、:3644的返回值表中明确列出，能够从具体接口追溯到该错误码。errorcodes-template.md:17还要求可能原因言简意赅，在错误码页重复罗列5个接口会造成内容冗余。","无需修改。errorcode-uicontext.md:13-29保持仓库原文，保留各接口返回值表与错误码页之间的现有分工。"
cmrjqmsai0p02jfkgp8amm3vo,f56eb49f-f753-4482-bb74-e10355810efe,cmrjqmsai0p02jfkgp8amm3vo,071_pipeline-r3,OpenHarmony 7.0,ArkUI开发框架,api_reference,18.1.1.1,验证文档符合风格指南中对清晰、简洁、具体、一致等维度的规范要求。,errorcode-uicontext.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/errorcode-uicontext.md,,,115,未确认,,P2,ArkUI,,,“传入的实例”和“对应的实例”指代不够明确，读者难以判断二者是否均指UIContext对象，“对应的实例”也未说明其对应关系。本节错误信息和处理步骤均使用“UIContext”或“UIContext对象”，此处仅使用“实例”还造成了术语不一致。,,传入的UIContext对象无效或已销毁。,传入的实例非法或者对应的实例已销毁。,描述是否明确，是否存在模糊、含糊、歧义的表述,,,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/18_1_1_1.md,体验,内容规范性,文档语言符合规范,验证文档符合风格指南中对清晰、简洁、具体、一致等维度的规范要求,"否","errorcode-uicontext.md:103-119位于120007条目内，:107和:111已明确对象为UIContext，:119要求传入有效的UIContext对象；因此:115中的“传入的实例”和“对应的实例”可结合上下文分别理解为UIContext对象及其关联实例，不需要扩写。","无需修改可能原因。errorcode-uicontext.md:111保留“UIContext不可用。”，:115保持原句，并将:119处理步骤恢复为“传入有效的UIContext对象。”。"
cmrjqlx1x0oxmjfkgixn4vs2x,f56eb49f-f753-4482-bb74-e10355810efe,cmrjqlx1x0oxmjfkgixn4vs2x,071_pipeline-r3,OpenHarmony 7.0,ArkUI开发框架,api_reference,27.1.1.2,检查语言无模糊、晦涩抽象或者有歧义的表达。,errorcode-uicontext.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/errorcode-uicontext.md,,,115,未确认,,P2,ArkUI,,,“传入的实例”和“对应的实例”之间的关系不明确，读者无法判断两者是同一个UIContext实例，还是UIContext对象及其关联的另一个实例；同时，“对应的”没有说明具体对应关系，导致两个可能原因的对象边界不清晰。,,传入的UIContext对象无效，或者该UIContext对象所表示的实例已销毁。,传入的实例非法或者对应的实例已销毁。,'- 逻辑歧义：条件、因果、并列等逻辑关系表达不明确,,,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/27_1_1_2.md,体验,内容清晰性,语言描述清晰性,验证文档语言描述清晰，便于理解。,"否","errorcode-uicontext.md:103-119完整限定了120007的UIContext场景，其中:107、:111和:119共同明确对象范围；:115的两个并列原因分别描述实例非法和关联实例已销毁，结合本节上下文不存在影响理解的逻辑歧义。","无需修改可能原因。errorcode-uicontext.md:111保留错误信息的中文翻译，:115保持仓库原句，仅撤销:119处理步骤的改写。"
cmrjrjx2e0q66jfkgxnhivhvy,f56eb49f-f753-4482-bb74-e10355810efe,cmrjrjx2e0q66jfkgxnhivhvy,071_pipeline-r3,OpenHarmony 7.0,ArkUI开发框架,api_reference,26.1.2.1,对于复杂原理/概念，查看文档是否适当使用图表，辅助内容理解,js-apis-arkui-UIContext-sys.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/js-apis-arkui-UIContext-sys.md,,,9,未确认,,P2,ArkUI,,,该段集中说明了页面加载、UI实例与窗口关联、通过调用链追踪UI上下文以及特定场景下追踪失败等多个环节和因果关系，属于较复杂的运行机制，但当前仅使用连续文字描述。文档中的其他图片分别展示组件压暗和范围截图效果，与此处的UI上下文关联及追踪机制无关，不能起到辅助理解作用。,,在该段后补充UI上下文追踪流程图，展示WindowStage/Window加载页面并创建UI实例、UI实例与窗口一一关联、全局UI接口通过调用链追踪UI上下文并确定UI实例，以及无法追踪UI上下文时接口执行失败的流程。,在Stage模型中，WindowStage/Window可以通过[loadContent](arkts-apis-window-Window.md#loadcontent9)接口加载页面并创建UI实例，并将页面内容渲染到关联窗口中，因此UI实例和窗口一一关联。与具体UI实例执行上下文相关的全局UI接口，在调用时会通过追溯调用链跟踪UI上下文，确定具体的UI实例。若在非UI页面中或者未绑定当前UI上下文的异步回调中调用这类接口，可能无法跟踪到当前UI上下文，导致接口执行失败。,对于复杂原理/概念，查看文档是否适当使用图表，辅助内容理解,,,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/26_1_2_1.md,体验,内容清晰性,原理描述清晰性,对于复杂原理/概念，文档提供适当图表，辅助内容理解,"否","js-apis-arkui-UIContext-sys.md:9已按“页面加载并创建UI实例—UI实例与窗口关联—调用链追踪UI上下文—无法追踪时失败”的顺序说明机制，:11进一步概括UIContext用途和模块能力；js-template.md:128-138要求模块定义、功能和场景说明，但未要求此类线性模块说明必须配图。该内容不存在需要借助图表才能理解的复杂分支或算法。","无需修改。保留js-apis-arkui-UIContext-sys.md:9-11的文字说明，不新增与理解收益不匹配的流程图。"
