ID,规则编号,规则名称,文档名称,文档地址,API名称,所属父类,问题位置（行号）,问题状态,严重程度,Kit名称,开发责任人,测试责任人,问题描述,备注,修改建议,问题原文,规则提示词,质量维度,一级指标,二级指标,评估内容（测试点）,是否是问题,原因,修改方案
cmramc9ri0r9lh67bhy42u06e,12.1.2.4,若使用该方法/函数时对环境有要求，检查文档中关于环境的要求描述完整。,js-apis-arkui-UIContext-sys.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/js-apis-arkui-UIContext-sys.md,clearResourceCache,UIContext,396,未确认,P2,ArkUI,,,clearResourceCache 方法原文存在且行号正确。文档第15行已明确本模块接口仅可在Stage模型下使用，但该方法自身描述未说明该环境要求。该结论不依赖常识推断，而是基于文档已给出的全局限制。,,清除跨模块（[HSP](../../quick-start/in-app-hsp.md)包）访问资源时生成的资源对象缓存。此接口仅可在Stage模型下使用。清除缓存后，下次访问该模块资源的加载时间会增加。,清除跨模块（[HSP](../../quick-start/in-app-hsp.md)包）访问资源时生成的资源对象缓存。清除缓存后，下次访问该模块资源的加载时间会增加。,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/12_1_2_4.md,体验,知识点完整,API接口/方法/参数/错误码/权限等完整,验证文档中关于方法/函数的使用建议、注意事项提供完整,非本组,用户指定clearResourceCache小节不在本组处理范围；zh-cn/application-dev/reference/apis-arkui/js-apis-arkui-UIContext-sys.md第414行说明保持原文，不补充模型约束。,撤销本组对zh-cn/application-dev/reference/apis-arkui/js-apis-arkui-UIContext-sys.md第414行附近clearResourceCache说明和模型约束的修改，保持原样。
cmramc9qy0r9jh67b1e7liug8,12.1.2.4,若使用该方法/函数时对环境有要求，检查文档中关于环境的要求描述完整。,js-apis-arkui-UIContext-sys.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/js-apis-arkui-UIContext-sys.md,freezeUINode,UIContext,194,未确认,P2,ArkUI,,,"freezeUINode(uniqueId: number, isFrozen: boolean) 方法原文存在且行号正确。文档第15行已说明本模块接口仅可在Stage模型下使用，该重载方法自身未说明该环境要求。由于另一 freezeUINode 重载也同样未说明Stage模型限制，本问题不属于同类重载间不一致，而属于上下文要求未在方法说明中传递完整。",,通过uniqueId设置组件的冻结状态，防止组件被标记为脏从而触发布局更新。此接口仅可在Stage模型下使用。,通过uniqueId设置组件的冻结状态，防止组件被标记为脏从而触发布局更新。,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/12_1_2_4.md,体验,知识点完整,API接口/方法/参数/错误码/权限等完整,验证文档中关于方法/函数的使用建议、注意事项提供完整,是,文档原第194行freezeUINode(uniqueId)方法说明未写明模型约束；配套接口文件interface/sdk-js/zh-cn/api/@ohos.arkui.UIContext.d.ts第5785-5796行声明该重载带@stagemodelonly。,在zh-cn/application-dev/reference/apis-arkui/js-apis-arkui-UIContext-sys.md第202行补充“**模型约束：** 此接口仅可在Stage模型下使用。”
cmramc9qp0r9ih67bn35en6ef,12.1.2.4,若使用该方法/函数时对环境有要求，检查文档中关于环境的要求描述完整。,js-apis-arkui-UIContext-sys.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/js-apis-arkui-UIContext-sys.md,freezeUINode,UIContext,74,未确认,P2,ArkUI,,,"freezeUINode(id: string, isFrozen: boolean) 方法原文存在且行号正确。文档第15行已给出本模块仅可在Stage模型下使用的全局环境要求，该方法自身说明未体现该限制。两个 freezeUINode 重载均未写明该限制，不构成同类重载之间的信息不对称；但仍属于上下文已有环境要求、方法说明未传递完整的问题。",,通过id设置组件冻结状态，防止组件被标记为脏从而触发布局更新。此接口仅可在Stage模型下使用。,通过id设置组件冻结状态，防止组件被标记为脏从而触发布局更新。,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/12_1_2_4.md,体验,知识点完整,API接口/方法/参数/错误码/权限等完整,验证文档中关于方法/函数的使用建议、注意事项提供完整,是,文档原第74行freezeUINode(id)方法说明未写明模型约束；配套接口文件interface/sdk-js/zh-cn/api/@ohos.arkui.UIContext.d.ts第5772-5783行声明该重载带@stagemodelonly。,在zh-cn/application-dev/reference/apis-arkui/js-apis-arkui-UIContext-sys.md第80行补充“**模型约束：** 此接口仅可在Stage模型下使用。”
cmramc9tb0r9sh67ba6oufobh,12.1.1.2,检查文档中清楚地说明了使用场景。,js-apis-arkui-UIContext-sys.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/js-apis-arkui-UIContext-sys.md,clearResourceCache,UIContext,396,未确认,P2,ArkUI,,,该句说明了清除缓存的对象及调用后的影响，但未说明开发者在什么情况下需要主动清除资源对象缓存，缺少使用场景说明。,,清除跨模块（[HSP](../../quick-start/in-app-hsp.md)包）访问资源时生成的资源对象缓存，适用于跨模块资源更新后需要释放旧缓存或降低资源缓存占用的场景。清除缓存后，下次访问该模块资源的加载时间会增加。,清除跨模块（[HSP](../../quick-start/in-app-hsp.md)包）访问资源时生成的资源对象缓存。清除缓存后，下次访问该模块资源的加载时间会增加。,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/12_1_1_2.md,体验,知识点完整,API接口/方法/参数/错误码/权限等完整,验证文档中关于方法/函数的含义/功能、使用场景、使用效果提供完整,非本组,用户指定clearResourceCache小节不在本组处理范围；zh-cn/application-dev/reference/apis-arkui/js-apis-arkui-UIContext-sys.md第414行功能说明保持原文，不补充使用场景。,撤销本组对zh-cn/application-dev/reference/apis-arkui/js-apis-arkui-UIContext-sys.md第414行clearResourceCache说明的场景补充，保持原样。
cmramc9uh0r9wh67b0b1u2zm9,11.1.1.1,检查文档中提供的功能场景、特点描述是否全面，能解决哪些问题以及带来的收益是否完整。,js-apis-arkui-UIContext-sys.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/js-apis-arkui-UIContext-sys.md,,,9,未确认,P2,ArkUI,,,该句位于文档标题后的模块级概述段落，属于本规则检查范围。原文说明了UI实例与窗口关联、上下文追踪失败等背景问题，但未直接说明UIContext模块提供的核心能力、解决的问题和使用收益，导致模块级功能场景描述不够完整。,,在Stage模型中，WindowStage/Window可以通过loadContent接口加载页面并创建UI的实例，并将页面内容渲染到关联的窗口中，所以UI实例和窗口是一一关联的。一些全局的UI接口是和具体UI实例的执行上下文相关的，在当前接口调用时，通过追溯调用链跟踪到UI的上下文，来确定具体的UI实例。若在非UI页面中或者一些异步回调中调用这类接口，可能无法跟踪到当前UI的上下文，导致接口执行失败；UIContext用于获取与具体UI实例关联的上下文，使开发者可在对应UI实例上调用上下文相关的UI接口。,在Stage模型中，WindowStage/Window可以通过loadContent接口加载页面并创建UI的实例，并将页面内容渲染到关联的窗口中，所以UI实例和窗口是一一关联的。一些全局的UI接口是和具体UI实例的执行上下文相关的，在当前接口调用时，通过追溯调用链跟踪到UI的上下文，来确定具体的UI实例。若在非UI页面中或者一些异步回调中调用这类接口，可能无法跟踪到当前UI的上下文，导致接口执行失败。,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/11_1_1_1.md,体验,知识点完整,概念/功能/原理/场景描述完整,验证模块的定义、功能、使用场景、用法用途完整无缺失,是,文档原第9行只说明UI上下文追溯失败背景，未直接说明UIContext可解决的问题和收益；配套接口文件interface/sdk-js/zh-cn/api/@ohos.arkui.UIContext.d.ts第4450行定义UIContext类，第4468-4483行说明可获取当前调用作用域的UIContext。,在zh-cn/application-dev/reference/apis-arkui/js-apis-arkui-UIContext-sys.md第11行新增一段“UIContext用于获取与具体UI实例关联的上下文，使开发者可在对应UI实例上调用上下文相关的UI接口。”
cmramc9sl0r9ph67bokqetbmx,12.1.2.2,若方法/函数存在缺省配置，检查文档中已清楚地描述了使用缺省值的场景或取值逻辑。,js-apis-arkui-UIContext-sys.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/js-apis-arkui-UIContext-sys.md,freezeUINode,UIContext,207,未确认,P2,ArkUI,,,该参数说明明确给出了“默认值为false”的缺省配置，但仅说明默认取值，未说明该默认值在何种调用场景下生效或取值逻辑；尤其该参数同时标记为必填，单独写“默认值为false”不足以让用户理解缺省配置如何使用，不符合规则要求。,,| isFrozen | boolean | 是 | 是否设置冻结。<br/>true表示设置冻结，false表示设置不冻结。<br/>默认值为false，需补充该默认值的生效场景或取值逻辑。|,| isFrozen | boolean | 是 | 是否设置冻结。<br/>true表示设置冻结，false表示设置不冻结。<br/>默认值为false。|,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/12_1_2_2.md,体验,知识点完整,API接口/方法/参数/错误码/权限等完整,验证文档中关于方法/函数的使用建议、注意事项提供完整,否,配套接口文件interface/sdk-js/zh-cn/api/@ohos.arkui.UIContext.d.ts第5789行明确写明freezeUINode(uniqueId)的isFrozen参数“默认值为false”；文档原第207行与接口一致，不应删除该默认值说明。,无需修改zh-cn/application-dev/reference/apis-arkui/js-apis-arkui-UIContext-sys.md中freezeUINode(uniqueId)的isFrozen参数默认值说明，保留“<br/>默认值为false。”。
cmramc9sb0r9oh67bt3hrpr9t,12.1.2.2,若方法/函数存在缺省配置，检查文档中已清楚地描述了使用缺省值的场景或取值逻辑。,js-apis-arkui-UIContext-sys.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/js-apis-arkui-UIContext-sys.md,freezeUINode,UIContext,87,未确认,P2,ArkUI,,,该参数说明明确给出了“默认值为false”的缺省配置，但仅说明默认取值，未说明该默认值在何种调用场景下生效或取值逻辑；尤其该参数同时标记为必填，单独写“默认值为false”不足以让用户理解缺省配置如何使用，不符合规则要求。,,| isFrozen | boolean | 是 | 是否设置冻结。<br/>true表示设置冻结，false表示设置不冻结。<br/>默认值为false，需补充该默认值的生效场景或取值逻辑。|,| isFrozen | boolean | 是 | 是否设置冻结。<br/>true表示设置冻结，false表示设置不冻结。<br/>默认值为false。|,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/12_1_2_2.md,体验,知识点完整,API接口/方法/参数/错误码/权限等完整,验证文档中关于方法/函数的使用建议、注意事项提供完整,否,配套接口文件interface/sdk-js/zh-cn/api/@ohos.arkui.UIContext.d.ts第5776行明确写明freezeUINode(id)的isFrozen参数“默认值为false”；文档原第87行与接口一致，不应删除该默认值说明。,无需修改zh-cn/application-dev/reference/apis-arkui/js-apis-arkui-UIContext-sys.md中freezeUINode(id)的isFrozen参数默认值说明，保留“<br/>默认值为false。”。
cmramc9m10r90h67bjqz1qgo8,12.4.1.1,检查接口可能返回的错误码，在对应接口处是否全部说明（包含错误码ID和错误码信息），每个接口的错误码均包含在错误码汇总表中，且错误码汇总表中的错误码均能找到是哪个接口返回的。,js-apis-arkui-UIContext-sys.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/js-apis-arkui-UIContext-sys.md,clearResourceCache,UIContext,394,未确认,P1,ArkUI,,,clearResourceCache() 声明为系统接口，但对应接口处未提供错误码说明，缺少非系统应用调用时可能返回的 202 错误码及错误信息，不符合接口错误码应在对应接口处完整说明的要求。,,"在该接口的“系统接口”或“系统能力”说明后补充：

**错误码：**

以下错误码详情请参考[通用错误码](../errorcode-universal.md)。

| 错误码ID | 错误信息 |
| -------- | -------- |
| 202 | The caller is not a system application. |",clearResourceCache(): void,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/12_4_1_1.md,体验,知识点完整,API接口/方法/参数/错误码/权限等完整,验证文档中列举出了所有可能出现的错误码，且错误可能原因、处理步骤完整,非本组,用户指定clearResourceCache小节不在本组处理范围；zh-cn/application-dev/reference/apis-arkui/js-apis-arkui-UIContext-sys.md第410-430行不新增错误码块。,撤销本组在zh-cn/application-dev/reference/apis-arkui/js-apis-arkui-UIContext-sys.md第410-430行clearResourceCache小节新增的错误码说明，保持原样。
cmramc9l10r8wh67bnwtuhveo,14.2.1.1,检查文档中关于业务原理、基本概念说明全文保持一致，无描述错误、无前后矛盾。,js-apis-arkui-UIContext-sys.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/js-apis-arkui-UIContext-sys.md,freezeUINode,UIContext,207,未确认,P2,ArkUI,,,参数表标明 isFrozen 为必填参数，接口签名中该参数也不是可选参数，但说明中又给出“默认值为false”。必填参数通常不能省略，因此默认值描述与参数必填性存在概念不一致。,,| isFrozen | boolean | 是 | 是否设置冻结。<br/>true表示设置冻结，false表示设置不冻结。|,| isFrozen | boolean | 是 | 是否设置冻结。<br/>true表示设置冻结，false表示设置不冻结。<br/>默认值为false。|,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/14_2_1_1.md,质量,内容准确实时,功能描述正确,验证文档中业务原理描述与实际功能实现一致，概念全文统一,否,配套接口文件interface/sdk-js/zh-cn/api/@ohos.arkui.UIContext.d.ts第5789行明确写明freezeUINode(uniqueId)的isFrozen参数“默认值为false”；文档原第207行与接口一致，不能仅依据参数必填判定为文档前后矛盾。,无需修改zh-cn/application-dev/reference/apis-arkui/js-apis-arkui-UIContext-sys.md中freezeUINode(uniqueId)的isFrozen参数默认值说明。
cmramc9kr0r8vh67bxqwynkxj,14.2.1.1,检查文档中关于业务原理、基本概念说明全文保持一致，无描述错误、无前后矛盾。,js-apis-arkui-UIContext-sys.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/js-apis-arkui-UIContext-sys.md,freezeUINode,UIContext,87,未确认,P2,ArkUI,,,参数表标明 isFrozen 为必填参数，接口签名中该参数也不是可选参数，但说明中又给出“默认值为false”。必填参数通常不能省略，因此默认值描述与参数必填性存在概念不一致。,,| isFrozen | boolean | 是 | 是否设置冻结。<br/>true表示设置冻结，false表示设置不冻结。|,| isFrozen | boolean | 是 | 是否设置冻结。<br/>true表示设置冻结，false表示设置不冻结。<br/>默认值为false。|,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/14_2_1_1.md,质量,内容准确实时,功能描述正确,验证文档中业务原理描述与实际功能实现一致，概念全文统一,否,配套接口文件interface/sdk-js/zh-cn/api/@ohos.arkui.UIContext.d.ts第5776行明确写明freezeUINode(id)的isFrozen参数“默认值为false”；文档原第87行与接口一致，不能仅依据参数必填判定为文档前后矛盾。,无需修改zh-cn/application-dev/reference/apis-arkui/js-apis-arkui-UIContext-sys.md中freezeUINode(id)的isFrozen参数默认值说明。
