"序号","检视意见","位置","结论","处理结果","核查依据"
"1","X/Y轴大小写不一致（setLayoutPosition）","capi-arkui-nativemodule-arkui-nativenodeapi-1.md L712","采纳","将x轴/y轴改为X轴/Y轴。","同一批文档中坐标轴名称统一使用X轴/Y轴，不影响接口语义。"
"2","X/Y轴大小写不一致（layoutNode）","capi-arkui-nativemodule-arkui-nativenodeapi-1.md L814","采纳","将x轴/y轴改为X轴/Y轴。","同一批文档中坐标轴名称统一使用X轴/Y轴，不影响接口语义。"
"3","GetShadowColor默认值0x00000000需验证并统一未配置策略","capi-native-render-h.md GetShadowColor","部分采纳","保留SetShadowColor和GetShadowColor中的真实默认值0x00000000，并明确说明未设置阴影颜色时返回完全透明色；不增加不存在的统一哨兵策略。","ace_engine的node_render_node_modifier.cpp:1206直接读取RS阴影颜色；graphic_2d的rs_shadow.h:35定义DEFAULT_SPOT_COLOR为0x00000000，rs_shadow.h:80使用该值初始化阴影颜色。该值既可作为默认值也可由开发者显式设置，不能表述为可区分未配置状态的哨兵值。"
"4","GetShadowAlpha未设置时-1.0与正常范围混淆","capi-native-render-h.md GetShadowAlpha","采纳","按未配置值和配置后正常范围分段表述。","graphic_2d的rs_modifier_extractor.cpp:288-304在无阴影modifier时返回-1.0；配置后RSShadowModifier将alpha限制在[0.0, 1.0]。"
"5","InsertRenderNodeAt返回ArkUI_ErrorCode而AddRenderNode返回int32_t","capi-native-render-h.md AddRenderNode/InsertRenderNodeAt","不采纳","保持接口声明对应的返回类型，不添加“API 26起统一返回ArkUI_ErrorCode”的说明。","interface/sdk_c/arkui/ace_engine/native/native_render.h:315声明AddRenderNode返回int32_t，:2149声明InsertRenderNodeAt返回ArkUI_ErrorCode；API 26后旧接口仍为int32_t，并未统一。"
"6","InsertRenderNodeAt参数表缺少ARKUI_NODE_CUSTOM约束","capi-native-render-h.md InsertRenderNodeAt参数node","采纳","在node参数描述中补充仅支持ARKUI_NODE_CUSTOM类型。","interface的native_render.h:2131参数注释明确Only customNode；ace_engine的render_node.cpp:68-70对非ARKUI_NODE_CUSTOM返回NOT_CUSTOM_NODE。"
"7","阴影Setter默认值文档不一致","capi-native-render-h.md 阴影Setter","不采纳","保留已由实现确认的属性默认值，不强制所有阴影Setter采用相同的默认值格式。","图形仓rs_shadow.h定义阴影颜色默认值为0x00000000、偏移默认值为0、高度默认值为0、半径默认值为-1；Alpha和半径还存在未配置状态及API版本差异。各属性实际行为不同，不能仅为格式统一而删除或补造默认值。"
"8","阴影Getter默认值文档不一致","capi-native-render-h.md 阴影Getter","采纳","统一按“未设置时接收值”描述，并补充GetShadowRadius在API 26前后分别为0和-1。","graphic_2d的rs_shadow.h定义颜色0x00000000、半径-1；rs_modifier_extractor.cpp定义Alpha未配置为-1、高度为0；ace_engine的node_render_node_modifier.cpp:1337-1339在API 26前将半径钳制为0。"
"9","相似范围违规使用不同错误码","capi-native-render-h.md 阴影半径/高度与模糊半径","不采纳","保留现有不同错误码。","ace_engine的render_node.cpp:718-720、752-754、801-803对阴影参数返回PARAM_OUT_OF_RANGE，:2276-2279对模糊半径负值返回PARAM_INVALID；对应单测native_render_node_test.cpp:2143-2144、2200也明确验证。"
"10","新增交叉引用锚点需验证","capi-native-render-h.md 挂载策略相关链接","无需修改","已确认链接目标存在。","capi-native-type-h.md存在oh_arkui_nodemountpolicy章节及两个枚举值；capi-native-node-h.md:3717存在OH_ArkUI_NativeModule_SetChildMountPolicy章节。"
"11","GetRenderNodeChildrenCount函数名与描述不一致","capi-native-render-h.md GetRenderNodeChildrenCount","不采纳","保留当前已强调“全部子节点”及“包含普通节点和渲染节点”的描述。","ace_engine的node_render_node_modifier.cpp:2356返回混合挂载列表总数；native_render_node_test.cpp:1915-1921验证两个普通FrameNode子节点计数为2。文档已明确实际语义。"
"12","InsertRenderNodeAt默认挂载策略描述不具体","capi-native-render-h.md InsertRenderNodeAt描述","采纳","明确默认策略为OH_ARKUI_NODE_MOUNT_POLICY_SINGLE_IF_RENDER_NODE，并补充设置策略的接口链接。","ace_engine的frame_node.cpp:723初始化为MountPolicy::SINGLE_IF_RENDER_NODE；interface的native_type.h:3607定义对应枚举值。"
"13","“以像素为单位”与“单位：px”混用","capi-native-render-h.md SetSize/GetSize","采纳","统一目标宽高参数为“单位：px”，去除重复单位说明。","纯格式一致性修改，不改变native_render.h中width/height的像素语义。"
"14","<br>与<br/>混用","capi-native-render-h.md 返回值表格","不采纳","不进行全文件标签替换。","当前文件中<br>约388处、<br/>约66处，两种写法均可正常渲染；按意见改为<br/>会造成大范围无语义改动，且并非文件主流格式。"
"15","中英文之间Alpha空格风格变化","capi-native-render-h.md ShadowAlpha","不采纳","保持“阴影Alpha值”。","本文件及同类C API文档普遍采用ARGB颜色、Alpha通道、FrameNode等不加空格的写法，保持仓库现有术语风格。"
"16","GetBounds仅width/height有范围说明","capi-native-render-h.md GetBounds","不采纳","不为x/y补充非负范围。","ace_engine的render_node.cpp:975-989仅拒绝负width/height，不限制x/y；x/y为有符号位置坐标，可为负值，不能套用宽高的[0, INT_MAX]范围。"
"17","SetNodeBorderRadiusOptionCornerRadius缺少uint32_t类型约束","capi-native-render-h.md SetNodeBorderRadiusOptionCornerRadius","不采纳","保留“uint32_t cornerRadius，取值为非负整数”的现有表述。","interface的native_render.h:1830参数类型已明确为uint32_t；ace_engine的render_node.cpp:1796-1805允许0。补充“不支持负值输入”会忽略C语言负整数向uint32_t转换的实际行为，并可能误导为运行时校验。"
