ID,客户端ID,本地问题ID,批次名,目标版本,领域,文档类型,规则编号,规则名称,文档名称,文档地址,API名称,所属父类,问题位置（行号）,问题状态,严重程度,Kit名称,开发责任人,测试责任人,问题描述,备注,修改建议,问题原文,参考句,PR地址,PR编号,规则提示词,质量维度,一级指标,二级指标,评估内容（测试点）,是否是问题,原因,修改方案
cmsaao7xd2bbqmov44wicy5xg,f56eb49f-f753-4482-bb74-e10355810efe,cmsaao7xd2bbqmov44wicy5xg,0801_pipeline_yilou,OpenHarmony 7.0,ArkUI开发框架,api_reference,18.1.1.1,验证文档符合风格指南中对清晰、简洁、具体、一致等维度的规范要求。,capi-arkui-nativemodule-arkui-error-code-h.md,https://gitcode.com/GenerativeUI/genui-watch-docs/application-dev/reference/apis-arkui/capi-arkui-nativemodule-arkui-error-code-h.md,ArkUI_ErrorCode,error_code.h,94,未确认,P3,ArkUI,,,正文中的“UIContext”及链接文字中的“UI”与相邻中文之间缺少空格，不符合中英文混排格式要求。,,| ARKUI_ERROR_CODE_UI_CONTEXT_INVALID = 190001 |  无效的 UIContext 对象。错误码的详细介绍请参见[UI 上下文错误码](errorcode-uicontext.md)。<br>**起始版本：** 18 |,| ARKUI_ERROR_CODE_UI_CONTEXT_INVALID = 190001 |  无效的UIContext对象。错误码的详细介绍请参见[UI上下文错误码](errorcode-uicontext.md)。<br>**起始版本：** 18 |,'- 中英文混排是否符合规范（如中英文之间是否有空格）,,,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/18_1_1_1.md,体验,内容规范性,文档语言符合规范,验证文档符合风格指南中对清晰、简洁、具体、一致等维度的规范要求,否,zh-cn/application-dev/reference/apis-arkui/capi-arkui-nativemodule-arkui-error-code-h.md第94行的“UIContext和UI”写法不存在事实或接口一致性错误；现行风格指南没有强制中文与英文之间一律加空格，且zh-cn/contribute/template/native-template.md第5行使用“Native API文档”的连续写法，扫描将检查示例误当成了强制规则。,保持zh-cn/application-dev/reference/apis-arkui/capi-arkui-nativemodule-arkui-error-code-h.md第94行不变，不按扫描建议给“UIContext和UI”两侧机械加空格；沿用上述模板或风格指南对应行的现有写法。
cmsaao7x72bbomov4tdw5qp1h,f56eb49f-f753-4482-bb74-e10355810efe,cmsaao7x72bbomov4tdw5qp1h,0801_pipeline_yilou,OpenHarmony 7.0,ArkUI开发框架,api_reference,18.1.1.1,验证文档符合风格指南中对清晰、简洁、具体、一致等维度的规范要求。,capi-arkui-nativemodule-arkui-error-code-h.md,https://gitcode.com/GenerativeUI/genui-watch-docs/application-dev/reference/apis-arkui/capi-arkui-nativemodule-arkui-error-code-h.md,ArkUI_ErrorCode,error_code.h,86,未确认,P3,ArkUI,,,参数名“isAuto”和布尔值“true”与相邻中文之间缺少空格，不符合中英文混排格式要求。,,| ARKUI_ERROR_CODE_COMPONENT_SNAPSHOT_AUTO_NOT_SUPPORTED = 160004 | 离屏节点截图不支持将色彩空间或动态范围模式对应的 isAuto 参数设置为 true。错误码的详细介绍请参见[截图错误码](errorcode-snapshot.md)。<br>**起始版本：** 23 |,| ARKUI_ERROR_CODE_COMPONENT_SNAPSHOT_AUTO_NOT_SUPPORTED = 160004 | 离屏节点截图不支持将色彩空间或动态范围模式对应的isAuto参数设置为true。错误码的详细介绍请参见[截图错误码](errorcode-snapshot.md)。<br>**起始版本：** 23 |,'- 中英文混排是否符合规范（如中英文之间是否有空格）,,,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/18_1_1_1.md,体验,内容规范性,文档语言符合规范,验证文档符合风格指南中对清晰、简洁、具体、一致等维度的规范要求,否,zh-cn/application-dev/reference/apis-arkui/capi-arkui-nativemodule-arkui-error-code-h.md第86行的“isAuto和true”写法不存在事实或接口一致性错误；现行风格指南没有强制中文与英文之间一律加空格，且zh-cn/contribute/template/native-template.md第5行使用“Native API文档”的连续写法，扫描将检查示例误当成了强制规则。,保持zh-cn/application-dev/reference/apis-arkui/capi-arkui-nativemodule-arkui-error-code-h.md第86行不变，不按扫描建议给“isAuto和true”两侧机械加空格；沿用上述模板或风格指南对应行的现有写法。
cmsaao7x02bbmmov4b6il229k,f56eb49f-f753-4482-bb74-e10355810efe,cmsaao7x02bbmmov4b6il229k,0801_pipeline_yilou,OpenHarmony 7.0,ArkUI开发框架,api_reference,18.1.1.1,验证文档符合风格指南中对清晰、简洁、具体、一致等维度的规范要求。,capi-arkui-nativemodule-arkui-error-code-h.md,https://gitcode.com/GenerativeUI/genui-watch-docs/application-dev/reference/apis-arkui/capi-arkui-nativemodule-arkui-error-code-h.md,ArkUI_ErrorCode,error_code.h,79,未确认,P3,ArkUI,,,该行多处“FrameNode”与相邻中文之间缺少空格，不符合中英文混排格式要求。,,| ARKUI_ERROR_CODE_RENDER_HAS_INVALID_FRAME_NODE = 106407 |  当前渲染节点从 [FrameNode](js-apis-arkui-frameNode.md) 中获取且该 [FrameNode](js-apis-arkui-frameNode.md) 已被取消接纳为附属节点或销毁。错误码的详细介绍请参见[106407 当前渲染节点从 FrameNode 中获取且该 FrameNode 已被取消接纳为附属节点或销毁](errorcode-node-render.md#106407-当前渲染节点从framenode中获取且该framenode已被取消接纳为附属节点或销毁)。<br>**起始版本：** 22 |,| ARKUI_ERROR_CODE_RENDER_HAS_INVALID_FRAME_NODE = 106407 |  当前渲染节点从[FrameNode](js-apis-arkui-frameNode.md)中获取且该[FrameNode](js-apis-arkui-frameNode.md)已被取消接纳为附属节点或销毁。错误码的详细介绍请参见[106407 当前渲染节点从FrameNode中获取且该FrameNode已被取消接纳为附属节点或销毁](errorcode-node-render.md#106407-当前渲染节点从framenode中获取且该framenode已被取消接纳为附属节点或销毁)。<br>**起始版本：** 22 |,'- 中英文混排是否符合规范（如中英文之间是否有空格）,,,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/18_1_1_1.md,体验,内容规范性,文档语言符合规范,验证文档符合风格指南中对清晰、简洁、具体、一致等维度的规范要求,否,zh-cn/application-dev/reference/apis-arkui/capi-arkui-nativemodule-arkui-error-code-h.md第79行的“FrameNode”写法不存在事实或接口一致性错误；现行风格指南没有强制中文与英文之间一律加空格，且zh-cn/contribute/template/js-template.md第512行连续使用“FrameNode模块”“FrameNode将其挂载”等写法，扫描将检查示例误当成了强制规则。,保持zh-cn/application-dev/reference/apis-arkui/capi-arkui-nativemodule-arkui-error-code-h.md第79行不变，不按扫描建议给“FrameNode”两侧机械加空格；沿用上述模板或风格指南对应行的现有写法。
cmsaao7wu2bbkmov4tj9oztxq,f56eb49f-f753-4482-bb74-e10355810efe,cmsaao7wu2bbkmov4tj9oztxq,0801_pipeline_yilou,OpenHarmony 7.0,ArkUI开发框架,api_reference,18.1.1.1,验证文档符合风格指南中对清晰、简洁、具体、一致等维度的规范要求。,capi-arkui-nativemodule-arkui-error-code-h.md,https://gitcode.com/GenerativeUI/genui-watch-docs/application-dev/reference/apis-arkui/capi-arkui-nativemodule-arkui-error-code-h.md,ArkUI_ErrorCode,error_code.h,78,未确认,P3,ArkUI,,,正文及链接文字中的“FrameNode”与相邻中文之间缺少空格，不符合中英文混排格式要求。,,| ARKUI_ERROR_CODE_RENDER_IS_FROM_FRAME_NODE = 106406 |  当前渲染节点从 [FrameNode](js-apis-arkui-frameNode.md) 中获取。错误码的详细介绍请参见[106406 当前渲染节点从 FrameNode 中获取](errorcode-node-render.md#106406-当前渲染节点从framenode中获取)。<br>**起始版本：** 22 |,| ARKUI_ERROR_CODE_RENDER_IS_FROM_FRAME_NODE = 106406 |  当前渲染节点从[FrameNode](js-apis-arkui-frameNode.md)中获取。错误码的详细介绍请参见[106406 当前渲染节点从FrameNode中获取](errorcode-node-render.md#106406-当前渲染节点从framenode中获取)。<br>**起始版本：** 22 |,'- 中英文混排是否符合规范（如中英文之间是否有空格）,,,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/18_1_1_1.md,体验,内容规范性,文档语言符合规范,验证文档符合风格指南中对清晰、简洁、具体、一致等维度的规范要求,否,zh-cn/application-dev/reference/apis-arkui/capi-arkui-nativemodule-arkui-error-code-h.md第78行的“FrameNode”写法不存在事实或接口一致性错误；现行风格指南没有强制中文与英文之间一律加空格，且zh-cn/contribute/template/js-template.md第512行连续使用“FrameNode模块”“FrameNode中获取”等写法，扫描将检查示例误当成了强制规则。,保持zh-cn/application-dev/reference/apis-arkui/capi-arkui-nativemodule-arkui-error-code-h.md第78行不变，不按扫描建议给“FrameNode”两侧机械加空格；沿用上述模板或风格指南对应行的现有写法。
cmsaao7wn2bbimov4v9dfabhx,f56eb49f-f753-4482-bb74-e10355810efe,cmsaao7wn2bbimov4v9dfabhx,0801_pipeline_yilou,OpenHarmony 7.0,ArkUI开发框架,api_reference,18.1.1.1,验证文档符合风格指南中对清晰、简洁、具体、一致等维度的规范要求。,capi-arkui-nativemodule-arkui-error-code-h.md,https://gitcode.com/GenerativeUI/genui-watch-docs/application-dev/reference/apis-arkui/capi-arkui-nativemodule-arkui-error-code-h.md,ArkUI_ErrorCode,error_code.h,66,未确认,P3,ArkUI,,,正文及链接文字中的“UI”与相邻中文之间缺少空格，不符合中英文混排格式要求。,,| ARKUI_ERROR_CODE_NODE_ON_INVALID_THREAD = 106204 |  不支持在非 UI 线程操作传入的节点。错误码的详细介绍请参见[106204 不支持在非 UI 线程操作传入的节点](errorcode-node.md#106204-不支持在非ui线程操作传入的节点)。<br>**起始版本：** 22 |,| ARKUI_ERROR_CODE_NODE_ON_INVALID_THREAD = 106204 |  不支持在非UI线程操作传入的节点。错误码的详细介绍请参见[106204 不支持在非UI线程操作传入的节点](errorcode-node.md#106204-不支持在非ui线程操作传入的节点)。<br>**起始版本：** 22 |,'- 中英文混排是否符合规范（如中英文之间是否有空格）,,,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/18_1_1_1.md,体验,内容规范性,文档语言符合规范,验证文档符合风格指南中对清晰、简洁、具体、一致等维度的规范要求,否,zh-cn/application-dev/reference/apis-arkui/capi-arkui-nativemodule-arkui-error-code-h.md第66行的“UI”写法不存在事实或接口一致性错误；现行风格指南没有强制中文与英文之间一律加空格，且zh-cn/contribute/style-guide/style-guide-content-elements.md第210行使用“UI开发框架”和“应用UI界面”的连续写法，扫描将检查示例误当成了强制规则。,保持zh-cn/application-dev/reference/apis-arkui/capi-arkui-nativemodule-arkui-error-code-h.md第66行不变，不按扫描建议给“UI”两侧机械加空格；沿用上述模板或风格指南对应行的现有写法。
cmsaao7we2bbgmov4snccoeux,f56eb49f-f753-4482-bb74-e10355810efe,cmsaao7we2bbgmov4snccoeux,0801_pipeline_yilou,OpenHarmony 7.0,ArkUI开发框架,api_reference,18.1.1.1,验证文档符合风格指南中对清晰、简洁、具体、一致等维度的规范要求。,capi-arkui-nativemodule-arkui-error-code-h.md,https://gitcode.com/GenerativeUI/genui-watch-docs/application-dev/reference/apis-arkui/capi-arkui-nativemodule-arkui-error-code-h.md,ArkUI_ErrorCode,error_code.h,64,未确认,P3,ArkUI,,,正文及链接文字中的英文短语“buffer size”与相邻中文之间缺少空格；该行第一个换行标签还使用了与表格主要格式不一致的“<br/>”。,,| ARKUI_ERROR_CODE_BUFFER_SIZE_ERROR = 106202 | 传入的 buffer size 不足以容纳目标数据。<br>错误码的详细介绍请参见[106202 传入的 buffer size 不足以容纳目标数据](errorcode-router.md#106202-传入的buffer-size不足以容纳目标数据)。<br>**起始版本：** 12 |,| ARKUI_ERROR_CODE_BUFFER_SIZE_ERROR = 106202 | 传入的buffer size不足以容纳目标数据。<br/>错误码的详细介绍请参见[106202 传入的buffer size不足以容纳目标数据](errorcode-router.md#106202-传入的buffer-size不足以容纳目标数据)。<br>**起始版本：** 12 |,"'- 中英文混排是否符合规范（如中英文之间是否有空格）
- 格式风格是否统一（如列表格式、加粗风格、表格结构）",,,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/18_1_1_1.md,体验,内容规范性,文档语言符合规范,验证文档符合风格指南中对清晰、简洁、具体、一致等维度的规范要求,否,zh-cn/application-dev/reference/apis-arkui/capi-arkui-nativemodule-arkui-error-code-h.md第64行的“buffer size”未违反强制空格规则；同时zh-cn/contribute/template/errorcodes-template.md第14—18行在表格内多次使用<br/>，证明该标签是模板允许的换行形式，不能因同表其他位置使用<br>就判错。,保持zh-cn/application-dev/reference/apis-arkui/capi-arkui-nativemodule-arkui-error-code-h.md第64行的“buffer size”和<br/>不变；不采纳添加空格或把<br/>统一替换为<br>的建议。
cmsaao7w62bbemov4jbdlhpm0,f56eb49f-f753-4482-bb74-e10355810efe,cmsaao7w62bbemov4jbdlhpm0,0801_pipeline_yilou,OpenHarmony 7.0,ArkUI开发框架,api_reference,18.1.1.1,验证文档符合风格指南中对清晰、简洁、具体、一致等维度的规范要求。,capi-arkui-nativemodule-arkui-error-code-h.md,https://gitcode.com/GenerativeUI/genui-watch-docs/application-dev/reference/apis-arkui/capi-arkui-nativemodule-arkui-error-code-h.md,ArkUI_ErrorCode,error_code.h,63,未确认,P3,ArkUI,,,该行第一个换行标签使用“<br/>”，而同一表格中的其他换行标签普遍使用“<br>”，源文档格式不一致。,,| ARKUI_ERROR_CODE_GET_INFO_FAILED = 106201 | 查询路由导航信息失败。<br>错误码的详细介绍请参见[106201 查询路由导航信息失败](errorcode-router.md#106201-查询路由导航信息失败)。<br>**起始版本：** 12 |,| ARKUI_ERROR_CODE_GET_INFO_FAILED = 106201 | 查询路由导航信息失败。<br/>错误码的详细介绍请参见[106201 查询路由导航信息失败](errorcode-router.md#106201-查询路由导航信息失败)。<br>**起始版本：** 12 |,'- 格式风格是否统一（如列表格式、加粗风格、表格结构）,,,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/18_1_1_1.md,体验,内容规范性,文档语言符合规范,验证文档符合风格指南中对清晰、简洁、具体、一致等维度的规范要求,否,zh-cn/application-dev/reference/apis-arkui/capi-arkui-nativemodule-arkui-error-code-h.md第63行使用<br/>；zh-cn/contribute/template/errorcodes-template.md第14—18行同样在错误码模板表格中使用<br/>，因此“规则明确禁止<br/>”的判断与当前模板不符。,保持zh-cn/application-dev/reference/apis-arkui/capi-arkui-nativemodule-arkui-error-code-h.md第63行的<br/>不变；无需改为<br>。
cmsaao7vy2bbcmov4nj202ks2,f56eb49f-f753-4482-bb74-e10355810efe,cmsaao7vy2bbcmov4nj202ks2,0801_pipeline_yilou,OpenHarmony 7.0,ArkUI开发框架,api_reference,18.1.1.1,验证文档符合风格指南中对清晰、简洁、具体、一致等维度的规范要求。,capi-arkui-nativemodule-arkui-error-code-h.md,https://gitcode.com/GenerativeUI/genui-watch-docs/application-dev/reference/apis-arkui/capi-arkui-nativemodule-arkui-error-code-h.md,ArkUI_ErrorCode,error_code.h,62,未确认,P3,ArkUI,,,该行第一个换行标签使用“<br/>”，而同一表格中的其他换行标签普遍使用“<br>”，源文档格式不一致。,,| ARKUI_ERROR_CODE_NODE_INDEX_INVALID = 106200 | 传入的索引值非法。<br>错误码的详细介绍请参见[106200 传入的索引值非法](errorcode-router.md#106200-传入的索引值非法)。<br>**起始版本：** 12 |,| ARKUI_ERROR_CODE_NODE_INDEX_INVALID = 106200 | 传入的索引值非法。<br/>错误码的详细介绍请参见[106200 传入的索引值非法](errorcode-router.md#106200-传入的索引值非法)。<br>**起始版本：** 12 |,'- 格式风格是否统一（如列表格式、加粗风格、表格结构）,,,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/18_1_1_1.md,体验,内容规范性,文档语言符合规范,验证文档符合风格指南中对清晰、简洁、具体、一致等维度的规范要求,否,zh-cn/application-dev/reference/apis-arkui/capi-arkui-nativemodule-arkui-error-code-h.md第62行使用<br/>；zh-cn/contribute/template/errorcodes-template.md第14—18行同样在错误码模板表格中使用<br/>，因此“规则明确禁止<br/>”的判断与当前模板不符。,保持zh-cn/application-dev/reference/apis-arkui/capi-arkui-nativemodule-arkui-error-code-h.md第62行的<br/>不变；无需改为<br>。
cmsaao7vr2bbamov4xgy5n7t0,f56eb49f-f753-4482-bb74-e10355810efe,cmsaao7vr2bbamov4xgy5n7t0,0801_pipeline_yilou,OpenHarmony 7.0,ArkUI开发框架,api_reference,18.1.1.1,验证文档符合风格指南中对清晰、简洁、具体、一致等维度的规范要求。,capi-arkui-nativemodule-arkui-error-code-h.md,https://gitcode.com/GenerativeUI/genui-watch-docs/application-dev/reference/apis-arkui/capi-arkui-nativemodule-arkui-error-code-h.md,ArkUI_ErrorCode,error_code.h,55,未确认,P3,ArkUI,,,链接文字中的英文术语“NodeAdapter”与中文“未绑定”之间缺少空格，不符合中英文混排格式要求。,,| ARKUI_ERROR_CODE_ADAPTER_NOT_BOUND = 106104 | 懒加载适配器未绑定到组件上。错误码的详细介绍请参见[106104 NodeAdapter 未绑定](errorcode-nodeadapter.md#106104-nodeadapter未绑定)。<br>**起始版本：** 12 |,| ARKUI_ERROR_CODE_ADAPTER_NOT_BOUND = 106104 | 懒加载适配器未绑定到组件上。错误码的详细介绍请参见[106104 NodeAdapter未绑定](errorcode-nodeadapter.md#106104-nodeadapter未绑定)。<br>**起始版本：** 12 |,'- 中英文混排是否符合规范（如中英文之间是否有空格）,,,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/18_1_1_1.md,体验,内容规范性,文档语言符合规范,验证文档符合风格指南中对清晰、简洁、具体、一致等维度的规范要求,否,zh-cn/application-dev/reference/apis-arkui/capi-arkui-nativemodule-arkui-error-code-h.md第55行的“NodeAdapter”写法不存在事实或接口一致性错误；现行风格指南没有强制中文与英文之间一律加空格，且zh-cn/contribute/template/native-template.md第5行使用“Native API文档”的连续写法，扫描将检查示例误当成了强制规则。,保持zh-cn/application-dev/reference/apis-arkui/capi-arkui-nativemodule-arkui-error-code-h.md第55行不变，不按扫描建议给“NodeAdapter”两侧机械加空格；沿用上述模板或风格指南对应行的现有写法。
cmsaao7vk2bb8mov46sxvn9xf,f56eb49f-f753-4482-bb74-e10355810efe,cmsaao7vk2bb8mov46sxvn9xf,0801_pipeline_yilou,OpenHarmony 7.0,ArkUI开发框架,api_reference,18.1.1.1,验证文档符合风格指南中对清晰、简洁、具体、一致等维度的规范要求。,capi-arkui-nativemodule-arkui-error-code-h.md,https://gitcode.com/GenerativeUI/genui-watch-docs/application-dev/reference/apis-arkui/capi-arkui-nativemodule-arkui-error-code-h.md,ArkUI_ErrorCode,error_code.h,54,未确认,P3,ArkUI,,,正文及链接文字中的“ArkTS”与相邻中文之间缺少空格，不符合中英文混排格式要求。,,| ARKUI_ERROR_CODE_ARKTS_NODE_NOT_SUPPORTED = 106103 | 不支持对 ArkTS 创建的节点执行对应的操作。错误码的详细介绍请参见[106103 对应的操作不支持 ArkTS 创建的节点](errorcode-node.md#106103-对应的操作不支持arkts创建的节点)。<br>**起始版本：** 12 |,| ARKUI_ERROR_CODE_ARKTS_NODE_NOT_SUPPORTED = 106103 | 不支持对ArkTS创建的节点执行对应的操作。错误码的详细介绍请参见[106103 对应的操作不支持ArkTS创建的节点](errorcode-node.md#106103-对应的操作不支持arkts创建的节点)。<br>**起始版本：** 12 |,'- 中英文混排是否符合规范（如中英文之间是否有空格）,,,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/18_1_1_1.md,体验,内容规范性,文档语言符合规范,验证文档符合风格指南中对清晰、简洁、具体、一致等维度的规范要求,否,zh-cn/application-dev/reference/apis-arkui/capi-arkui-nativemodule-arkui-error-code-h.md第54行的“ArkTS”写法不存在事实或接口一致性错误；现行风格指南没有强制中文与英文之间一律加空格，且zh-cn/contribute/template/native-template.md第5行使用“Native API文档”的连续写法，扫描将检查示例误当成了强制规则。,保持zh-cn/application-dev/reference/apis-arkui/capi-arkui-nativemodule-arkui-error-code-h.md第54行不变，不按扫描建议给“ArkTS”两侧机械加空格；沿用上述模板或风格指南对应行的现有写法。
