ID,客户端ID,本地问题ID,批次名,目标版本,领域,文档类型,规则编号,规则名称,文档名称,文档地址,API名称,所属父类,问题位置（行号）,问题状态,标记,严重程度,Kit名称,是否是问题,原因,修改方案
cmrjjz06x0ay5jfkg6a6zq8uf,f56eb49f-f753-4482-bb74-e10355810efe,cmrjjz06x0ay5jfkg6a6zq8uf,071_pipeline-r3,OpenHarmony 7.0,ArkUI开发框架,api_reference,23.1.1.1,示例代码片段根据提示进行配置，或进行少量修改，放入上下文可在IDE中可正常编译，无报错和告警（因示例代码片段缺少定义，若有对应注释说明可忽略），运行后结果与描述/示意图一致性，不能出现crash、界面白屏/黑屏现象。,capi-arkui-nativemodule-arkui-commandpathoption.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/capi-arkui-nativemodule-arkui-commandpathoption.md,,ArkUI_CommandPathOption,10,未确认,,P1,ArkUI,否,文档第9-11行是类型签名而非运行示例；interface/native_render.h第162行真实声明含分号。,无需修改文档第10行，保留签名展示。
cmrjk3cn60bbwjfkgv2cesrin,f56eb49f-f753-4482-bb74-e10355810efe,cmrjk3cn60bbwjfkgv2cesrin,071_pipeline-r3,OpenHarmony 7.0,ArkUI开发框架,api_reference,23.1.1.1,示例代码片段根据提示进行配置，或进行少量修改，放入上下文可在IDE中可正常编译，无报错和告警（因示例代码片段缺少定义，若有对应注释说明可忽略），运行后结果与描述/示意图一致性，不能出现crash、界面白屏/黑屏现象。,capi-arkui-nativemodule-arkui-context.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/capi-arkui-nativemodule-arkui-context.md,,ArkUI_Context,10,未确认,,P1,ArkUI,否,文档第9-11行是类型签名；interface/drag_and_drop.h第177行真实声明含分号。,无需修改文档第10行，保留签名展示。
cmrjk2yr60baijfkgyfr139mi,f56eb49f-f753-4482-bb74-e10355810efe,cmrjk2yr60baijfkgyfr139mi,071_pipeline-r3,OpenHarmony 7.0,ArkUI开发框架,api_reference,26.1.1.1,检查文档中出现的术语、缩略语或专有名词，是否提供术语表进行解释说明，首次出现的术语、缩略语，是否提供全称，是否提供到术语表链接，IP、MAC等行业通用术语/缩略语除外。,capi-arkui-nativemodule-arkui-context.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/capi-arkui-nativemodule-arkui-context.md,,ArkUI_Context,15,未确认,,P1,ArkUI,否,文档第15行将UIContext作为正式API对象名并链接获取接口；interface/native_type.h第152-163行有对应定义。,无需修改文档第15行，不为官方API名新增术语表。
cmrjk23j30b81jfkghv3axocq,f56eb49f-f753-4482-bb74-e10355810efe,cmrjk23j30b81jfkghv3axocq,071_pipeline-r3,OpenHarmony 7.0,ArkUI开发框架,api_reference,0.30.1.4,检测 Markdown 文件中代码注释和描述准确性问题、代码规范性检查。,capi-arkui-nativemodule-arkui-context.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/capi-arkui-nativemodule-arkui-context.md,,ArkUI_Context,10,未确认,,P1,ArkUI,否,文档第10行与interface/drag_and_drop.h第177行一致，真实声明含分号。,无需修改文档第10行。
cmrjk7oyq0bpwjfkgm35tqrcb,f56eb49f-f753-4482-bb74-e10355810efe,cmrjk7oyq0bpwjfkgm35tqrcb,071_pipeline-r3,OpenHarmony 7.0,ArkUI开发框架,api_reference,23.1.1.1,示例代码片段根据提示进行配置，或进行少量修改，放入上下文可在IDE中可正常编译，无报错和告警（因示例代码片段缺少定义，若有对应注释说明可忽略），运行后结果与描述/示意图一致性，不能出现crash、界面白屏/黑屏现象。,capi-arkui-nativemodule-arkui-context8h.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/capi-arkui-nativemodule-arkui-context8h.md,,ArkUI_Context\*,10,未确认,,P1,ArkUI,否,文档第9-11行是类型签名；interface/native_type.h第163行真实声明含分号。,无需修改文档第10行，保留签名展示。
cmrjk7aer0bopjfkgm7n8a4hy,f56eb49f-f753-4482-bb74-e10355810efe,cmrjk7aer0bopjfkgm7n8a4hy,071_pipeline-r3,OpenHarmony 7.0,ArkUI开发框架,api_reference,26.1.1.1,检查文档中出现的术语、缩略语或专有名词，是否提供术语表进行解释说明，首次出现的术语、缩略语，是否提供全称，是否提供到术语表链接，IP、MAC等行业通用术语/缩略语除外。,capi-arkui-nativemodule-arkui-context8h.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/capi-arkui-nativemodule-arkui-context8h.md,,ArkUI_Context\*,15,未确认,,P1,ArkUI,否,文档第15行的ArkUI、Native、UIContext均为官方框架/API名称，第19行已有模块链接；interface/native_type.h第152-163行有对应定义。,无需修改文档第15行。
cmrjk6aq40blljfkgbcidbidw,f56eb49f-f753-4482-bb74-e10355810efe,cmrjk6aq40blljfkgbcidbidw,071_pipeline-r3,OpenHarmony 7.0,ArkUI开发框架,api_reference,0.30.1.4,检测 Markdown 文件中代码注释和描述准确性问题、代码规范性检查。,capi-arkui-nativemodule-arkui-context8h.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/capi-arkui-nativemodule-arkui-context8h.md,,ArkUI_Context\*,10,未确认,,P1,ArkUI,否,文档第10行与interface/native_type.h第163行一致，真实声明含分号。,无需修改文档第10行。
cmrjkiema0cpljfkguoyfhiwp,f56eb49f-f753-4482-bb74-e10355810efe,cmrjkiema0cpljfkguoyfhiwp,071_pipeline-r3,OpenHarmony 7.0,ArkUI开发框架,api_reference,12.1.2.5,若使用该方法/函数时有前提条件/前置操作，检查文档中是否有关于调用该方法/函数的的前提条件、前置操作，内容是否包含完整。,capi-arkui-nativemodule-arkui-crosslanguageoption.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/capi-arkui-nativemodule-arkui-crosslanguageoption.md,,ArkUI_CrossLanguageOption,33,未确认,,P2,ArkUI,否,文档第28行已说明Create后需Destroy；capi-native-type-h.md第2665行明确option为配置项实例。,无需修改文档第33行，创建销毁关系由第28-29行统一说明。
cmrjkiem20cpjjfkg8iq9c54l,f56eb49f-f753-4482-bb74-e10355810efe,cmrjkiem20cpjjfkg8iq9c54l,071_pipeline-r3,OpenHarmony 7.0,ArkUI开发框架,api_reference,12.1.2.5,若使用该方法/函数时有前提条件/前置操作，检查文档中是否有关于调用该方法/函数的的前提条件、前置操作，内容是否包含完整。,capi-arkui-nativemodule-arkui-crosslanguageoption.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/capi-arkui-nativemodule-arkui-crosslanguageoption.md,,ArkUI_CrossLanguageOption,32,未确认,,P2,ArkUI,否,文档第28行已说明Create后需Destroy；capi-native-type-h.md第2645-2646行给出option实例和status默认值。,无需修改文档第32行。
cmrjkid340cpbjfkgootncczw,f56eb49f-f753-4482-bb74-e10355810efe,cmrjkid340cpbjfkgootncczw,071_pipeline-r3,OpenHarmony 7.0,ArkUI开发框架,api_reference,11.1.1.1,检查文档中提供的功能场景、特点描述是否全面，能解决哪些问题以及带来的收益是否完整。,capi-arkui-nativemodule-arkui-crosslanguageoption.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/capi-arkui-nativemodule-arkui-crosslanguageoption.md,,ArkUI_CrossLanguageOption,15,未确认,,P2,ArkUI,否,文档第15行已说明配置对象、属性修改和节点树操作能力；ace_engine/node_utils.cpp第560-605行实现一致。,无需修改文档第15行。
