规则编号,规则名称,文档名称,文档地址,API名称,所属父类,问题位置（行号）,备注,问题状态,严重程度,问题描述,备注,修改建议,问题原文,规则提示词,质量维度,一级指标,二级指标,评估内容（测试点）,是否是问题,原因,修改方案
11.1.1.1,检查文档中提供的功能场景、特点描述是否全面，能解决哪些问题以及带来的收益是否完整。,arkts-apis-uicontext.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/arkts-apis-uicontext.md,,,9,,未确认,P1,该模块级概述仅说明UI实例与窗口的关系、UI上下文追踪原理以及无法追踪时的后果，没有说明本模块整体提供哪些能力、适用于哪些典型场景，以及使用这些能力可以解决什么问题或带来什么收益，读者无法仅通过概述准确判断本模块的用途。,,在本段后补充本模块整体能力、典型使用场景、可解决的问题及使用收益；具体内容应依据本模块实际提供的API能力编写，避免将原文所述可能失败的非UI页面或异步回调场景直接描述为本模块已支持的能力。,在Stage模型中，WindowStage/Window可以通过[loadContent](arkts-apis-window-Window.md#loadcontent9)接口加载页面并创建UI的实例，并将页面内容渲染到关联的窗口中，所以UI实例和窗口是一一关联的。一些全局的UI接口是和具体UI实例的执行上下文相关的，在当前接口调用时，通过追溯调用链跟踪到UI的上下文，来确定具体的UI实例。若在非UI页面中或者一些异步回调中调用这类接口，可能无法跟踪到当前UI的上下文，导致接口执行失败。,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/11_1_1_1.md,体验,知识点完整,概念/功能/原理/场景描述完整,验证模块的定义、功能、使用场景、用法用途完整无缺失,否,arkts-apis-uicontext.md第9行已列出弹窗、路由、组件查询、媒体查询、焦点和拖拽等能力，并说明runScopedTask的适用场景与收益，满足js-template.md第128-138行的模块描述要求。,无需修改，保留arkts-apis-uicontext.md第9行现有概述。
18.1.1.1,验证文档符合风格指南中对清晰、简洁、具体、一致等维度的规范要求。,arkts-apis-uicontext.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/arkts-apis-uicontext.md,,,9,,未确认,P2,“一些全局的UI接口”未明确所指接口类别，“当前接口”指代不够准确；“通过追溯调用链跟踪到”存在语义重复，“来确定”也可精简，影响表述的清晰性和简洁性。,,部分全局UI接口与具体UI实例的执行上下文相关。调用此类接口时，系统沿调用链跟踪UI上下文，以确定具体的UI实例。,一些全局的UI接口是和具体UI实例的执行上下文相关的，在当前接口调用时，通过追溯调用链跟踪到UI的上下文，来确定具体的UI实例。,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/18_1_1_1.md,体验,内容规范性,文档语言符合规范,验证文档符合风格指南中对清晰、简洁、具体、一致等维度的规范要求,否,arkts-apis-uicontext.md第9行已将相关对象明确为“与具体UI实例执行上下文相关的全局UI接口”，并用“调用时”明确执行时机，扫描所引原句已不存在。,无需修改，保留arkts-apis-uicontext.md第9行现有表述。
27.1.1.1,每个步骤有清晰的执行主体（who），明确操作目的（why）、操作内容（what/how）、场景（when/where）。使用祈使句描述步骤，避免语句不通/啰嗦冗余/长句影响理解。,arkts-apis-uicontext.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/arkts-apis-uicontext.md,,,9,,未确认,P2,该段连续说明UI实例与窗口的关联关系、全局UI接口的上下文确定机制以及接口执行失败的场景，信息层次较多且集中在较长的复合句中。其中“在当前接口调用时，通过追溯调用链跟踪到UI的上下文”语序和搭配不够顺畅，增加了理解难度，违反了避免语句不通及长句影响理解的要求。,,在Stage模型中，WindowStage/Window可以通过[loadContent](arkts-apis-window-Window.md#loadcontent9)接口加载页面、创建UI实例，并将页面内容渲染到关联的窗口中。因此，UI实例和窗口一一关联。一些全局UI接口与具体UI实例的执行上下文相关。调用这类接口时，系统会追溯调用链以获取UI上下文，从而确定具体的UI实例。若在非UI页面或异步回调中调用这类接口，系统可能无法获取当前UI的上下文，导致接口执行失败。,在Stage模型中，WindowStage/Window可以通过[loadContent](arkts-apis-window-Window.md#loadcontent9)接口加载页面并创建UI的实例，并将页面内容渲染到关联的窗口中，所以UI实例和窗口是一一关联的。一些全局的UI接口是和具体UI实例的执行上下文相关的，在当前接口调用时，通过追溯调用链跟踪到UI的上下文，来确定具体的UI实例。若在非UI页面中或者一些异步回调中调用这类接口，可能无法跟踪到当前UI的上下文，导致接口执行失败。,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/27_1_1_1.md,体验,内容清晰性,语言描述清晰性,验证文档语言描述清晰，便于理解。,否,arkts-apis-uicontext.md第9行已按页面加载、上下文追踪、失败场景和模块能力分句说明，扫描所述语序不顺和复合句问题已消除。,无需修改，保留arkts-apis-uicontext.md第9行现有分句结构。
27.1.1.2,检查语言无模糊、晦涩抽象或者有歧义的表达。,arkts-apis-uicontext.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/arkts-apis-uicontext.md,,,9,,未确认,P1,“一些全局的UI接口”未明确哪些接口与具体UI实例的执行上下文相关；“一些异步回调”也未说明哪些异步回调无法通过调用链跟踪UI上下文。读者因此难以准确判断接口的适用范围以及可能执行失败的调用场景。,,在Stage模型中，WindowStage/Window可以通过[loadContent](arkts-apis-window-Window.md#loadcontent9)接口加载页面并创建UI的实例，并将页面内容渲染到关联的窗口中，所以UI实例和窗口是一一关联的。与具体UI实例执行上下文相关的全局UI接口在被调用时，会通过追溯调用链跟踪UI上下文，以确定具体的UI实例。若在非UI页面中，或者在无法通过调用链跟踪到当前UI上下文的异步回调中调用这类接口，可能导致接口执行失败。,在Stage模型中，WindowStage/Window可以通过[loadContent](arkts-apis-window-Window.md#loadcontent9)接口加载页面并创建UI的实例，并将页面内容渲染到关联的窗口中，所以UI实例和窗口是一一关联的。一些全局的UI接口是和具体UI实例的执行上下文相关的，在当前接口调用时，通过追溯调用链跟踪到UI的上下文，来确定具体的UI实例。若在非UI页面中或者一些异步回调中调用这类接口，可能无法跟踪到当前UI的上下文，导致接口执行失败。,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/27_1_1_2.md,体验,内容清晰性,语言描述清晰性,验证文档语言描述清晰，便于理解。,否,arkts-apis-uicontext.md第9行已将失败场景限定为非UI页面或未绑定当前UI上下文的异步回调，并明确“这类接口”的范围，扫描所述模糊表达已不存在。,无需修改，保留arkts-apis-uicontext.md第9行现有表述。
26.1.2.1,对于复杂原理/概念，查看文档是否适当使用图表，辅助内容理解,arkts-apis-uicontext.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/arkts-apis-uicontext.md,,,9,,未确认,P2,该段同时描述页面加载与渲染过程、UI实例和窗口的对应关系、全局UI接口通过调用链追溯上下文的机制，以及上下文追溯失败导致接口执行失败的异常分支，包含多个对象、连续步骤和因果关系，属于复杂原理描述。当前仅采用连续文字说明，缺少关系图或流程图，不利于读者直观理解对象关系、正常执行路径和异常场景。,,在本段后增加一幅流程图，按“WindowStage/Window调用loadContent接口→加载页面并创建UI实例→将页面内容渲染到关联窗口→调用全局UI接口时沿调用链追溯UI上下文→确定具体UI实例”的顺序展示正常流程，并增加“非UI页面或异步回调中无法追溯UI上下文→接口执行失败”的异常分支。,在Stage模型中，WindowStage/Window可以通过[loadContent](arkts-apis-window-Window.md#loadcontent9)接口加载页面并创建UI的实例，并将页面内容渲染到关联的窗口中，所以UI实例和窗口是一一关联的。一些全局的UI接口是和具体UI实例的执行上下文相关的，在当前接口调用时，通过追溯调用链跟踪到UI的上下文，来确定具体的UI实例。若在非UI页面中或者一些异步回调中调用这类接口，可能无法跟踪到当前UI的上下文，导致接口执行失败。,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/26_1_2_1.md,体验,内容清晰性,原理描述清晰性,对于复杂原理/概念，文档提供适当图表，辅助内容理解,否,arkts-apis-uicontext.md第9行按线性因果关系即可说明对象关系和失败分支；js-template.md第128-138行只要求模块定义、功能和可选场景，没有强制增加流程图。,无需增加图片或流程图，保留arkts-apis-uicontext.md第9行文字说明。
12.1.1.2,检查文档中清楚地说明了使用场景。,arkts-apis-uicontext-uicontext.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/arkts-apis-uicontext-uicontext.md,runScopedTask,Class (UIContext),1774,,未确认,P2,该描述只说明回调函数会在当前UI上下文中执行，未说明开发者何时需要限定回调的UI上下文，也未交代该接口适用于多窗口、多UI实例等需要确保UI操作归属特定UIContext的场景。示例中的“do something”也未补充实际用途。,,在当前UI上下文执行传入的回调函数，适用于需要确保回调中的UI操作在指定UIContext对应的UI实例中执行的场景。,在当前UI上下文执行传入的回调函数。,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/12_1_1_2.md,体验,知识点完整,API接口/方法/参数/错误码/权限等完整,验证文档中关于方法/函数的含义/功能、使用场景、使用效果提供完整,是,ace_engine的jsUIContext.js第721-726行会在指定instanceId作用域内执行callback；修改前arkts-apis-uicontext-uicontext.md第1771行未说明绑定指定UI实例的场景，示例也只有占位注释。,已在文档第1771行补充UI上下文不明确时绑定指定UI实例的场景，同步更新第1781行参数说明，并在第1789-1800行改为CalendarPickerDialog实际示例。
11.1.1.1,检查文档中提供的功能场景、特点描述是否全面，能解决哪些问题以及带来的收益是否完整。,arkts-apis-uicontext-uicontext.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/arkts-apis-uicontext-uicontext.md,,Class (UIContext),9,,未确认,P1,该句是标题后的类级总体描述，但仅说明UIContext是实例对象，未概括其主要能力、可解决的问题和典型使用场景，开发者无法通过概述快速了解该类的整体用途，不符合类级总体描述完整性的要求。,,UIContext实例对象，用于获取和使用指定UI实例的上下文能力，可调用路由、弹窗、动画、组件节点和窗口信息等功能，适用于需要在指定UI实例中执行界面操作的场景。,UIContext实例对象。,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/11_1_1_1.md,体验,知识点完整,概念/功能/原理/场景描述完整,验证模块的定义、功能、使用场景、用法用途完整无缺失,否,arkts-apis-uicontext-uicontext.md第9行已概括控制器获取、弹窗与动画管理、节点和窗口查询、像素转换及适用场景，扫描所引“UIContext实例对象。”已不是当前内容。,无需修改，保留arkts-apis-uicontext-uicontext.md第9行类概述。
12.3.1.2,检查文档中是否说明返回值的用途。,arkts-apis-uicontext-uicontext.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/arkts-apis-uicontext-uicontext.md,requireDynamicSyncScene,Class (UIContext),2987,,未确认,P2,返回值说明只指出返回DynamicSyncScene对象数组，没有说明数组中的对象用于配置组件的动态帧率场景。,,| Array&lt;DynamicSyncScene&gt; | 返回DynamicSyncScene对象数组，用于配置组件的动态帧率场景。 |,| Array&lt;DynamicSyncScene&gt; | 获取DynamicSyncScene对象数组。 |,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/12_3_1_2.md,体验,知识点完整,API接口/方法/参数/错误码/权限等完整,验证返回值及其含义应说明完整,否,arkts-apis-uicontext-uicontext.md第2984行已说明返回的DynamicSyncScene对象数组用于自定义场景相关帧率配置。,无需修改，保留文档第2984行返回值说明。
12.2.1.1,检查文档中关于参数的含义/功能等信息描述是否完整，例如有些方法/函数需要开发者了解具体采用的数据格式，则应给出数据格式说明。,arkts-apis-uicontext-uicontext.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/arkts-apis-uicontext-uicontext.md,runScopedTask,Class (UIContext),1784,,未确认,P1,callback参数的说明仅为“回调函数”，未说明该回调将在当前UI上下文中执行，也未说明其用于承载需要在该UI上下文中运行的任务代码。虽然类型列给出了无参数、无返回值的函数类型，但说明列仍缺少回调的具体功能和执行语境。,,| callback | () => void | 是    | 在当前UI上下文中执行的回调函数，用于承载需要在该UI上下文中运行的任务代码。 |,| callback | () => void | 是    | 回调函数 |,https://gitcode.com/BeicC/docs-prompt/blob/master/wait-for-confirm/parameter_description_completeness_check.md,体验,知识点完整,API接口/方法/参数/错误码/权限等完整,验证参数的含义/功能、使用场景、使用后效果提供完整,否,arkts-apis-uicontext-uicontext.md第1781行已说明callback是在当前UIContext对应UI实例作用域内执行的任务代码，并非仅写“回调函数”。,无需额外修改，保留文档第1781行参数说明。
12.2.2.7,若使用该参数时有前提条件/前置操作，检查文档中关于设置该参数的前提条件、前置操作描述是否完整，前置参数设置后返回值或者回调对当前参数的影响，以及对当前操作的影响描述是否完整。,arkts-apis-uicontext-uicontext.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/arkts-apis-uicontext-uicontext.md,px2lpx,Class (UIContext),2640,,未确认,P3,接口上下文明确说明getUIContext需在windowStage.loadContent之后调用，以确保UIContext初始化完成，否则该接口无法返回准确结果；但value参数自身未说明这一前置操作及不满足条件时的影响。,,"| value | number | 是   | 将px单位的数值转换为以lpx为单位的数值。需在windowStage.loadContent之后获取并初始化UIContext，否则无法返回准确结果。<br/>取值范围：(-∞, +∞) |","| value | number | 是   | 将px单位的数值转换为以lpx为单位的数值。<br/>取值范围：(-∞, +∞) |",https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/12_2_2_7.md,体验,知识点完整,API接口/方法/参数/错误码/权限等完整,验证文档中参数的取值说明、使用建议、注意事项提供完整,否,px2lpx的初始化前置条件属于方法级约束，arkts-apis-uicontext-uicontext.md第2625行已说明loadContent完成后再获取UIContext；js-template.md第241行也要求前置条件写在方法描述中。,无需在第2635行value参数内重复方法级前置条件，保留参数的转换含义和取值范围。
