规则编号,规则名称,文档名称,文档地址,API名称,所属父类,问题位置（行号）,问题状态,严重程度,问题描述,备注,修改建议,问题原文,规则提示词,质量维度,一级指标,二级指标,评估内容（测试点）,是否是问题,原因,修改方案
12.1.2.4,若使用该方法/函数时对环境有要求，检查文档中关于环境的要求描述完整。,capi-arkui-nativemodule-arkui-nativenodeapi-1.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/capi-arkui-nativemodule-arkui-nativenodeapi-1.md,removeAllChildren,ArkUI_NativeNodeAPI_1,1038,未确认,P1,同属节点操作的 addChild()、removeChild()、insertChildAfter()、insertChildBefore()、insertChildAt() 已在方法描述中说明“本接口属于节点操作接口，不建议在非主线程上调用”，但 removeAllChildren() 未说明，存在同类方法环境要求信息不对称。,,从父组件上卸载所有子节点。本接口属于节点操作接口，不建议在非主线程上调用。,从父组件上卸载所有子节点。,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/12_1_2_4.md,体验,知识点完整,API接口/方法/参数/错误码/权限等完整,验证文档中关于方法/函数的使用建议、注意事项提供完整,否,文档第15行已统一说明“Node模块相关接口需要在主线程上调用”，interface/native_node.h第12920行也以ArkUI_NativeNodeAPI_1结构体级说明覆盖全部成员；Native模板第64行允许在结构体说明中统一描述使用建议，未要求每个成员函数重复同一约束。,无需为本条线程问题在文档第1038行追加重复说明；保留文档第15行的结构体级主线程约束。
12.1.2.4,若使用该方法/函数时对环境有要求，检查文档中关于环境的要求描述完整。,capi-arkui-nativemodule-arkui-nativenodeapi-1.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/capi-arkui-nativemodule-arkui-nativenodeapi-1.md,getParent,ArkUI_NativeNodeAPI_1,1013,未确认,P2,第15行概述已说明“Node模块相关接口需要在主线程上调用”，getParent() 属于该结构体的成员函数，但方法描述未传递该主线程调用要求。,,获取父节点。本接口需要在主线程上调用。,获取父节点。,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/12_1_2_4.md,体验,知识点完整,API接口/方法/参数/错误码/权限等完整,验证文档中关于方法/函数的使用建议、注意事项提供完整,否,文档第15行已统一说明“Node模块相关接口需要在主线程上调用”，interface/native_node.h第12920行也以ArkUI_NativeNodeAPI_1结构体级说明覆盖全部成员；Native模板第64行允许在结构体说明中统一描述使用建议，未要求每个成员函数重复同一约束。,无需为本条线程问题在文档第1013行追加重复说明；保留文档第15行的结构体级主线程约束。
12.1.2.4,若使用该方法/函数时对环境有要求，检查文档中关于环境的要求描述完整。,capi-arkui-nativemodule-arkui-nativenodeapi-1.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/capi-arkui-nativemodule-arkui-nativenodeapi-1.md,setLengthMetricUnit,ArkUI_NativeNodeAPI_1,987,未确认,P2,第15行概述已说明“Node模块相关接口需要在主线程上调用”，setLengthMetricUnit() 属于该结构体的成员函数，但方法描述未传递该主线程调用要求。,,指定组件的单位。本接口需要在主线程上调用。,指定组件的单位。,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/12_1_2_4.md,体验,知识点完整,API接口/方法/参数/错误码/权限等完整,验证文档中关于方法/函数的使用建议、注意事项提供完整,否,文档第15行已统一说明“Node模块相关接口需要在主线程上调用”，interface/native_node.h第12920行也以ArkUI_NativeNodeAPI_1结构体级说明覆盖全部成员；Native模板第64行允许在结构体说明中统一描述使用建议，未要求每个成员函数重复同一约束。,无需为本条线程问题在文档第987行追加重复说明；保留文档第15行的结构体级主线程约束。
12.1.2.4,若使用该方法/函数时对环境有要求，检查文档中关于环境的要求描述完整。,capi-arkui-nativemodule-arkui-nativenodeapi-1.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/capi-arkui-nativemodule-arkui-nativenodeapi-1.md,getUserData,ArkUI_NativeNodeAPI_1,962,未确认,P2,第15行概述已说明“Node模块相关接口需要在主线程上调用”，getUserData() 属于该结构体的成员函数，但方法描述未传递该主线程调用要求。,,获取在组件上保存的自定义数据。本接口需要在主线程上调用。,获取在组件上保存的自定义数据。,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/12_1_2_4.md,体验,知识点完整,API接口/方法/参数/错误码/权限等完整,验证文档中关于方法/函数的使用建议、注意事项提供完整,否,文档第15行已统一说明“Node模块相关接口需要在主线程上调用”，interface/native_node.h第12920行也以ArkUI_NativeNodeAPI_1结构体级说明覆盖全部成员；Native模板第64行允许在结构体说明中统一描述使用建议，未要求每个成员函数重复同一约束。,无需为本条线程问题在文档第962行追加重复说明；保留文档第15行的结构体级主线程约束。
12.1.2.4,若使用该方法/函数时对环境有要求，检查文档中关于环境的要求描述完整。,capi-arkui-nativemodule-arkui-nativenodeapi-1.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/capi-arkui-nativemodule-arkui-nativenodeapi-1.md,setUserData,ArkUI_NativeNodeAPI_1,936,未确认,P2,第15行概述已说明“Node模块相关接口需要在主线程上调用”，setUserData() 属于该结构体的成员函数，但方法描述未传递该主线程调用要求。,,在组件上保存自定义数据。本接口需要在主线程上调用。,在组件上保存自定义数据。,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/12_1_2_4.md,体验,知识点完整,API接口/方法/参数/错误码/权限等完整,验证文档中关于方法/函数的使用建议、注意事项提供完整,否,文档第15行已统一说明“Node模块相关接口需要在主线程上调用”，interface/native_node.h第12920行也以ArkUI_NativeNodeAPI_1结构体级说明覆盖全部成员；Native模板第64行允许在结构体说明中统一描述使用建议，未要求每个成员函数重复同一约束。,无需为本条线程问题在文档第936行追加重复说明；保留文档第15行的结构体级主线程约束。
12.1.2.4,若使用该方法/函数时对环境有要求，检查文档中关于环境的要求描述完整。,capi-arkui-nativemodule-arkui-nativenodeapi-1.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/capi-arkui-nativemodule-arkui-nativenodeapi-1.md,removeNodeCustomEventReceiver,ArkUI_NativeNodeAPI_1,910,未确认,P2,第15行概述已说明“Node模块相关接口需要在主线程上调用”，removeNodeCustomEventReceiver() 属于该结构体的成员函数，但方法描述未传递该主线程调用要求。,,在组件上删除注册的自定义事件回调函数。本接口需要在主线程上调用。,在组件上删除注册的自定义事件回调函数。,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/12_1_2_4.md,体验,知识点完整,API接口/方法/参数/错误码/权限等完整,验证文档中关于方法/函数的使用建议、注意事项提供完整,否,文档第15行已统一说明“Node模块相关接口需要在主线程上调用”，interface/native_node.h第12920行也以ArkUI_NativeNodeAPI_1结构体级说明覆盖全部成员；Native模板第64行允许在结构体说明中统一描述使用建议，未要求每个成员函数重复同一约束。,无需为本条线程问题在文档第910行追加重复说明；保留文档第15行的结构体级主线程约束。
12.1.2.4,若使用该方法/函数时对环境有要求，检查文档中关于环境的要求描述完整。,capi-arkui-nativemodule-arkui-nativenodeapi-1.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/capi-arkui-nativemodule-arkui-nativenodeapi-1.md,addNodeCustomEventReceiver,ArkUI_NativeNodeAPI_1,884,未确认,P2,第15行概述已说明“Node模块相关接口需要在主线程上调用”，addNodeCustomEventReceiver() 属于该结构体的成员函数，但方法描述未传递该主线程调用要求。,,在组件上添加自定义事件回调函数，用于接收该组件产生的自定义事件（如布局事件，绘制事件）。不同于registerNodeCustomEventReceiver的全局注册函数，该函数允许在同一个组件上添加多个事件接收器。<br> 该函数添加的监听回调函数触发时机会先于registerNodeCustomEventReceiver注册的全局回调函数。<br> 避免直接保存[ArkUI_NodeCustomEvent](capi-arkui-nativemodule-arkui-nodecustomevent.md)对象指针，数据会在回调结束后销毁。<br> 本接口需要在主线程上调用。,在组件上添加自定义事件回调函数，用于接收该组件产生的自定义事件（如布局事件，绘制事件）。不同于registerNodeCustomEventReceiver的全局注册函数，该函数允许在同一个组件上添加多个事件接收器。<br> 该函数添加的监听回调函数触发时机会先于registerNodeCustomEventReceiver注册的全局回调函数。<br> 避免直接保存[ArkUI_NodeCustomEvent](capi-arkui-nativemodule-arkui-nodecustomevent.md)对象指针，数据会在回调结束后销毁。<br>,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/12_1_2_4.md,体验,知识点完整,API接口/方法/参数/错误码/权限等完整,验证文档中关于方法/函数的使用建议、注意事项提供完整,否,文档第15行已统一说明“Node模块相关接口需要在主线程上调用”，interface/native_node.h第12920行也以ArkUI_NativeNodeAPI_1结构体级说明覆盖全部成员；Native模板第64行允许在结构体说明中统一描述使用建议，未要求每个成员函数重复同一约束。,无需为本条线程问题在文档第884行追加重复说明；保留文档第15行的结构体级主线程约束。
12.1.2.4,若使用该方法/函数时对环境有要求，检查文档中关于环境的要求描述完整。,capi-arkui-nativemodule-arkui-nativenodeapi-1.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/capi-arkui-nativemodule-arkui-nativenodeapi-1.md,removeNodeEventReceiver,ArkUI_NativeNodeAPI_1,858,未确认,P2,第15行概述已说明“Node模块相关接口需要在主线程上调用”，removeNodeEventReceiver() 属于该结构体的成员函数，但方法描述未传递该主线程调用要求。,,在组件上删除注册的组件事件回调函数。本接口需要在主线程上调用。,在组件上删除注册的组件事件回调函数。,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/12_1_2_4.md,体验,知识点完整,API接口/方法/参数/错误码/权限等完整,验证文档中关于方法/函数的使用建议、注意事项提供完整,否,文档第15行已统一说明“Node模块相关接口需要在主线程上调用”，interface/native_node.h第12920行也以ArkUI_NativeNodeAPI_1结构体级说明覆盖全部成员；Native模板第64行允许在结构体说明中统一描述使用建议，未要求每个成员函数重复同一约束。,无需为本条线程问题在文档第858行追加重复说明；保留文档第15行的结构体级主线程约束。
12.1.2.4,若使用该方法/函数时对环境有要求，检查文档中关于环境的要求描述完整。,capi-arkui-nativemodule-arkui-nativenodeapi-1.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/capi-arkui-nativemodule-arkui-nativenodeapi-1.md,addNodeEventReceiver,ArkUI_NativeNodeAPI_1,832,未确认,P2,第15行概述已说明“Node模块相关接口需要在主线程上调用”，addNodeEventReceiver() 属于该结构体的成员函数，但方法描述未传递该主线程调用要求。,,在组件上添加组件事件回调函数，用于接收该组件产生的组件事件。不同于registerNodeEventReceiver的全局注册函数，该函数允许在同一个组件上添加多个事件接收器。<br> 该函数添加的监听回调函数触发时机会先于registerNodeEventReceiver注册的全局回调函数。<br> 避免直接保存[ArkUI_NodeEvent](capi-arkui-nativemodule-arkui-nodeevent.md) 对象指针，数据会在回调结束后销毁。<br> 本接口需要在主线程上调用。,在组件上添加组件事件回调函数，用于接收该组件产生的组件事件。不同于registerNodeEventReceiver的全局注册函数，该函数允许在同一个组件上添加多个事件接收器。<br> 该函数添加的监听回调函数触发时机会先于registerNodeEventReceiver注册的全局回调函数。<br> 避免直接保存[ArkUI_NodeEvent](capi-arkui-nativemodule-arkui-nodeevent.md) 对象指针，数据会在回调结束后销毁。<br>,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/12_1_2_4.md,体验,知识点完整,API接口/方法/参数/错误码/权限等完整,验证文档中关于方法/函数的使用建议、注意事项提供完整,否,文档第15行已统一说明“Node模块相关接口需要在主线程上调用”，interface/native_node.h第12920行也以ArkUI_NativeNodeAPI_1结构体级说明覆盖全部成员；Native模板第64行允许在结构体说明中统一描述使用建议，未要求每个成员函数重复同一约束。,无需为本条线程问题在文档第832行追加重复说明；保留文档第15行的结构体级主线程约束。
12.1.2.4,若使用该方法/函数时对环境有要求，检查文档中关于环境的要求描述完整。,capi-arkui-nativemodule-arkui-nativenodeapi-1.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/capi-arkui-nativemodule-arkui-nativenodeapi-1.md,layoutNode,ArkUI_NativeNodeAPI_1,805,未确认,P2,第15行概述已说明“Node模块相关接口需要在主线程上调用”，layoutNode() 属于该结构体的成员函数，但方法描述未传递该主线程调用要求。,,对目标组件进行布局并传递该组件相对父组件的期望位置。本接口需要在主线程上调用。,对目标组件进行布局并传递该组件相对父组件的期望位置。,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/12_1_2_4.md,体验,知识点完整,API接口/方法/参数/错误码/权限等完整,验证文档中关于方法/函数的使用建议、注意事项提供完整,否,文档第15行已统一说明“Node模块相关接口需要在主线程上调用”，interface/native_node.h第12920行也以ArkUI_NativeNodeAPI_1结构体级说明覆盖全部成员；Native模板第64行允许在结构体说明中统一描述使用建议，未要求每个成员函数重复同一约束。,无需为本条线程问题在文档第805行追加重复说明；保留文档第15行的结构体级主线程约束。
