仓库,文件,行号,规则,内容,traceId,uuid,责任PL,是否问题,确认结果,原因解释,修改方案
openharmony/docs,zh-cn/application-dev/reference/apis-arkui/_ark_ui_compile.md,31,Terminology Consistency,"❌**疑似检测出中英文一致性问题**

错误原因：英文错误信息为 `'@BuilderParam' property can only initialized by '@Builder' function or '@LocalBuilder' method in struct.`，其中明确提到 `@LocalBuilder` method，但中文错误描述仅提及 `@Builder`，遗漏了 `@LocalBuilder`。
建议修改为：
```suggestion
@BuilderParam装饰的变量只能被@Builder或@LocalBuilder装饰的函数初始化。
```",f7c109c7311443aa8af7631fea8519b2,14e8ba98-2224-4433-90e7-9556bdb8dce1,刘凯,,否,当前 docs 已包含检测建议中的 @LocalBuilder，问题不存在：/home/y/openharmony/docs/zh-cn/application-dev/reference/apis-arkui/_ark_ui_compile.md:28 英文错误信息包含 @Builder 与 @LocalBuilder，/home/y/openharmony/docs/zh-cn/application-dev/reference/apis-arkui/_ark_ui_compile.md:31 中文错误描述已写为“@Builder或@LocalBuilder装饰的函数”，/home/y/openharmony/docs/zh-cn/application-dev/reference/apis-arkui/_ark_ui_compile.md:37 处理步骤也要求定义 @LocalBuilder 或 @Builder。interface 中 /home/y/openharmony/interface/sdk-js/api/@internal/component/ets/common.d.ts:712 声明 BuilderParam，/home/y/openharmony/interface/sdk-js/api/@internal/component/ets/common.d.ts:1613 声明 LocalBuilder，支持两者均为 ArkUI 装饰器。,无需修改 docs；目标中文错误描述已包含 @LocalBuilder。
openharmony/docs,zh-cn/application-dev/reference/apis-arkui/_ark_ui_compile.md,96,Terminology Consistency,"❌**疑似检测出中英文一致性问题**

错误原因：英文错误信息为 `Apply it only to classes decorated by '@Observed' or initialized using the return value of 'makeV1Observed'.`，明确提到 `makeV1Observed`，但中文错误描述却写为""联合类型""，与英文不一致。
建议修改为：
```suggestion
@ObjectLink装饰的变量类型需要是被@Observed装饰的类或者使用makeV1Observed返回值初始化的类。
```",f7c109c7311443aa8af7631fea8519b2,74899957-fd3b-4c2b-920b-060b8a44cb34,刘凯,,是,/home/y/openharmony/docs/zh-cn/application-dev/reference/apis-arkui/_ark_ui_compile.md:93 的英文错误信息要求 @ObjectLink 仅用于 @Observed 装饰的类，或使用 makeV1Observed 返回值初始化；排查时同文件:96 中文错误描述写成“联合类型”，未体现 makeV1Observed。interface 在 /home/y/openharmony/interface/sdk-js/api/@ohos.arkui.StateManagement.d.ts:418 声明 UIUtils.makeV1Observed<T extends object>(source: T): T，并在:779 说明对象可由 @Observed 装饰或 makeV1Observed 包装。ace_engine 实现 /home/y/openharmony/foundation/arkui/ace_engine/frameworks/bridge/arkts_frontend/koala_projects/arkoala-arkts/arkui-ohos/src/stateManagement/base/stateMgmtFactory.ts:487 创建 ObjectLink 时调用 uiUtils.makeV1Observed，/home/y/openharmony/foundation/arkui/ace_engine/frameworks/bridge/arkts_frontend/koala_projects/arkoala-arkts/arkui-ohos/src/stateManagement/decoratorImpl/decoratorObjectLink.ts:81、:99 更新/复用时也调用 makeV1Observed。,已修改 /home/y/openharmony/docs/zh-cn/application-dev/reference/apis-arkui/_ark_ui_compile.md:96、:99、:102，将“联合类型/仅@Observed”的表述调整为 @Observed 装饰的类或使用 makeV1Observed 返回值初始化。
openharmony/docs,zh-cn/application-dev/reference/apis-arkui/_ark_ui_compile.md,278,Terminology Consistency,"❌**疑似检测出中英文一致性问题**

错误原因：英文错误信息为 `the 'build' method can have only one root node, which must be a container component.`，明确要求根节点必须是容器组件（container component），但中文错误描述仅提及""多个根容器""，遗漏了""必须是容器组件""这一关键条件。
建议修改为：
```suggestion
build()方法内有且仅有一个根节点，且该根节点必须是容器组件。
```",f7c109c7311443aa8af7631fea8519b2,4f76732c-bf16-4bf1-935e-3fe2f9bc3bf5,刘凯,,是,/home/y/openharmony/docs/zh-cn/application-dev/reference/apis-arkui/_ark_ui_compile.md:275 的英文错误信息明确要求 @Entry 组件的 build() 只能有一个根节点，且根节点必须是容器组件；排查时同文件:278、:281、:284 的中文描述只覆盖“多个根容器”，遗漏“根节点必须为容器组件”。规则文档 /home/y/openharmony/docs/zh-cn/application-dev/ui/state-management/arkts-create-custom-components.md:354 也写明 @Entry 装饰的自定义组件 build() 根节点唯一且必要，且必须为容器组件。interface 中 /home/y/openharmony/interface/sdk-js/api/@internal/component/ets/relative_container.d.ts:426 说明 RelativeContainer 是容器组件，/home/y/openharmony/interface/sdk-js/api/@internal/component/ets/common.d.ts:12603、:24887 也以 Row、Column、Flex 作为 container components 示例。,已修改 /home/y/openharmony/docs/zh-cn/application-dev/reference/apis-arkui/_ark_ui_compile.md:278、:281、:284，补充“多个根节点或根节点不是容器组件”，并要求仅保留一个根节点且该根节点为容器组件。
openharmony/docs,zh-cn/application-dev/reference/apis-arkui/_ark_ui_compile.md,343,Terminology Consistency,"❌**疑似检测出中英文一致性问题**

错误原因：英文错误信息为 `'@Styles' decorated functions and methods cannot have arguments.`，同时提及 functions（函数）和 methods（方法），但中文错误描述仅提及""函数""，遗漏了""方法""。
建议修改为：
```suggestion
@Styles装饰的函数和方法不能带参数。
```",f7c109c7311443aa8af7631fea8519b2,3653efc4-cf84-497f-8170-ed0367ba6a8a,刘凯,,是,/home/y/openharmony/docs/zh-cn/application-dev/reference/apis-arkui/_ark_ui_compile.md:340 的英文错误信息为 @Styles decorated functions and methods cannot have arguments，同时覆盖函数和方法；排查时同文件:343、:346、:349 只写“函数”。interface /home/y/openharmony/interface/sdk-js/api/@internal/component/ets/common.d.ts:1649 声明 Styles 为 MethodDecorator；用法文档 /home/y/openharmony/docs/zh-cn/application-dev/ui/state-management/arkts-style.md:25 说明 @Styles 可定义在组件内或全局，:69 说明 @Styles 方法不支持传参，:121-:135 给出全局 function 和组件内方法两种用法。ace_engine 示例 /home/y/openharmony/foundation/arkui/ace_engine/advanced_ui_component/dialog/source/dialog.ets:493-:494、:502-:503 使用 @Styles 装饰组件内方法。,已修改 /home/y/openharmony/docs/zh-cn/application-dev/reference/apis-arkui/_ark_ui_compile.md:343、:346、:349，将“函数”统一补充为“函数或方法”。
openharmony/docs,zh-cn/application-dev/reference/apis-arkui/_ark_ui_compile.md,473,Terminology Consistency,"❌**疑似检测出中英文一致性问题**

错误原因：英文错误信息为 `'@Required' decorated 'xxx' must be initialized through the component constructor.`，核心是关于 `@Required` 装饰的变量必须通过组件构造器初始化，但中文错误描述写为""@Prop和@BuilderParam装饰变量初始化校验错误""，未提及 `@Required`，与英文不一致。
建议修改为：
```suggestion
@Require装饰的变量必须通过组件构造器初始化。
```",f7c109c7311443aa8af7631fea8519b2,f16afe2a-0047-4b26-8db8-0ff4ae2a8494,刘凯,,是,原中文错误描述只写“@Prop和@BuilderParam装饰变量初始化校验错误”，未体现必须参与强制构造校验的@Require。interface声明@Require见/home/y/openharmony/interface/sdk-js/api/arkui/stateManagement/decorator.static.d.ets:260、267，@BuilderParam见/home/y/openharmony/interface/sdk-js/api/arkui/component/builder.static.d.ets:50-51，@Prop见/home/y/openharmony/interface/sdk-js/build-tools/process_global_import.js:722、728；英文docs在/home/y/openharmony/docs/en/application-dev/reference/apis-arkui/_ark_ui_compile.md:476明确为@Require与@Prop、@BuilderParam联用，中文同段可能原因和处理步骤在/home/y/openharmony/docs/zh-cn/application-dev/reference/apis-arkui/_ark_ui_compile.md:476、479也指向@Require，因此原第473行描述缺少@Require，问题存在。,已修改/home/y/openharmony/docs/zh-cn/application-dev/reference/apis-arkui/_ark_ui_compile.md:473，将错误描述改为“@Require与@Prop或@BuilderParam共同装饰的变量初始化校验错误。”
openharmony/docs,zh-cn/application-dev/reference/apis-arkui/_ark_ui_compile.md,525,Terminology Consistency,"❌**疑似检测出中英文一致性问题**

错误原因：英文错误信息为 `'@Require' can only be used with '@Param'.`，明确指定只能与 `@Param` 一起使用，但中文错误描述使用模糊的""特定装饰器""，未明确指出是 `@Param`，与英文不一致。
建议修改为：
```suggestion
V2组件中，@Require只能与@Param一起使用。
```",f7c109c7311443aa8af7631fea8519b2,5582fe1a-ba5c-4075-aaef-2cbdc4d57140,刘凯,,是,英文错误信息在/home/y/openharmony/docs/en/application-dev/reference/apis-arkui/_ark_ui_compile.md:522明确写明@ComponentV2中@Require只能与@Param一起使用，英文描述和处理步骤在同文件:525、531也直接指向@Param。interface声明@Require和@Param分别见/home/y/openharmony/interface/sdk-js/api/arkui/stateManagement/decorator.static.d.ets:260、267、281、289；ace_engine中V2组件示例使用@Require @Param见/home/y/openharmony/foundation/arkui/ace_engine/advanced_ui_component_static/assembled_advanced_ui_component/@ohos.arkui.advanced.ArcButton.ets:280、282。原中文第525行和第531行使用“特定装饰器”，没有明确@Param，问题存在。,已修改/home/y/openharmony/docs/zh-cn/application-dev/reference/apis-arkui/_ark_ui_compile.md:525、531，将“特定装饰器”改为明确的@Param表述。
openharmony/docs,zh-cn/application-dev/reference/apis-arkui/_ark_ui_compile.md,694,Terminology Consistency,"❌**疑似检测出中英文一致性问题**

错误原因：英文错误信息为 `'@Styles' decorated functions and methods cannot have arguments.`，同时提及 functions（函数）和 methods（方法），但中文错误描述仅提及""方法""，遗漏了""函数""。
建议修改为：
```suggestion
@Styles装饰的函数和方法不能带参数。
```",f7c109c7311443aa8af7631fea8519b2,3b2b1134-3cc0-48ec-8039-5cbf802f3b8b,刘凯,,是,错误信息在/home/y/openharmony/docs/zh-cn/application-dev/reference/apis-arkui/_ark_ui_compile.md:691明确为“functions and methods”，同文件10905105中文描述在/home/y/openharmony/docs/zh-cn/application-dev/reference/apis-arkui/_ark_ui_compile.md:340、343、346、349已按“函数或方法”表达。interface中@Styles声明见/home/y/openharmony/interface/sdk-js/api/@internal/component/ets/common.d.ts:1640、1649；ace_engine同时存在@Styles装饰全局函数和组件内方法用例，分别见/home/y/openharmony/foundation/arkui/ace_engine/examples/StateStyle/entry/src/main/ets/pages/Index.ets:20-21、/home/y/openharmony/foundation/arkui/ace_engine/examples/Select/entry/src/main/ets/pages/components/base/MyComponent.ets:7、11。原中文第694、697、700行只写“方法”，遗漏函数，问题存在。,已修改/home/y/openharmony/docs/zh-cn/application-dev/reference/apis-arkui/_ark_ui_compile.md:694、697、700，将“方法”统一改为“函数或方法”。
openharmony/docs,zh-cn/application-dev/reference/apis-arkui/_ark_ui_compile.md,892,Terminology Consistency,"❌**疑似检测出中英文一致性问题**

错误原因：英文错误信息为 `The 'xxx' can decorate only member variables in a 'class'.`，即 @Type 等装饰器只能装饰 class 中的成员变量，报错原因是装饰了非成员变量（如方法）。但中文可能原因写为""开发者使用@Type等装饰器装饰了class中的变量导致报错""，与错误含义相反，应为装饰了方法而非变量。
建议修改为：
```suggestion
开发者使用@Type等装饰器装饰了class中的方法或非成员变量导致报错。
```",f7c109c7311443aa8af7631fea8519b2,74165f00-885d-4791-a2e3-54bf3a597d36,刘凯,,是,错误信息在/home/y/openharmony/docs/zh-cn/application-dev/reference/apis-arkui/_ark_ui_compile.md:886说明只能装饰class中的成员变量，中文描述在同文件:889也写明不能装饰方法；英文docs在/home/y/openharmony/docs/en/application-dev/reference/apis-arkui/_ark_ui_compile.md:889、892明确是把这类装饰器用于方法时触发。interface声明@Type为PropertyDecorator见/home/y/openharmony/interface/sdk-js/api/@ohos.arkui.StateManagement.d.ts:354、357、365，docs示例中@Type用于属性见/home/y/openharmony/docs/zh-cn/application-dev/reference/apis-arkui/js-apis-stateManagement.md:221-223。原中文第892行写成“装饰了class中的变量导致报错”，与限制含义相反，问题存在。,已修改/home/y/openharmony/docs/zh-cn/application-dev/reference/apis-arkui/_ark_ui_compile.md:892，将可能原因改为“开发者使用@Type等装饰器装饰了class中的方法导致报错。”
openharmony/docs,zh-cn/application-dev/reference/apis-arkui/_ark_ui_compile.md,941,Terminology Consistency,"❌**疑似检测出中英文一致性问题**

错误原因：英文错误信息为 `'xxx' cannot be used with classes decorated by '@ObservedV2'. Use the '@Trace' decorator instead.`，明确建议使用 `@Trace` 装饰器作为替代，但中文错误描述未提及 `@Trace` 替代方案，信息不完整。
建议修改为：
```suggestion
@Track等装饰器不能用于@ObservedV2装饰的类中，请使用@Trace装饰器替代。
```",f7c109c7311443aa8af7631fea8519b2,038a102f-def2-4222-a46d-53141727e67c,刘凯,,是,错误信息在/home/y/openharmony/docs/zh-cn/application-dev/reference/apis-arkui/_ark_ui_compile.md:938明确要求在@ObservedV2类中不要使用@Track等V1装饰器，并使用@Trace替代。interface中@Track声明见/home/y/openharmony/interface/sdk-js/api/arkui/stateManagement/decorator.static.d.ets:80、88，@ObservedV2见同文件:362，@Trace声明见同文件:365、372；ace_engine中@ObservedV2类实际使用@Trace属性见/home/y/openharmony/foundation/arkui/ace_engine/advanced_ui_component/arcbutton/source/arcbutton.ets:184-187、197-203。原中文第941、947行未说明@Trace替代方案，信息不完整，问题存在。,已修改/home/y/openharmony/docs/zh-cn/application-dev/reference/apis-arkui/_ark_ui_compile.md:941、947，在错误描述和处理步骤中补充“请使用@Trace装饰器替代”。
openharmony/docs,zh-cn/application-dev/reference/apis-arkui/_ark_ui_compile.md,954,Terminology Consistency,"❌**疑似检测出中英文一致性问题**

错误原因：英文错误信息为 `The 'xxx' decorator can decorate only member variables of a class.`，明确限定为""member variables""（成员变量），但中文错误描述仅写""在class中使用""，未限定为""成员变量""，与英文不一致。
建议修改为：
```suggestion
@Track等装饰器只能装饰class中的成员变量。
```",f7c109c7311443aa8af7631fea8519b2,a0270696-382c-42d8-a41a-72bc584742b3,刘凯,,是,英文错误信息在/home/y/openharmony/docs/zh-cn/application-dev/reference/apis-arkui/_ark_ui_compile.md:951明确限定为member variables of a class。interface声明/home/y/openharmony/interface/sdk-js/api/arkui/stateManagement/decorator.static.d.ets:80-88说明@Track用于装饰class对象的属性。ace_engine实现/home/y/openharmony/foundation/arkui/ace_engine/frameworks/bridge/declarative_frontend/state_mgmt/src/lib/partial_update/pu_tracked_object.ts:16-22也将@Track定义为class property decorator并按property记录。原中文/home/y/openharmony/docs/zh-cn/application-dev/reference/apis-arkui/_ark_ui_compile.md:954仅写只能在class中使用且:957、:960只覆盖class外使用场景，未表达只能装饰class成员变量，问题存在。,已修改/home/y/openharmony/docs/zh-cn/application-dev/reference/apis-arkui/_ark_ui_compile.md:954、:957、:960，将错误描述、可能原因和处理步骤改为@Track等装饰器只能装饰class中的成员变量并避免装饰非class成员变量。
