规则编号,规则名称,文档名称,文档地址,API名称,所属父类,问题位置（行号）,问题状态,严重程度,问题描述,备注,修改建议,问题原文,规则提示词,质量维度,一级指标,二级指标,评估内容（测试点）,是否是问题,原因,修改方案
12.1.1.2,检查文档中清楚地说明了使用场景。,capi-native-render-h.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/capi-native-render-h.md,OH_ArkUI_RenderNodeUtils_SetContentModifierOnDraw,native_render.h,2308,未确认,P1,该接口属于回调控制类接口，原描述只说明设置onDraw函数，参数仅说明是绘制事件接收回调，未说明设置该回调后用于在绘制阶段执行自定义绘制逻辑的使用场景，符合规则重点关注的回调/控制类场景缺失问题。,,设置内容修改器的onDraw函数，用于需要在内容修改器绘制阶段执行自定义绘制逻辑的场景。,设置内容修改器的onDraw函数。,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/12_1_1_2.md,体验,知识点完整,API接口/方法/参数/错误码/权限等完整,验证文档中关于方法/函数的含义/功能、使用场景、使用效果提供完整,是,native-template.md第117行要求函数详细描述主要功能和使用场景；修复前文档第2308行仅写“设置内容修改器的onDraw函数。”，未说明OH_ArkUI_RenderNodeUtils_SetContentModifierOnDraw的适用场景。,已同步修改capi-native-render-h.md第150、2362、2364行：总览和正文统一为“设置内容修改器的onDraw回调”，正文补充该回调用于在内容修改器绘制阶段执行自定义绘制逻辑。总览描述与正文首段已同步为相同内容，具体展开说明已另起一段。
12.1.1.2,检查文档中清楚地说明了使用场景。,capi-native-render-h.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/capi-native-render-h.md,OH_ArkUI_RenderNodeUtils_CreateColorAnimatableProperty,native_render.h,2227,未确认,P2,原描述仅说明创建动作，未说明可动画颜色属性适用于动态颜色绘制等场景，缺少使用场景说明。,,创建可动画的颜色属性，用于需要在内容修改器中保存可随动画变化的颜色绘制参数的场景。,创建可动画的颜色属性。,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/12_1_1_2.md,体验,知识点完整,API接口/方法/参数/错误码/权限等完整,验证文档中关于方法/函数的含义/功能、使用场景、使用效果提供完整,是,native-template.md第117行要求函数详细描述主要功能和使用场景；修复前文档第2227行仅写“创建可动画的颜色属性。”，未说明OH_ArkUI_RenderNodeUtils_CreateColorAnimatableProperty的适用场景。,已在capi-native-render-h.md第2279、2281行修改：正文首段与总览统一为“创建可动画的颜色属性。”；具体展开说明另起一段为“该接口用于保存可随动画变化的颜色绘制参数。使用完毕后调用[OH_ArkUI_RenderNodeUtils_DisposeColorAnimatableProperty](#oh_arkui_rendernodeutils_disposecoloranimatableproperty)释放。”
12.1.1.2,检查文档中清楚地说明了使用场景。,capi-native-render-h.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/capi-native-render-h.md,OH_ArkUI_RenderNodeUtils_CreateVector2AnimatableProperty,native_render.h,2143,未确认,P2,原描述只说明创建对象，未说明可动画二维向量属性适合用于保存哪些动态绘制参数或适用场景。,,创建可动画的二维向量属性，用于需要在内容修改器中保存可随动画变化的二维坐标、偏移等绘制参数的场景。,创建可动画的二维向量属性。,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/12_1_1_2.md,体验,知识点完整,API接口/方法/参数/错误码/权限等完整,验证文档中关于方法/函数的含义/功能、使用场景、使用效果提供完整,是,native-template.md第117行要求函数详细描述主要功能和使用场景；修复前文档第2143行仅写“创建可动画的二维向量属性。”，未说明OH_ArkUI_RenderNodeUtils_CreateVector2AnimatableProperty的适用场景。,已在capi-native-render-h.md第2193、2195行修改：正文首段与总览统一为“创建可动画的二维向量属性。”；具体展开说明另起一段为“该接口用于保存可随动画变化的二维坐标、偏移等绘制参数。使用完毕后调用[OH_ArkUI_RenderNodeUtils_DisposeVector2AnimatableProperty](#oh_arkui_rendernodeutils_disposevector2animatableproperty)释放。”
12.1.1.2,检查文档中清楚地说明了使用场景。,capi-native-render-h.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/capi-native-render-h.md,OH_ArkUI_RenderNodeUtils_CreateFloatAnimatableProperty,native_render.h,2062,未确认,P2,原描述仅说明创建对象，未说明可动画浮点属性的用途或适用场景，属于底层属性对象说明不完整。,,创建可动画的浮点属性，用于需要在内容修改器中保存可随动画变化的浮点型绘制参数的场景。,创建可动画的浮点属性。,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/12_1_1_2.md,体验,知识点完整,API接口/方法/参数/错误码/权限等完整,验证文档中关于方法/函数的含义/功能、使用场景、使用效果提供完整,是,native-template.md第117行要求函数详细描述主要功能和使用场景；修复前文档第2062行仅写“创建可动画的浮点属性。”，未说明OH_ArkUI_RenderNodeUtils_CreateFloatAnimatableProperty的适用场景。,已在capi-native-render-h.md第2110、2112行修改：正文首段与总览统一为“创建可动画的浮点属性。”；具体展开说明另起一段为“该接口用于保存可随动画变化的浮点型绘制参数。使用完毕后调用[OH_ArkUI_RenderNodeUtils_DisposeFloatAnimatableProperty](#oh_arkui_rendernodeutils_disposefloatanimatableproperty)释放。”
12.1.1.2,检查文档中清楚地说明了使用场景。,capi-native-render-h.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/capi-native-render-h.md,OH_ArkUI_RenderNodeUtils_AttachColorAnimatableProperty,native_render.h,1794,未确认,P2,该接口涉及可动画颜色属性，原描述只说明操作本身，未说明适用于动态颜色绘制或动画场景。,,为目标内容修改器附加可动画的颜色属性，用于需要在内容修改器中配置可随动画变化的颜色绘制参数的场景。,为目标内容修改器附加可动画的颜色属性。,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/12_1_1_2.md,体验,知识点完整,API接口/方法/参数/错误码/权限等完整,验证文档中关于方法/函数的含义/功能、使用场景、使用效果提供完整,是,native-template.md第117行要求函数详细描述主要功能和使用场景；修复前文档第1794行仅写“为目标内容修改器附加可动画的颜色属性。”，未说明OH_ArkUI_RenderNodeUtils_AttachColorAnimatableProperty的适用场景。,已在capi-native-render-h.md第1834、1836行修改：正文首段与总览统一为“为目标内容修改器附加可动画的颜色属性。”；具体展开说明另起一段为“该接口用于在绘制回调中配置随动画变化的颜色绘制参数。”
12.1.1.2,检查文档中清楚地说明了使用场景。,capi-native-render-h.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/capi-native-render-h.md,OH_ArkUI_RenderNodeUtils_AttachVector2AnimatableProperty,native_render.h,1772,未确认,P2,原描述只说明附加可动画二维向量属性，未说明该能力适用于二维坐标、偏移等随动画变化的绘制参数场景。,,为目标内容修改器附加可动画的二维向量属性，用于需要在内容修改器中配置可随动画变化的二维坐标、偏移等绘制参数的场景。,为目标内容修改器附加可动画的二维向量属性。,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/12_1_1_2.md,体验,知识点完整,API接口/方法/参数/错误码/权限等完整,验证文档中关于方法/函数的含义/功能、使用场景、使用效果提供完整,是,native-template.md第117行要求函数详细描述主要功能和使用场景；修复前文档第1772行仅写“为目标内容修改器附加可动画的二维向量属性。”，未说明OH_ArkUI_RenderNodeUtils_AttachVector2AnimatableProperty的适用场景。,已在capi-native-render-h.md第1810、1812行修改：正文首段与总览统一为“为目标内容修改器附加可动画的二维向量属性。”；具体展开说明另起一段为“该接口用于在绘制回调中配置随动画变化的二维坐标、偏移等绘制参数。”
12.1.1.2,检查文档中清楚地说明了使用场景。,capi-native-render-h.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/capi-native-render-h.md,OH_ArkUI_RenderNodeUtils_AttachFloatAnimatableProperty,native_render.h,1750,未确认,P2,该接口涉及可动画属性配置，原描述只说明附加属性，未说明可动画浮点属性适用于动态绘制或动画参数变化场景。,,为目标内容修改器附加可动画的浮点属性，用于需要在内容修改器中配置可随动画变化的浮点型绘制参数的场景。,为目标内容修改器附加可动画的浮点属性。,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/12_1_1_2.md,体验,知识点完整,API接口/方法/参数/错误码/权限等完整,验证文档中关于方法/函数的含义/功能、使用场景、使用效果提供完整,是,native-template.md第117行要求函数详细描述主要功能和使用场景；修复前文档第1750行仅写“为目标内容修改器附加可动画的浮点属性。”，未说明OH_ArkUI_RenderNodeUtils_AttachFloatAnimatableProperty的适用场景。,已在capi-native-render-h.md第1786、1788行修改：正文首段与总览统一为“为目标内容修改器附加可动画的浮点属性。”；具体展开说明另起一段为“该接口用于在绘制回调中配置随动画变化的浮点型绘制参数。”
12.1.1.2,检查文档中清楚地说明了使用场景。,capi-native-render-h.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/capi-native-render-h.md,OH_ArkUI_RenderNodeUtils_AttachColorProperty,native_render.h,1728,未确认,P2,原描述仅说明附加颜色属性，未说明颜色属性在内容修改器中的具体用途或适用场景，场景信息不足。,,为目标内容修改器附加颜色属性，用于需要在内容修改器中传递或更新颜色绘制参数的场景。,为目标内容修改器附加颜色属性。,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/12_1_1_2.md,体验,知识点完整,API接口/方法/参数/错误码/权限等完整,验证文档中关于方法/函数的含义/功能、使用场景、使用效果提供完整,是,native-template.md第117行要求函数详细描述主要功能和使用场景；修复前文档第1728行仅写“为目标内容修改器附加颜色属性。”，未说明OH_ArkUI_RenderNodeUtils_AttachColorProperty的适用场景。,已在capi-native-render-h.md第1762、1764行修改：正文首段与总览统一为“为目标内容修改器附加颜色属性。”；具体展开说明另起一段为“该接口用于在绘制回调中传递或更新颜色绘制参数。”
12.1.1.2,检查文档中清楚地说明了使用场景。,capi-native-render-h.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/capi-native-render-h.md,OH_ArkUI_RenderNodeUtils_AttachVector2Property,native_render.h,1706,未确认,P2,二维向量属性属于较底层的绘制参数能力，原描述只说明附加动作，未说明该属性适用于二维坐标、偏移等绘制参数场景。,,为目标内容修改器附加二维向量属性，用于需要在内容修改器中传递或更新二维坐标、偏移等绘制参数的场景。,为目标内容修改器附加二维向量属性。,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/12_1_1_2.md,体验,知识点完整,API接口/方法/参数/错误码/权限等完整,验证文档中关于方法/函数的含义/功能、使用场景、使用效果提供完整,是,native-template.md第117行要求函数详细描述主要功能和使用场景；修复前文档第1706行仅写“为目标内容修改器附加二维向量属性。”，未说明OH_ArkUI_RenderNodeUtils_AttachVector2Property的适用场景。,已在capi-native-render-h.md第1738、1740行修改：正文首段与总览统一为“为目标内容修改器附加二维向量属性。”；具体展开说明另起一段为“该接口用于在绘制回调中传递或更新二维坐标、偏移等绘制参数。”
12.1.1.2,检查文档中清楚地说明了使用场景。,capi-native-render-h.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/capi-native-render-h.md,OH_ArkUI_RenderNodeUtils_AttachFloatProperty,native_render.h,1684,未确认,P2,该接口属于内容修改器属性配置类接口，原描述只说明附加浮点属性，未说明浮点属性在内容修改器中的典型用途或使用场景。,,为目标内容修改器附加浮点属性，用于需要在内容修改器中传递或更新浮点型绘制参数的场景。,为目标内容修改器附加浮点属性。,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/12_1_1_2.md,体验,知识点完整,API接口/方法/参数/错误码/权限等完整,验证文档中关于方法/函数的含义/功能、使用场景、使用效果提供完整,是,native-template.md第117行要求函数详细描述主要功能和使用场景；修复前文档第1684行仅写“为目标内容修改器附加浮点属性。”，未说明OH_ArkUI_RenderNodeUtils_AttachFloatProperty的适用场景。,已在capi-native-render-h.md第1714、1716行修改：正文首段与总览统一为“为目标内容修改器附加浮点属性。”；具体展开说明另起一段为“该接口用于在绘制回调中传递或更新浮点型绘制参数。”
